rotation transx transy transz piper LRMSD modelnum
28348 -194.26 81.37 -128.67 -771.90 18.2832466793 0
28977 -196.26 98.37 -147.67 -766.44 37.1649042722 1
33894 -196.26 81.37 -129.67 -763.30 13.1795163262 2
2936 -196.26 81.37 -130.67 -763.01 14.218309175 3
4553 -194.26 83.37 -112.67 -758.89 12.0700544044 4
37564 -194.26 81.37 -128.67 -756.15 18.2541574436 5
66364 -194.26 81.37 -128.67 -755.57 18.0923561151 6
47317 -208.26 92.37 -146.67 -754.99 36.2512816658 7
27593 -194.26 83.37 -112.67 -754.26 12.1892236835 8
1638 -195.26 81.37 -130.67 -752.76 14.0455410762 9
21829 -205.26 92.37 -149.67 -749.93 37.9758971221 10
62725 -205.26 91.37 -149.67 -747.75 37.7637218111 11
35657 -194.26 83.37 -112.67 -747.29 12.1090268197 12
47409 -196.26 98.37 -147.67 -747.07 37.0669361585 13
6246 -195.26 81.37 -129.67 -746.36 12.9842324526 14
63798 -197.26 82.37 -122.67 -744.54 9.85212009216 15
38716 -194.26 81.37 -128.67 -744.40 18.3059741563 16
1329 -196.26 98.37 -147.67 -742.94 37.0195506521 17
57829 -208.26 92.37 -146.67 -740.30 36.1871215559 18
58548 -194.26 83.37 -112.67 -740.17 12.4486661212 19
13621 -205.26 92.37 -149.67 -738.04 38.0291772949 20
9229 -207.26 92.37 -147.67 -737.75 36.7223019708 21
24678 -195.26 81.37 -129.67 -736.74 12.9906040887 22
52357 -205.26 91.37 -150.67 -736.57 38.1810923733 23
8646 -197.26 82.37 -122.67 -735.14 10.3854997344 24
16645 -205.26 91.37 -150.67 -734.33 38.3558659772 25
67014 -194.26 81.37 -127.67 -733.29 11.7136677747 26
46093 -207.26 92.37 -147.67 -733.29 36.6995309708 27
58232 -196.26 81.37 -129.67 -732.70 13.397511175 28
39800 -195.26 81.37 -130.67 -732.48 14.1879757274 29
29642 -194.26 81.37 -128.67 -731.82 18.2478434145 30
19669 -208.26 93.37 -146.67 -731.62 36.7309122372 31
10453 -208.26 92.37 -146.67 -731.51 36.2707471637 32
57923 -196.26 97.37 -147.67 -730.73 36.5854830739 33
54157 -207.26 92.37 -147.67 -730.23 36.7566944812 34
37302 -197.26 82.37 -122.67 -729.04 9.68663156777 35
17293 -207.26 92.37 -147.67 -728.57 36.7843355488 36
9654 -197.26 82.37 -122.67 -728.35 10.0491316891 37
67448 -195.26 81.37 -130.67 -727.44 14.0941754546 38
50633 -194.26 84.37 -112.67 -726.44 12.6010031048 39
46518 -197.26 82.37 -122.67 -725.96 10.3390069886 40
7544 -196.26 81.37 -129.67 -725.64 13.1631491524 41
19761 -196.26 98.37 -147.67 -724.90 37.1118099477 42
65212 -194.26 81.37 -128.67 -724.60 18.0709832629 43
64525 -207.26 92.37 -147.67 -723.86 36.8720743596 44
28086 -197.26 82.37 -122.67 -723.72 9.89667570355 45
11605 -208.26 92.37 -147.67 -723.43 37.2683192723 46
55919 -197.26 98.37 -147.67 -722.96 37.4590738705 47
22086 -194.26 81.37 -128.67 -721.87 12.5848581272 48
49016 -196.26 81.37 -130.67 -721.63 14.3061597083 49
46703 -197.26 98.37 -147.67 -721.58 37.4523182998 50
38101 -207.26 92.37 -147.67 -721.31 36.6303705464 51
2533 -208.26 92.37 -146.67 -720.19 36.020077213 52
43109 -202.26 83.37 -123.67 -719.61 20.4322970986 53
6277 -205.26 91.37 -150.67 -719.57 38.3060500827 54
39491 -196.26 98.37 -147.67 -719.21 37.167179026 55
13769 -194.26 84.37 -111.67 -718.90 13.3168949425 56
54621 -197.26 98.37 -147.67 -718.81 37.4472729677 57
33493 -208.26 93.37 -146.67 -718.76 36.4980660582 58
55773 -196.26 99.37 -146.67 -717.37 37.0212389185 59
29286 -195.26 81.37 -130.67 -717.17 14.1956048803 60
55734 -197.26 82.37 -122.67 -717.01 10.1257248499 61
485 -202.26 83.37 -123.67 -716.87 20.5173963634 62
35725 -207.26 92.37 -147.67 -716.70 36.9623730849 63
30150 -194.26 81.37 -128.67 -716.38 12.7872461531 64
18909 -197.26 99.37 -146.67 -716.36 37.1854913057 65
13189 -205.26 89.37 -149.67 -716.25 36.7461397901 66
25573 -208.26 93.37 -146.67 -715.65 36.4363768157 67
49477 -205.26 92.37 -149.67 -714.80 37.8360687043 68
30129 -196.26 99.37 -147.67 -714.64 37.6475045617 69
38193 -196.26 98.37 -147.67 -714.63 37.1571090976 70
55309 -207.26 92.37 -147.67 -714.15 36.5764358709 71
26509 -207.26 92.37 -147.67 -713.95 37.0893115762 72
52325 -202.26 83.37 -123.67 -713.83 20.4632943929 73
33781 -205.26 92.37 -149.67 -713.83 38.1347425699 74
3469 -207.26 92.37 -147.67 -712.35 36.9874600913 75
36197 -202.26 83.37 -123.67 -711.79 20.5505145101 76
65841 -196.26 98.37 -147.67 -711.29 37.1087523691 77
40116 -194.26 83.37 -112.67 -710.57 12.020375964 78
63373 -207.26 93.37 -147.67 -710.43 37.3794393267 79
9839 -197.26 98.37 -147.67 -709.94 37.5048439863 80
32201 -194.26 83.37 -112.67 -709.33 11.930552235 81
36294 -197.26 82.37 -122.67 -709.30 10.0058086756 82
43421 -194.26 83.37 -112.67 -708.97 12.5861368721 83
4038 -198.26 82.37 -122.67 -708.38 10.2723670898 84
8541 -197.26 99.37 -146.67 -708.22 37.1934221803 85
17757 -197.26 98.37 -147.67 -708.03 37.5012510147 86
6245 -202.26 83.37 -123.67 -707.84 20.3558893961 87
41066 -190.26 81.37 -122.67 -707.63 16.8314635369 88
61573 -205.26 92.37 -149.67 -707.48 37.8901704374 89
8077 -207.26 92.37 -147.67 -706.84 36.8983439613 90
37446 -197.26 82.37 -122.67 -706.62 10.3411984338 91
50118 -198.26 82.37 -122.67 -706.31 10.0329666284 92
27078 -197.26 82.37 -122.67 -705.83 10.2287407465 93
56625 -196.26 98.37 -147.67 -704.66 37.066000892 94
69719 -201.26 95.37 -148.67 -703.45 38.6399406695 95
6557 -194.26 83.37 -111.67 -703.02 13.3204910384 96
63942 -197.26 82.37 -122.67 -702.22 10.5129443804 97
38214 -193.26 81.37 -128.67 -701.95 12.7786964293 98
34057 -206.26 93.37 -148.67 -701.67 38.0361978254 99
15462 -195.26 81.37 -129.67 -701.47 12.9785625619 100
27661 -207.26 92.37 -147.67 -701.36 36.8945813385 101
45405 -197.26 99.37 -146.67 -701.23 37.1316646955 102
54726 -197.26 82.37 -122.67 -699.88 10.4512639566 103
20965 -208.26 92.37 -146.67 -699.54 36.203580056 104
47718 -196.26 81.37 -129.67 -699.05 13.4003710503 105
45551 -197.26 98.37 -147.67 -698.97 37.4609219678 106
42071 -202.26 95.37 -148.67 -698.76 38.8825735908 107
15461 -202.26 84.37 -123.67 -698.75 20.5523021866 108
44400 -202.26 83.37 -123.67 -698.54 20.4803459909 109
9815 -201.26 96.37 -148.67 -698.21 38.9686608948 110
36809 -194.26 83.37 -112.67 -698.12 12.3581298907 111
40666 -193.26 81.37 -122.67 -697.49 7.20099951199 112
17862 -198.26 82.37 -122.67 -697.30 10.5795132388 113
30037 -207.26 92.37 -147.67 -697.08 36.6880738285 114
46348 -194.26 81.37 -128.67 -697.08 18.3535740369 115
40469 -200.26 85.37 -113.67 -696.85 17.4332714622 116
64950 -197.26 82.37 -122.67 -696.72 10.1737119985 117
31557 -202.26 95.37 -148.67 -696.19 38.9059123866 118
67877 -202.26 83.37 -123.67 -696.12 20.5644058597 119
45750 -194.26 80.37 -128.67 -695.97 13.004884821 120
53509 -205.26 90.37 -150.67 -695.51 38.0720101246 121
53477 -202.26 83.37 -123.67 -695.15 20.4188893493 122
10545 -196.26 97.37 -147.67 -694.79 36.6282053239 123
68117 -200.26 85.37 -113.67 -694.39 17.3429407673 124
38229 -192.26 79.37 -119.67 -693.83 11.0033173174 125
36736 -207.26 93.37 -147.67 -693.55 37.4728837263 126
24883 -182.26 107.37 -117.67 -693.52 29.9004012756 127
39030 -196.26 82.37 -122.67 -692.41 10.050983267 128
26934 -197.26 82.37 -122.67 -691.65 9.5870099689 129
25976 -196.26 81.37 -129.67 -691.60 13.1862547208 130
31450 -193.26 81.37 -122.67 -691.23 7.18825076623 131
17733 -201.26 95.37 -148.67 -690.90 38.5422215558 132
41417 -194.26 83.37 -112.67 -690.69 11.7597089311 133
15493 -205.26 90.37 -149.67 -690.37 37.1050954046 134
12757 -207.26 92.37 -147.67 -690.29 36.3683230575 135
43141 -205.26 90.37 -150.67 -690.17 38.0204547162 136
1237 -208.26 92.37 -146.67 -690.11 36.2062563057 137
37349 -203.26 83.37 -123.67 -689.96 21.0044005981 138
7536 -202.26 84.37 -123.67 -689.60 20.5739366687 139
61542 -195.26 81.37 -129.67 -689.37 12.9204305076 140
53814 -194.26 80.37 -128.67 -689.34 12.9959701833 141
28272 -202.26 83.37 -123.67 -688.90 20.5633169115 142
438 -196.26 81.37 -122.67 -688.88 9.40524506257 143
842 -194.26 81.37 -128.67 -688.75 18.3326922105 144
39397 -208.26 92.37 -146.67 -688.71 36.053838494 145
45510 -197.26 82.37 -122.67 -688.67 10.6834914856 146
65136 -202.26 83.37 -123.67 -688.49 20.6236147399 147
5046 -198.26 82.37 -122.67 -688.24 9.94733605313 148
62840 -196.26 81.37 -129.67 -688.06 13.1149483599 149
30698 -190.26 81.37 -122.67 -688.05 16.8630565841 150
44941 -207.26 92.37 -148.67 -687.95 37.6852817199 151
56533 -208.26 92.37 -147.67 -687.53 37.18153312 152
39366 -194.26 81.37 -127.67 -687.47 11.8704010949 153
59098 -193.26 81.37 -122.67 -687.22 7.35491682026 154
24565 -205.26 92.37 -149.67 -687.20 38.2573178412 155
