rotation transx transy transz piper LRMSD modelnum
32054 38.05 103.30 48.60 -557.73 24.2700817315 0
50486 38.05 103.30 48.60 -546.28 24.3121910401 1
4406 38.05 103.30 48.60 -530.40 24.3309431324 2
15350 38.05 102.30 48.60 -530.27 23.9247886532 3
52214 38.05 102.30 48.60 -530.04 23.9494595405 4
62726 38.05 103.30 48.60 -523.82 24.2122463671 5
38018 15.05 91.30 46.60 -523.08 9.76872793826 6
29808 15.05 91.30 46.60 -521.62 9.76967387601 7
28226 15.05 91.30 46.60 -517.65 9.78146249207 8
44294 38.05 103.30 48.60 -516.59 24.1799870008 9
28166 38.05 103.30 48.60 -516.30 24.1497608107 10
65090 15.05 91.30 46.60 -513.82 9.77467854179 11
49186 17.05 93.30 47.60 -512.55 9.88916599194 12
7430 38.05 103.30 48.60 -511.16 24.1603016184 13
68244 15.05 91.30 45.60 -510.79 10.5579028915 14
68918 38.05 103.30 48.60 -509.56 24.3156693593 15
19526 38.05 103.30 48.60 -509.08 24.2990637213 16
3106 17.05 93.30 47.60 -508.69 9.9187630969 17
13622 38.05 103.30 48.60 -506.34 24.3040608656 18
5762 15.05 91.30 46.60 -505.29 9.8690426164 19
33782 38.05 103.30 48.60 -504.83 24.1925932478 20
16930 17.05 93.30 47.60 -503.54 9.88351097762 21
36086 38.05 102.30 48.60 -503.24 23.9271981485 22
65030 38.05 102.30 48.60 -503.16 23.9725862221 23
66672 15.05 91.30 46.60 -502.97 9.77943928062 24
1526 38.05 102.30 48.60 -502.30 23.8683403906 25
1212 22.05 95.30 40.60 -502.29 15.674194557 26
40262 38.05 103.30 48.60 -501.86 24.2739491738 27
39970 17.05 93.30 47.60 -501.83 9.93721040971 28
31762 17.05 93.30 47.60 -500.82 9.99802927666 29
57281 24.05 87.30 81.60 -497.46 31.840507537 30
32917 19.05 107.30 70.60 -495.53 20.0318536005 31
53794 17.05 93.30 47.60 -495.35 9.93750588968 32
53744 26.05 101.30 80.60 -495.23 29.5139931125 33
29174 38.05 102.30 48.60 -494.96 23.8062184606 34
30301 19.05 107.30 70.60 -494.41 19.9912815108 35
