rotation transx transy transz piper LRMSD modelnum
51363 -5.77 -3.40 6.29 -617.36 10.0459171757 0
43299 -5.77 -3.40 6.29 -617.31 10.0172313144 1
68583 -5.77 -3.40 6.29 -612.49 10.0330741052 2
14499 -5.77 -3.40 5.29 -610.21 9.41146776118 3
40935 -5.77 -3.40 6.29 -609.90 10.0917728552 4
26283 -5.77 -3.40 5.29 -609.61 9.42606202676 5
17895 -5.77 -3.40 6.29 -602.68 10.06509741 6
9687 -5.77 -3.40 6.29 -598.02 10.0330645486 7
32871 -5.77 -3.40 6.29 -596.61 10.1364292937 8
36793 -5.77 -3.40 5.29 -595.73 9.4748228011 9
50151 -5.77 -2.40 6.29 -593.87 10.8802190726 10
4071 -5.77 -2.40 6.29 -593.65 10.8765921132 11
5283 -5.77 -3.40 5.29 -592.16 9.52748698772 12
45027 -5.77 -2.40 5.29 -590.12 10.4540549551 13
66339 -5.77 -3.40 5.29 -589.77 9.39591938479 14
60375 -5.77 -3.40 6.29 -589.23 10.1242464647 15
31719 -5.77 -3.40 6.29 -586.79 10.0465992435 16
675 -5.77 -3.40 5.29 -584.11 9.45933948322 17
65187 -5.77 -2.40 5.29 -583.96 10.3664398822 18
54243 -5.77 -3.40 5.29 -582.83 9.49408045723 19
8163 -5.77 -2.40 5.29 -582.22 10.3992028169 20
29991 -5.77 -2.40 5.29 -581.53 10.3677107023 21
6435 -4.77 -3.40 6.29 -581.50 10.175323125 22
5079 -5.77 -3.40 6.29 -581.44 10.0624670786 23
69735 -5.77 -3.40 6.29 -581.28 10.1591474056 24
46551 -5.77 -3.40 6.29 -580.64 10.0392362515 25
54759 -5.77 -3.40 6.29 -580.01 10.0837840431 26
46755 -5.77 -3.40 5.29 -578.80 9.44774450311 27
38691 -5.77 -3.40 5.29 -578.48 9.45339900146 28
66855 -5.77 -2.40 5.29 -577.85 10.4371787243 29
60579 -4.77 -3.40 5.29 -576.36 9.63446695363 30
15793 -5.77 -3.40 5.29 -576.29 9.61013899103 31
45543 -5.77 -2.40 5.29 -576.03 10.4440581565 32
19887 -4.77 -3.40 6.29 -575.04 10.2414401453 33
