rotation transx transy transz piper LRMSD modelnum
49145 25.40 -44.37 -87.70 -738.05 28.0636814766 0
35321 24.40 -44.37 -86.70 -736.23 27.9545034526 1
21497 24.40 -44.37 -86.70 -732.61 27.9769374379 2
9613 25.40 -67.37 -79.70 -731.91 4.71644800874 3
47704 25.40 -68.37 -80.70 -726.81 5.17824907698 4
59513 25.40 -45.37 -87.70 -724.93 27.1610449609 5
54131 25.40 -44.37 -86.70 -722.07 27.9688424116 6
3065 24.40 -44.37 -86.70 -720.55 27.9373385388 7
32152 24.40 -67.37 -79.70 -720.01 6.29433039695 8
38561 24.40 -44.37 -87.70 -718.82 28.0515171383 9
38488 25.40 -67.37 -80.70 -716.83 5.45317882367 10
5005 25.40 -67.37 -79.70 -715.95 4.88969071698 11
64121 24.40 -44.37 -86.70 -713.70 27.9326502338 12
973 26.40 -68.37 -79.70 -713.65 4.02893753807 13
30112 25.40 -67.37 -79.70 -713.20 6.08885586522 14
33395 25.40 -44.37 -86.70 -712.67 27.9506335934 15
27347 24.40 -43.37 -86.70 -710.21 28.870575053 16
8051 25.40 -44.37 -86.70 -709.86 27.9912544328 17
26693 23.40 -41.37 -85.70 -708.02 30.2902606896 18
62195 25.40 -44.37 -86.70 -707.83 27.9279689536 19
30497 24.40 -44.37 -86.70 -707.28 27.8706642299 20
64072 4.40 -50.37 -98.70 -707.16 34.2981205991 21
19405 26.40 -68.37 -80.70 -707.10 3.37045380083 22
1697 24.40 -44.37 -86.70 -706.86 27.880933751 23
57587 25.40 -44.37 -86.70 -706.66 27.9712075308 24
197 23.40 -41.37 -85.70 -705.86 30.3863597824 25
5581 26.40 -68.37 -79.70 -705.55 3.9158664145 26
65485 26.40 -67.37 -79.70 -705.50 4.54787371322 27
61165 25.40 -66.37 -78.70 -705.47 6.45401836094 28
12205 25.40 -67.37 -78.70 -705.47 5.77510888915 29
39713 24.40 -44.37 -85.70 -704.49 27.7004573555 30
26533 24.40 -67.37 -79.70 -704.03 5.89325857944 31
1624 24.40 -67.37 -80.70 -703.40 5.78097512548 32
67955 25.40 -44.37 -86.70 -703.24 28.0179069403 33
42821 23.40 -41.37 -85.70 -702.88 30.4034570804 34
66976 25.40 -67.37 -80.70 -701.92 5.66567878859 35
27257 25.40 -44.37 -87.70 -701.65 28.0443236363 36
47053 26.40 -68.37 -79.70 -701.43 4.0855861724 37
21163 26.40 -68.37 -79.70 -701.26 3.90596264296 38
21421 25.40 -67.37 -78.70 -700.83 5.44119163086 39
9989 23.40 -41.37 -85.70 -700.03 30.3506715051 40
8101 24.40 -67.37 -79.70 -699.64 6.34296609599 41
34669 25.40 -66.37 -78.70 -699.55 6.35412701829 42
17097 14.40 -55.37 -101.70 -699.34 27.7126195482 43
49069 25.40 -67.37 -78.70 -698.90 5.66919074045 44
10355 25.40 -44.37 -86.70 -698.86 27.9932398446 45
62821 25.40 -68.37 -80.70 -698.42 5.23114210067 46
7309 26.40 -68.37 -81.70 -697.57 3.44981302658 47
56608 25.40 -67.37 -79.70 -697.06 6.40358294562 48
16325 23.40 -41.37 -85.70 -696.78 30.4223690348 49
13984 24.40 -67.37 -80.70 -696.73 5.81904133954 50
3443 25.40 -44.37 -86.70 -696.49 28.0384648201 51
32021 23.40 -41.37 -85.70 -695.85 30.4654645545 52
47049 13.40 -55.37 -101.70 -695.65 28.3192428606 53
59149 25.40 -67.37 -79.70 -695.65 5.17156584177 54
20129 24.40 -43.37 -86.70 -695.50 28.8287967633 55
63557 23.40 -41.37 -85.70 -695.17 30.2678594533 56
24301 24.40 -67.37 -78.70 -694.86 6.63522441187 57
15448 25.40 -68.37 -80.70 -694.85 5.54269059826 58
51661 26.40 -68.37 -79.70 -694.28 4.0342716836 59
22573 25.40 -67.37 -78.70 -693.93 5.99994544939 60
47777 24.40 -44.37 -86.70 -693.65 27.8946335015 61
66136 25.40 -67.37 -79.70 -693.53 6.00428827511 62
16889 24.40 -44.37 -87.70 -693.52 28.0757638943 63
