rotation transx transy transz piper LRMSD modelnum
45541 90.99 -3.53 6.01 -850.59 29.8158462108 0
65185 90.99 -3.53 6.01 -833.88 30.0647747043 1
19045 90.99 -3.53 6.01 -831.48 29.8635098309 2
18261 91.99 14.47 2.01 -822.78 14.7967976573 3
28321 90.99 -3.53 6.01 -811.26 29.8872029816 4
8037 90.99 14.47 3.01 -809.20 15.1897516678 5
44901 91.99 14.47 2.01 -806.68 14.7317166766 6
69975 90.99 14.47 3.01 -791.56 15.5126532834 7
55125 91.99 14.47 1.01 -791.13 14.231856118 8
8677 90.99 -3.53 6.01 -790.88 29.5005440823 9
61911 89.99 14.47 4.01 -790.56 16.0173959349 10
53397 92.99 15.47 2.01 -786.90 14.4155769456 11
23895 90.99 14.47 2.01 -778.09 14.5344219287 12
54117 90.99 14.47 3.01 -773.91 15.7842154775 13
20439 89.99 14.47 3.01 -771.65 15.5263367911 14
33111 90.99 14.47 3.01 -771.41 15.7201234979 15
46753 89.99 -4.53 6.01 -770.58 30.5606024734 16
60759 90.99 14.47 1.01 -769.56 14.4918032051 17
16533 92.99 15.47 3.01 -767.93 15.0082714514 18
68949 91.99 14.47 2.01 -766.71 14.8758329216 19
405 92.99 14.47 2.01 -762.32 14.5764717392 20
57303 89.99 14.47 2.01 -761.48 15.3895888558 21
673 89.99 -4.53 6.01 -761.05 30.6013621942 22
41301 91.99 14.47 2.01 -758.88 14.3853780053 23
44631 91.99 14.47 1.01 -756.79 14.3283267 24
65537 84.99 4.47 5.01 -756.44 15.1970214693 25
58725 90.99 15.47 3.01 -754.82 15.7514337348 26
30933 91.99 14.47 2.01 -754.70 13.8745639254 27
12083 84.99 3.47 5.01 -753.61 15.6557277493 28
19413 92.99 14.47 0.01 -753.18 12.963299525 29
43029 92.99 14.47 3.01 -752.08 14.6839839317 30
10197 92.99 14.47 1.01 -750.68 13.8771497765 31
34577 84.99 5.47 5.01 -747.51 14.7096522165 32
25047 89.99 14.47 4.01 -747.22 16.2450876284 33
32085 91.99 14.47 3.01 -746.47 15.5066871491 34
60929 84.99 5.47 5.01 -741.70 14.649277411 35
7317 92.99 15.47 2.01 -739.93 14.0699368312 36
13067 82.99 -4.53 7.01 -739.30 27.2674740326 37
67797 91.99 14.47 1.01 -739.11 13.3684019354 38
60443 82.99 -4.53 8.01 -739.07 27.206168337 39
3429 90.99 14.47 4.01 -738.28 16.2868071768 40
25173 92.99 14.47 1.01 -738.16 13.700274473 41
2709 92.99 15.47 4.01 -736.67 15.0605364039 42
5633 84.99 4.47 5.01 -736.67 15.0247108704 43
46278 83.99 3.47 1.01 -736.63 16.3595964003 44
50517 90.99 15.47 3.01 -736.22 15.2171910934 45
60137 84.99 5.47 4.01 -733.24 14.5632791425 46
37889 84.99 5.47 5.01 -733.21 14.3379271028 47
55909 90.99 -3.53 6.01 -732.95 30.1619846808 48
41851 99.99 0.47 11.01 -731.49 25.09368012 49
63973 90.99 -3.53 6.01 -730.32 29.8262531199 50
56321 84.99 5.47 5.01 -730.06 14.6479319036 51
28053 93.99 15.47 2.01 -729.07 14.0378043745 52
14363 83.99 -4.53 7.01 -728.44 26.6513590373 53
69575 106.99 3.47 27.01 -728.42 42.7852607481 54
69733 89.99 -4.53 6.01 -728.12 30.4067122076 55
55313 85.99 6.47 5.01 -727.86 14.4419080004 56
64139 84.99 3.47 4.01 -727.11 15.5305038752 57
27109 90.99 -3.53 6.01 -724.60 29.4864745979 58
53747 83.99 -5.53 6.01 -724.09 27.9123128237 59
21861 90.99 15.47 4.01 -723.90 16.3853308542 60
64485 89.99 14.47 4.01 -722.99 16.4956075544 61
2007 88.99 14.47 4.01 -722.75 16.580565811 62
43507 99.99 0.47 12.01 -722.70 25.9354450243 63
48087 88.99 14.47 4.01 -722.19 16.5410187507 64
53847 90.99 14.47 3.01 -721.08 15.3117837233 65
35685 89.99 15.47 4.01 -720.51 16.7607977587 66
10071 89.99 14.47 2.01 -720.38 14.9530629403 67
36259 93.99 15.47 1.01 -719.50 13.6017896782 68
24597 91.99 15.47 4.01 -718.27 15.64253575 69
6165 92.99 15.47 4.01 -717.26 15.5694508377 70
57011 84.99 3.47 5.01 -716.40 15.5231226379 71
19675 99.99 0.47 12.01 -715.57 25.4489479565 72
35123 84.99 4.47 4.01 -714.94 14.6639963836 73
29347 93.99 15.47 3.01 -714.75 14.5790547608 74
62598 84.99 -0.53 5.01 -713.40 21.2551533119 75
54855 91.99 14.47 0.01 -713.36 13.8646770488 76
30491 83.99 -4.53 7.01 -713.09 26.670687099 77
9045 91.99 14.47 1.01 -712.72 13.8095791589 78
45025 90.99 -3.53 6.01 -712.70 29.9140599881 79
39573 93.99 15.47 3.01 -712.65 15.0345008529 80
51713 84.99 4.47 4.01 -711.56 15.1454191541 81
20147 84.99 3.47 5.01 -711.56 15.9303449815 82
61461 91.99 15.47 3.01 -711.36 15.0323444271 83
13653 90.99 15.47 4.01 -710.74 15.8326951104 84
