rotation transx transy transz piper LRMSD modelnum
54058 -58.99 -13.80 -10.56 -949.21 24.0860222364 0
24635 -57.99 -13.80 -10.56 -933.58 24.0823532776 1
7978 -57.99 -13.80 -10.56 -930.05 23.4704411819 2
35003 -57.99 -13.80 -10.56 -930.04 23.8534362112 3
26410 -58.99 -13.80 -10.56 -928.68 24.1457600479 4
1461 -61.99 -18.80 -6.56 -926.03 26.7073861857 5
23314 -58.99 -14.80 -9.56 -913.73 24.0436061684 6
61499 -57.99 -13.80 -10.56 -913.38 23.9011459918 7
63274 -58.99 -13.80 -10.56 -909.93 24.0115062127 8
4475 -56.99 -13.80 -9.56 -907.36 23.1470355337 9
42250 -58.99 -13.80 -10.56 -907.24 24.0537331817 10
3370 -57.99 -13.80 -11.56 -906.76 23.9826553688 11
51755 -57.99 -13.80 -10.56 -906.32 24.0602653258 12
4882 -58.99 -14.80 -9.56 -903.10 23.9063144238 13
44842 -57.99 -13.80 -10.56 -902.53 23.3669939665 14
41339 -56.99 -14.80 -9.56 -898.12 23.8748748921 15
62284 -60.99 -21.80 -4.56 -897.44 28.1716352003 16
40234 -57.99 -13.80 -11.56 -896.97 24.068210477 17
39442 -58.99 -13.80 -10.56 -896.76 23.8036149883 18
5386 -57.99 -13.80 -11.56 -896.28 23.8472527732 19
24106 -57.99 -13.80 -10.56 -895.66 23.5022693624 20
18299 -56.99 -14.80 -9.56 -895.27 23.9862581244 21
39544 -62.99 -23.80 -1.56 -895.05 31.1697287459 22
25420 -60.99 -21.80 -4.56 -894.83 28.2727522809 23
50555 -56.99 -14.80 -9.56 -892.29 23.9131952787 24
10586 -60.99 -21.80 -4.56 -892.03 28.1362748011 25
55163 -56.99 -14.80 -9.56 -891.34 23.7845086672 26
57676 -60.99 -21.80 -4.56 -890.53 28.1787733066 27
20812 -60.99 -21.80 -4.56 -890.49 28.2854570674 28
64786 -58.99 -14.80 -9.56 -889.74 23.6131488421 29
21802 -57.99 -13.80 -11.56 -887.97 24.1066656448 30
21179 -57.99 -12.80 -10.56 -886.11 23.1052790184 31
57874 -58.99 -14.80 -10.56 -885.83 24.1985347796 32
13555 -61.99 -18.80 -7.56 -885.35 26.7768660336 33
31522 -58.99 -15.80 -10.56 -884.37 24.8278542399 34
28930 -58.99 -14.80 -9.56 -881.52 23.9832507507 35
67882 -57.99 -12.80 -11.56 -881.02 23.5900003445 36
35842 -58.99 -14.80 -9.56 -879.35 23.6749297005 37
47541 -61.99 -18.80 -7.56 -877.73 26.7797764336 38
21010 -58.99 -13.80 -10.56 -877.58 23.8392943531 39
47450 -60.99 -21.80 -4.56 -877.45 28.0473575487 40
51754 -58.99 -13.80 -10.56 -877.37 24.1332946528 41
58 -58.99 -13.80 -10.56 -877.09 23.9797494711 42
33322 -58.99 -13.80 -10.56 -876.99 24.1689515153 43
39479 -61.99 -18.80 -6.56 -876.88 26.7735026963 44
12899 -56.99 -14.80 -9.56 -876.25 23.8319921343 45
57976 -62.99 -23.80 -1.56 -875.38 31.0807111326 46
2747 -57.99 -13.80 -10.56 -875.28 23.9228667351 47
5476 -60.99 -21.80 -4.56 -874.75 28.2936888745 48
14890 -58.99 -13.80 -10.56 -874.73 24.1887747786 49
54299 -57.99 -13.80 -10.56 -874.42 24.115929713 50
44050 -58.99 -15.80 -9.56 -874.40 24.1718483129 51
69484 -59.99 -21.80 -5.56 -873.96 27.8718802279 52
60970 -57.99 -13.80 -10.56 -873.85 23.4318312745 53
27922 -58.99 -14.80 -9.56 -872.88 23.7150867294 54
42340 -60.99 -21.80 -4.56 -872.16 28.1936005504 55
67192 -62.99 -23.80 -2.56 -872.02 31.3086497602 56
48827 -57.99 -13.80 -9.56 -871.37 23.7418561824 57
43690 -58.99 -13.80 -10.56 -869.92 24.1063740065 58
5674 -57.99 -12.80 -10.56 -869.22 23.1375628716 59
2680 -60.99 -22.80 -3.56 -868.67 29.2428966791 60
69394 -58.99 -14.80 -9.56 -867.42 24.0137731012 61
11963 -57.99 -13.80 -9.56 -867.25 23.9187119651 62
7170 -55.99 -36.80 10.44 -867.19 42.9013782172 63
7186 -58.99 -14.80 -9.56 -867.19 23.735292812 64
49954 -58.99 -15.80 -10.56 -866.88 24.7151166311 65
40475 -57.99 -13.80 -10.56 -866.46 24.1414963008 66
61936 -61.99 -23.80 -2.56 -865.49 30.8016151315 67
36922 -58.99 -13.80 -10.56 -865.46 24.0763597671 68
9490 -58.99 -14.80 -9.56 -864.18 23.7398407378 69
52084 -58.99 -33.80 4.44 -863.73 39.5579846883 70
10498 -58.99 -15.80 -10.56 -863.70 24.7756575809 71
59982 -56.99 -14.80 -9.56 -863.33 23.8570024973 72
57514 -58.99 -12.80 -11.56 -863.30 24.2413731482 73
69275 -57.99 -12.80 -10.56 -863.27 23.1259229633 74
42034 -58.99 -13.80 -10.56 -862.83 23.9190275025 75
5675 -57.99 -12.80 -10.56 -862.65 23.1712710071 76
14891 -57.99 -13.80 -10.56 -861.78 24.209595341 77
34723 -61.99 -18.80 -7.56 -861.76 26.7333481265 78
58666 -57.99 -13.80 -11.56 -861.24 23.9655629913 79
49450 -57.99 -13.80 -11.56 -860.98 24.100033493 80
4486 -41.99 -39.80 5.44 -860.41 43.6746315004 81
17194 -58.99 -12.80 -10.56 -860.34 23.71853362 82
23416 -62.99 -23.80 -1.56 -859.33 31.2004450935 83
60682 -57.99 -14.80 -11.56 -858.20 24.216721538 84
22907 -56.99 -13.80 -10.56 -858.05 23.2347290002 85
18490 -57.99 -13.80 -10.56 -857.87 23.4317615214 86
58252 -61.99 -22.80 -3.56 -856.76 29.5626389171 87
60098 -58.99 -18.80 -7.56 -854.25 24.338692115 88
32411 -57.99 -13.80 -10.56 -853.73 23.9257714542 89
48760 -62.99 -23.80 -2.56 -853.16 31.2987226427 90
29318 -62.99 -23.80 -1.56 -853.02 31.0451821137 91
58043 -57.99 -12.80 -10.56 -852.98 22.9215334056 92
29620 -58.99 -34.80 4.44 -852.29 40.5264144633 93
43691 -57.99 -13.80 -10.56 -852.19 24.2662128631 94
68386 -58.99 -15.80 -10.56 -851.94 24.6616797637 95
36130 -58.99 -14.80 -10.56 -851.55 24.1464492579 96
37642 -57.99 -13.80 -11.56 -851.38 24.138329728 97
3874 -58.99 -15.80 -10.56 -851.29 24.6043411221 98
30328 -61.99 -23.80 -2.56 -851.01 30.8025626629 99
33538 -58.99 -15.80 -9.56 -850.81 24.250065973 100
41746 -57.99 -13.80 -10.56 -850.65 23.2216000686 101
17698 -58.99 -14.80 -9.56 -850.51 23.7658765102 102
10886 -62.99 -23.80 -1.56 -849.80 31.0282088144 103
33653 -58.99 -33.80 5.44 -849.36 41.1254359877 104
67835 -56.99 -12.80 -10.56 -849.31 22.39727154 105
68501 -58.99 -33.80 5.44 -849.27 41.1774351268 106
1370 -60.99 -21.80 -4.56 -848.50 28.0124960995 107
51568 -62.99 -23.80 -1.56 -848.47 31.369604981 108
16571 -57.99 -13.80 -9.56 -848.16 23.8484805486 109
49763 -56.99 -14.80 -9.56 -848.15 23.6238284908 110
63366 -56.99 -13.80 -9.56 -847.83 23.1393208632 111
50962 -58.99 -14.80 -9.56 -847.82 23.9924297518 112
54562 -58.99 -15.80 -9.56 -847.67 24.1530749885 113
7355 -56.99 -12.80 -10.56 -847.45 22.4876630796 114
42539 -57.99 -12.80 -10.56 -846.85 23.0049747936 115
67090 -58.99 -13.80 -10.56 -846.57 23.7812103885 116
31637 -58.99 -33.80 6.44 -846.14 41.2925985981 117
44465 -49.99 -40.80 7.44 -845.76 46.1751283301 118
60178 -58.99 -14.80 -9.56 -845.68 23.9566881875 119
15106 -58.99 -15.80 -9.56 -845.43 24.2154711716 120
60971 -57.99 -12.80 -10.56 -844.25 23.3153972515 121
62122 -58.99 -13.80 -10.56 -844.13 24.0879576756 122
51466 -57.99 -13.80 -11.56 -843.80 23.8835731661 123
65829 -61.99 -17.80 -6.56 -843.80 26.0692188555 124
40696 -61.99 -23.80 -3.56 -843.76 30.9842286041 125
13010 -58.99 -18.80 -6.56 -843.37 24.2269247154 126
32620 -59.99 -21.80 -5.56 -843.21 27.9861277454 127
41140 -58.99 -33.80 4.44 -843.09 39.4635968981 128
62860 -62.99 -23.80 -2.56 -842.77 30.9883199107 129
27664 -61.99 -23.80 -2.56 -842.65 30.9710397829 130
30971 -57.99 -13.80 -10.56 -842.48 23.7553808946 131
14200 -61.99 -23.80 -2.56 -842.47 30.8220390425 132
23818 -57.99 -13.80 -11.56 -842.25 23.9031642588 133
22792 -63.99 -24.80 0.44 -842.16 32.9328933072 134
32632 -61.99 -23.80 -3.56 -842.05 30.7998955513 135
14357 -58.99 -33.80 5.44 -841.39 41.1440183973 136
55828 -58.99 -33.80 4.44 -841.29 39.2864784296 137
49123 -60.99 -19.80 -7.56 -841.25 26.7223411677 138
34618 -57.99 -13.80 -10.56 -841.25 23.4982087146 139
56891 -57.99 -13.80 -9.56 -840.39 23.9728055894 140
68799 -49.99 -40.80 7.44 -839.64 46.3357354578 141
22264 -61.99 -23.80 -3.56 -838.95 30.9425761006 142
13691 -57.99 -13.80 -9.56 -838.59 23.9580132719 143
47362 -58.99 -15.80 -10.56 -838.23 24.6337757308 144
38392 -62.99 -24.80 -2.56 -838.05 32.3463701559 145
19672 -60.99 -23.80 -4.56 -837.61 30.4279216983 146
