rotation transx transy transz piper LRMSD modelnum
16537 -63.67 -31.68 -256.16 -601.75 38.4822365597 0
7540 -64.67 -31.68 -254.16 -599.01 36.6917210317 1
50668 -63.67 -30.68 -256.16 -592.28 37.6019034383 2
44404 -64.67 -31.68 -254.16 -592.20 36.7600045753 3
25753 -63.67 -31.68 -256.16 -588.21 38.4672199937 4
62617 -63.67 -31.68 -256.16 -584.53 38.3922259087 5
13804 -63.67 -30.68 -256.16 -583.68 37.6743939612 6
53620 -64.67 -31.68 -254.16 -583.59 36.6544617737 7
13438 -63.67 -30.68 -256.16 -583.51 37.6957990258 8
24382 -63.67 -31.68 -256.16 -583.01 38.4883148555 9
32162 -64.67 -31.68 -254.16 -582.34 36.6819597489 10
43033 -63.67 -31.68 -256.16 -581.39 38.4943767439 11
69026 -64.67 -31.68 -254.16 -580.55 36.7787056376 12
15458 -64.67 -31.68 -254.16 -578.10 36.7464193664 13
2932 -64.67 -31.68 -254.16 -577.40 36.5945951666 14
13429 -50.67 -3.68 -238.16 -577.30 11.2512803162 15
16756 -64.67 -31.68 -254.16 -576.84 36.5991502491 16
48574 -63.67 -31.68 -256.16 -576.00 38.484798199 17
19636 -64.67 -31.68 -255.16 -575.30 37.2988226451 18
61246 -63.67 -31.68 -256.16 -574.91 38.4204457346 19
12133 -62.67 -35.68 -253.16 -574.03 40.5506768303 20
28276 -64.67 -31.68 -254.16 -573.91 36.8919972428 21
43252 -64.67 -31.68 -254.16 -573.20 36.6105772797 22
52021 -50.67 -3.68 -238.16 -572.43 11.280145415 23
21364 -65.67 -31.68 -254.16 -570.07 36.9003518293 24
40071 -50.67 -3.68 -238.16 -569.98 11.5506075894 25
55202 -64.67 -30.68 -255.16 -568.74 36.3031430019 26
62836 -64.67 -31.68 -254.16 -568.65 36.5868064207 27
31861 -50.67 -3.68 -238.16 -568.44 11.2954110071 28
24244 -64.67 -31.68 -254.16 -568.44 36.8812553465 29
11426 -64.67 -31.68 -255.16 -567.65 37.3661545865 30
2713 -63.67 -31.68 -256.16 -567.52 38.4089721788 31
47284 -63.67 -31.68 -254.16 -567.17 36.6174239031 32
53401 -63.67 -31.68 -256.16 -567.16 38.4047961994 33
67444 -64.67 -31.68 -254.16 -566.71 36.7242905663 34
6169 -63.67 -31.68 -256.16 -566.29 38.5718678951 35
50293 -50.67 -3.68 -238.16 -566.02 11.0139209014 36
38425 -63.67 -31.68 -256.16 -565.38 38.451027663 37
37492 -64.67 -31.68 -254.16 -565.28 36.7744743627 38
56500 -64.67 -31.68 -255.16 -564.62 37.4374288819 39
36194 -64.67 -31.68 -254.16 -564.12 36.9558951223 40
51316 -64.67 -31.68 -254.16 -563.65 36.926540099 41
30580 -65.67 -31.68 -254.16 -562.61 36.9762316826 42
49012 -65.67 -31.68 -254.16 -562.58 36.8699271662 43
47422 -63.67 -31.68 -255.16 -562.32 38.3394510641 44
10420 -64.67 -31.68 -254.16 -562.28 36.7774473357 45
18338 -64.67 -31.68 -254.16 -561.94 36.6587049171 46
50594 -64.67 -31.68 -254.16 -561.35 36.5822414676 47
34466 -64.67 -31.68 -255.16 -560.49 37.3483038445 48
59380 -64.67 -31.68 -254.16 -559.95 36.8688604335 49
25972 -65.67 -31.68 -254.16 -559.46 36.841060792 50
21639 -50.67 -3.68 -238.16 -558.90 11.5055688754 51
33964 -63.67 -31.68 -256.16 -558.78 38.3680224317 52
68725 -50.67 -3.68 -238.16 -558.76 11.0680027003 53
32557 -62.67 -36.68 -253.16 -558.71 41.3527040985 54
21721 -63.67 -31.68 -256.16 -558.32 38.6005037307 55
40372 -64.67 -31.68 -254.16 -558.29 36.6312325562 56
34969 -63.67 -31.68 -256.16 -558.00 38.6552806553 57
56638 -63.67 -30.68 -256.16 -556.82 37.7404283403 58
58804 -64.67 -31.68 -254.16 -556.76 36.5401222045 59
9122 -64.67 -30.68 -255.16 -556.55 36.3311122285 60
34741 -50.67 -2.68 -239.16 -556.21 10.1653223579 61
4514 -64.67 -31.68 -254.16 -555.86 36.6231612893 62
50302 -63.67 -30.68 -256.16 -555.80 37.6248053394 63
44980 -64.67 -31.68 -254.16 -555.15 36.6904204575 64
68020 -64.67 -31.68 -254.16 -555.12 36.6200343577 65
55279 -50.67 -3.68 -238.16 -554.89 11.2360991554 66
33890 -65.67 -31.68 -254.16 -554.72 36.8828651113 67
58503 -49.67 -3.68 -238.16 -554.63 11.3682243764 68
65140 -64.67 -31.68 -254.16 -554.59 37.0258559671 69
19774 -62.67 -31.68 -255.16 -553.96 37.982608779 70
41077 -51.67 -2.68 -238.16 -553.71 10.3562772734 71
45986 -64.67 -31.68 -255.16 -553.67 37.2745203432 72
58585 -63.67 -30.68 -256.16 -553.56 37.6922992287 73
54050 -64.67 -31.68 -255.16 -553.37 37.345557644 74
11929 -63.67 -30.68 -256.16 -553.35 37.6904043774 75
5236 -64.67 -31.68 -254.16 -552.89 36.9810717272 76
32710 -62.67 -31.68 -255.16 -552.86 38.031512094 77
48793 -63.67 -31.68 -256.16 -552.75 38.4480085481 78
2485 -50.67 -2.68 -239.16 -551.99 9.99120519419 79
63988 -64.67 -31.68 -254.16 -551.84 36.8360257932 80
11710 -63.67 -30.68 -256.16 -551.64 37.7110932957 81
40645 -62.67 -35.68 -253.16 -551.47 40.6448636062 82
66073 -63.67 -31.68 -256.16 -551.22 38.5590926805 83
60358 -62.67 -31.68 -255.16 -551.09 37.9014098713 84
61108 -64.67 -31.68 -255.16 -550.49 37.4184677332 85
56857 -63.67 -30.68 -256.16 -550.26 37.710479257 86
34750 -63.67 -30.68 -256.16 -549.98 37.5535581487 87
58507 -63.67 -30.68 -256.16 -549.56 37.7286781322 88
64706 -64.67 -35.68 -251.16 -549.01 39.1276460994 89
20173 -62.67 -35.68 -253.16 -548.75 40.5741916292 90
628 -64.67 -30.68 -255.16 -548.66 36.1788737709 91
24373 -50.67 -3.68 -238.16 -548.61 10.9440452951 92
29209 -63.67 -31.68 -255.16 -548.46 38.2385514073 93
42805 -50.67 -3.68 -238.16 -548.29 10.7248529467 94
20498 -63.67 -35.68 -251.16 -548.11 38.9370508583 95
15157 -50.67 -3.68 -238.16 -548.07 11.5001058553 96
14125 -62.67 -35.68 -253.16 -548.03 40.4201182652 97
32581 -62.67 -34.68 -253.16 -547.83 39.6865369892 98
24033 -49.67 -3.68 -238.16 -547.82 11.580878217 99
41812 -65.67 -31.68 -254.16 -547.67 36.7683966096 100
38644 -64.67 -30.68 -255.16 -547.11 36.1789321196 101
4588 -63.67 -30.68 -256.16 -546.99 37.5664318006 102
69574 -62.67 -31.68 -255.16 -546.83 37.9815615843 103
23020 -63.67 -30.68 -256.16 -546.66 37.4844236944 104
12148 -65.67 -30.68 -255.16 -546.54 36.3826121246 105
7321 -63.67 -31.68 -256.16 -546.40 38.2927553278 106
31062 -62.67 -33.68 -254.16 -546.01 39.0989523637 107
49945 -63.67 -31.68 -256.16 -545.84 38.3704490537 108
9670 -62.67 -31.68 -255.16 -545.66 38.0206221977 109
10558 -63.67 -31.68 -255.16 -545.66 38.3866328878 110
41378 -64.67 -31.68 -254.16 -545.58 36.8002903399 111
36050 -64.67 -35.68 -251.16 -545.54 39.1253317684 112
40153 -63.67 -31.68 -256.16 -545.53 38.4294926894 113
8116 -64.67 -31.68 -254.16 -545.49 36.6123250126 114
181 -50.67 -3.68 -238.16 -545.41 10.7425440105 115
57061 -62.67 -34.68 -253.16 -545.08 39.7016187973 116
50164 -64.67 -30.68 -255.16 -544.84 36.3205911698 117
2494 -63.67 -31.68 -256.16 -544.77 38.455348578 118
24601 -63.67 -31.68 -255.16 -544.55 38.3388302059 119
13081 -63.67 -31.68 -256.16 -544.52 38.4545984732 120
