rotation transx transy transz piper LRMSD modelnum
22305 -19.46 -42.18 -76.42 -724.17 18.3578354937 0
33177 -19.46 -42.18 -76.42 -723.89 18.4161386654 1
49953 -19.46 -42.18 -76.42 -720.60 18.3907904486 2
66081 -20.46 -42.18 -77.42 -707.88 17.8813674332 3
47001 -19.46 -41.18 -76.42 -705.10 18.3205265945 4
7473 -21.46 -42.18 -78.42 -700.93 17.5794310571 5
25113 -19.46 -42.18 -76.42 -698.85 18.4805525957 6
57369 -19.46 -41.18 -76.42 -697.82 18.347299915 7
3873 -19.46 -42.18 -76.42 -696.76 18.3885492622 8
10137 -19.46 -41.18 -76.42 -695.86 18.357085852 9
921 -19.46 -41.18 -75.42 -691.91 18.2954281396 10
61977 -19.46 -42.18 -76.42 -691.76 18.402895016 11
55065 -20.46 -41.18 -77.42 -691.59 17.7961539731 12
40737 -18.46 -41.18 -75.42 -689.81 18.7893895159 13
31521 -19.46 -41.18 -75.42 -686.96 18.3041810624 14
14745 -18.46 -41.18 -75.42 -686.71 18.8394556345 15
43545 -18.46 -41.18 -75.42 -682.35 18.8227801931 16
53553 -22.46 -41.18 -78.42 -682.14 17.0560264092 17
4881 -23.46 -39.18 -72.42 -680.33 16.5501857495 18
45849 -19.46 -42.18 -77.42 -678.42 18.4368553451 19
17697 -19.46 -42.18 -75.42 -676.49 18.3449702547 20
50961 -23.46 -39.18 -72.42 -674.53 16.5957749827 21
68385 -19.46 -41.18 -75.42 -674.30 18.2599843672 22
60465 -19.46 -41.18 -76.42 -674.17 18.2749649643 23
6681 -18.46 -41.18 -75.42 -674.13 18.8774433669 24
13089 -20.46 -41.18 -76.42 -672.96 17.7893704494 25
14241 -19.46 -42.18 -76.42 -671.84 18.3252527732 26
28569 -18.46 -41.18 -75.42 -671.75 18.9420807939 27
46641 -19.46 -41.18 -75.42 -668.46 18.2038102658 28
37425 -21.46 -41.18 -77.42 -667.60 17.4243388697 29
34329 -20.46 -41.18 -77.42 -667.55 17.9391031472 30
23601 -20.46 -42.18 -77.42 -666.38 18.1340299533 31
36129 -19.46 -42.18 -76.42 -664.96 18.3379633504 32
29217 -21.46 -41.18 -78.42 -664.31 17.4444575635 33
