rotation transx transy transz piper LRMSD modelnum
15963 -69.69 -26.37 1.11 -998.77 24.8993119202 0
62043 -69.69 -26.37 1.11 -983.93 24.9475378512 1
50379 -69.69 -26.37 1.11 -974.64 24.974355856 2
26187 -69.69 -27.37 1.11 -954.20 25.4921860311 3
43611 -69.69 -27.37 1.11 -951.60 25.5561668683 4
2045 -66.69 -28.37 2.11 -940.20 30.750702357 5
56899 -69.69 -26.37 1.11 -935.79 24.8158979144 6
58301 -70.69 -26.37 0.11 -934.69 25.090277638 7
21437 -69.69 -26.37 1.11 -931.62 24.9765957694 8
20477 -66.69 -27.37 3.11 -930.66 30.6042707684 9
36411 -69.69 -27.37 1.11 -928.25 25.5416261111 10
4299 -69.69 -27.37 1.11 -927.35 25.5483001887 11
48125 -65.69 -28.37 3.11 -925.94 30.9143655437 12
13515 -69.69 -26.37 1.11 -925.76 25.0388410387 13
69283 -69.69 -27.37 1.11 -912.43 25.4270019381 14
7181 -69.69 -26.37 1.11 -911.95 25.0870639839 15
61181 -69.69 -25.37 1.11 -910.53 24.5317244097 16
21025 -76.69 -27.37 -6.89 -903.90 29.6475080052 17
26884 -63.69 -30.37 3.11 -902.82 26.417254035 18
40483 -69.69 -27.37 1.11 -902.36 25.4220963904 19
37613 -66.69 -28.37 3.11 -902.26 31.287594149 20
2755 -69.69 -26.37 1.11 -900.35 24.8258687025 21
52157 -65.69 -28.37 3.11 -899.74 30.9750705922 22
52733 -66.69 -28.37 2.11 -897.86 30.7015982332 23
20035 -69.69 -27.37 1.11 -896.84 25.4961519808 24
9025 -76.69 -27.37 -6.89 -896.39 29.5673082104 25
26669 -65.69 -29.37 3.11 -895.83 31.6986574658 26
67517 -69.69 -27.37 1.11 -895.28 25.565302926 27
29251 -69.69 -26.37 1.11 -893.71 24.8596107933 28
45915 -69.69 -25.37 1.11 -893.56 24.3969684302 29
63533 -65.69 -29.37 3.11 -893.15 31.6886446849 30
52827 -70.69 -26.37 0.11 -891.57 24.970091169 31
11261 -66.69 -28.37 2.11 -890.77 30.7833772579 32
1131 -69.69 -25.37 1.11 -889.30 24.4212747598 33
41021 -69.69 -27.37 1.11 -889.13 25.5396725372 34
39147 -69.69 -25.37 1.11 -887.55 24.5173376033 35
5739 -70.69 -26.37 0.11 -886.95 25.0316788889 36
30653 -69.69 -26.37 1.11 -886.87 24.9379582793 37
65261 -65.69 -29.37 3.11 -885.04 31.631790747 38
68929 -76.69 -27.37 -6.89 -884.98 29.5006204954 39
34300 -63.69 -31.37 4.11 -882.05 27.6775500929 40
30221 -69.69 -25.37 2.11 -879.73 25.1057829807 41
62524 -64.69 -29.37 4.11 -878.49 26.3545607547 42
67709 -66.69 -28.37 2.11 -878.05 30.6749307326 43
2476 -63.69 -30.37 4.11 -877.89 26.8275435444 44
43949 -65.69 -28.37 3.11 -877.04 30.9542216386 45
60652 -63.69 -31.37 4.11 -875.21 27.6953074039 46
55105 -76.69 -27.37 -6.89 -874.89 29.7935044005 47
15869 -66.69 -28.37 2.11 -874.42 30.7300546674 48
60797 -67.69 -26.37 3.11 -872.37 30.1320149521 49
23788 -63.69 -30.37 3.11 -872.06 26.4145000633 50
40061 -65.69 -28.37 3.11 -872.02 30.8468467888 51
49924 -63.69 -30.37 4.11 -870.46 26.9772756746 52
20805 -48.69 -27.37 0.11 -869.77 25.9382136315 53
37037 -66.69 -28.37 3.11 -869.60 31.3549058502 54
13060 -63.69 -30.37 3.11 -868.01 26.480070406 55
28948 -77.69 -27.37 -6.89 -867.46 30.3310297868 56
25179 -69.69 -26.37 1.11 -866.62 25.0480002305 57
45820 -63.69 -30.37 4.11 -865.85 26.8977399249 58
60436 -63.69 -30.37 3.11 -865.05 26.4907332462 59
6653 -67.69 -27.37 2.11 -864.62 30.4010664681 60
34849 -77.69 -27.37 -6.89 -863.12 30.2888487379 61
47211 -69.69 -25.37 1.11 -861.72 24.5376134761 62
21264 -65.69 -38.37 -0.89 -861.25 32.8699640104 63
59064 -65.69 -29.37 3.11 -859.27 31.789968257 64
4920 -65.69 -29.37 3.11 -859.12 31.7830363375 65
17018 -65.69 -38.37 -0.89 -858.58 32.7462961816 66
45192 -64.69 -29.37 3.11 -858.28 25.7357303437 67
68860 -63.69 -30.37 4.11 -857.88 26.8926493102 68
15293 -65.69 -28.37 3.11 -856.78 30.9728290308 69
45818 -65.69 -38.37 -0.89 -855.83 32.8492929574 70
38467 -69.69 -26.37 1.11 -854.83 24.9156834259 71
43517 -67.69 -27.37 2.11 -854.74 30.3410502581 72
5808 -65.69 -38.37 -0.89 -854.18 32.7377785135 73
61345 -77.69 -27.37 -6.89 -854.12 30.3074771947 74
26381 -66.69 -28.37 2.11 -853.97 30.7849322525 75
16971 -70.69 -26.37 1.11 -853.68 25.3599410482 76
24481 -76.69 -27.37 -6.89 -852.88 29.8102943515 77
15101 -68.69 -26.37 1.11 -852.54 24.6073184962 78
24362 -64.69 -30.37 3.11 -852.34 26.5264584647 79
33477 -48.69 -27.37 1.11 -851.83 26.3144027421 80
8811 -66.69 -27.37 2.11 -851.79 29.9194245435 81
41212 -63.69 -30.37 3.11 -851.60 26.2751931408 82
37252 -63.69 -30.37 4.11 -849.99 26.9168710799 83
34685 -69.69 -25.37 1.11 -849.28 24.6491921155 84
23933 -66.69 -27.37 3.11 -849.17 30.4487912638 85
2593 -76.69 -27.37 -6.89 -848.24 29.737802295 86
23160 -69.69 -26.37 2.11 -847.81 25.6326926632 87
24317 -69.69 -25.37 2.11 -847.67 25.0145559419 88
17020 -63.69 -29.37 4.11 -846.81 26.1703076068 89
12048 -66.69 -37.37 -0.89 -846.40 32.138876823 90
64321 -76.69 -27.37 -6.89 -846.35 29.800695042 91
11589 -50.69 -28.37 1.11 -846.07 26.1499304163 92
34395 -70.69 -25.37 1.11 -845.11 24.9320640797 93
48835 -69.69 -27.37 1.11 -844.21 25.5091406142 94
8954 -65.69 -38.37 -0.89 -843.29 32.6336635531 95
44045 -69.69 -26.37 1.11 -843.27 25.0858312811 96
69652 -63.69 -31.37 3.11 -841.86 27.2908332712 97
54317 -65.69 -29.37 3.11 -841.37 31.7504327466 98
27355 -56.69 -36.37 0.11 -841.06 29.1485773755 99
56045 -65.69 -28.37 2.11 -840.47 30.4465931794 100
31851 -66.69 -27.37 3.11 -839.86 30.5432544571 101
14717 -67.69 -26.37 3.11 -839.42 30.2171334878 102
17453 -65.69 -29.37 3.11 -838.76 31.7629730979 103
61949 -66.69 -28.37 2.11 -838.76 30.6186962995 104
44619 -69.69 -27.37 2.11 -838.00 25.9139538961 105
34251 -69.69 -27.37 2.11 -837.42 25.918925002 106
46681 -57.69 -37.37 1.11 -837.36 30.904348187 107
53261 -70.69 -26.37 1.11 -837.13 25.5243663799 108
42796 -63.69 -30.37 4.11 -836.84 26.9279265774 109
60067 -69.69 -27.37 2.11 -836.66 25.9069272893 110
10516 -76.69 -26.37 -6.89 -836.58 28.8337247827 111
33149 -66.69 -28.37 2.11 -836.36 30.6352062634 112
172 -62.69 -30.37 4.11 -836.29 26.6945575514 113
38712 -64.69 -29.37 3.11 -836.17 25.7175577489 114
16300 -62.69 -30.37 4.11 -835.77 26.6317597465 115
41855 -62.69 -11.37 -11.89 -835.24 18.267983474 116
38041 -56.69 -37.37 1.11 -834.29 30.5973390568 117
53164 -63.69 -30.37 4.11 -834.27 26.8776332992 118
56620 -62.69 -29.37 4.11 -832.88 25.8638455544 119
55205 -69.69 -25.37 2.11 -832.84 25.1862289566 120
42797 -68.69 -29.37 1.11 -832.78 31.60262034 121
24145 -76.69 -27.37 -6.89 -832.73 29.7838145515 122
28149 -50.69 -28.37 1.11 -832.33 26.2039399232 123
21482 -64.69 -29.37 3.11 -832.28 25.7688191615 124
57196 -63.69 -31.37 4.11 -832.27 27.7385188391 125
5453 -63.69 -30.37 4.11 -832.26 26.7129159355 126
28397 -64.69 -29.37 3.11 -832.25 31.3625536918 127
13563 -66.69 -27.37 2.11 -832.24 29.9844220997 128
36893 -66.69 -28.37 2.11 -830.49 30.7404737308 129
46392 -65.69 -29.37 3.11 -828.97 31.7520181708 130
52485 -49.69 -28.37 1.11 -828.71 26.2989158493 131
48556 -62.69 -30.37 4.11 -828.52 26.5561549619 132
59498 -64.69 -30.37 3.11 -828.29 26.5282341727 133
57579 -70.69 -25.37 1.11 -828.13 25.090197542 134
16301 -68.69 -29.37 1.11 -827.56 31.6200966105 135
21337 -56.69 -37.37 1.11 -827.33 30.6220373231 136
31996 -63.69 -29.37 4.11 -827.30 26.2315557533 137
57341 -66.69 -27.37 3.11 -827.17 30.5597017159 138
19509 -50.69 -28.37 1.11 -827.08 25.8345068148 139
5932 -62.69 -29.37 4.11 -826.91 25.9677773902 140
53884 -63.69 -30.37 4.11 -826.49 26.846800107 141
62256 -69.69 -26.37 2.11 -826.37 25.7022572611 142
32065 -76.69 -27.37 -6.89 -826.21 29.6602331255 143
32419 -69.69 -27.37 2.11 -826.17 25.9387318964 144
173 -68.69 -30.37 1.11 -826.11 32.2498530058 145
63748 -63.69 -30.37 4.11 -825.94 26.9402353555 146
43824 -66.69 -37.37 -0.89 -825.86 32.0788502966 147
63245 -66.69 -28.37 2.11 -825.24 30.7403181692 148
33868 -57.69 -35.37 3.11 -824.78 29.5228374446 149
66795 -70.69 -26.37 1.11 -824.55 25.5514909505 150
67204 -63.69 -29.37 4.11 -824.45 26.1939061556 151
48453 -48.69 -27.37 1.11 -824.35 26.227951509 152
4202 -64.69 -30.37 3.11 -824.04 26.5399634092 153
