rotation transx transy transz piper LRMSD modelnum
55301 -89.19 -14.04 6.48 -913.18 7.34087150512 0
4613 -88.19 -14.04 6.48 -860.16 6.42541717466 1
50693 -88.19 -14.04 6.48 -856.77 6.43872293344 2
39389 -88.19 -14.04 6.48 -851.72 7.02270453888 3
33413 -89.19 -14.04 6.48 -847.44 7.22903869825 4
25349 -89.19 -14.04 6.48 -840.39 7.56040603224 5
18437 -88.19 -14.04 6.48 -835.55 7.00082103338 6
31109 -88.19 -14.04 6.48 -833.27 6.28979740733 7
41477 -89.19 -14.04 6.48 -830.57 7.18906853406 8
12749 -89.19 -14.04 6.48 -828.61 7.92648813121 9
28877 -89.19 -14.04 6.48 -828.23 7.18744976199 10
44984 -91.19 -11.04 0.48 -827.96 13.5553716541 11
49613 -89.19 -14.04 6.48 -825.72 7.85621945833 12
12942 -91.19 -11.04 0.48 -822.03 13.7615238798 13
62213 -89.19 -14.04 6.48 -814.78 7.45146766727 14
29070 -91.19 -11.04 0.48 -811.20 13.5368148951 15
63221 -88.19 -14.04 6.48 -807.34 6.42708434004 16
67973 -89.19 -14.04 7.48 -803.06 6.67557420467 17
35789 -88.19 -14.04 6.48 -798.37 7.39368446096 18
21965 -89.19 -14.04 6.48 -797.59 7.3455061115 19
60032 -91.19 -11.04 0.48 -797.15 13.7811217807 20
53213 -88.19 -14.04 6.48 -794.11 7.36144295329 21
3533 -89.19 -14.04 6.48 -791.30 7.92753159683 22
65741 -89.19 -14.04 6.48 -791.00 7.1423699562 23
24248 -91.19 -11.04 0.48 -790.98 13.603871073 24
35066 -87.19 -18.04 -3.52 -788.99 16.8742786173 25
26357 -88.19 -14.04 6.48 -788.42 6.54663344743 26
9221 -89.19 -14.04 7.48 -784.55 6.80399656121 27
2854 -86.19 -16.04 11.48 -783.96 8.9636036149 28
27869 -89.19 -14.04 6.48 -783.70 8.01973313753 29
65934 -91.19 -11.04 0.48 -779.83 13.6876493626 30
15829 -88.19 -14.04 5.48 -778.03 5.17458991139 31
54551 -87.19 -12.04 6.48 -778.01 15.7528338013 32
17251 -87.19 -13.04 5.48 -776.00 4.69498978353 33
