rotation transx transy transz piper LRMSD modelnum
61058 8.21 -3.04 -35.99 -569.43 4.29479048202 0
16341 11.21 -2.04 -37.99 -565.41 9.1650944692 1
41546 8.21 -3.04 -35.99 -558.74 4.30858507359 2
56661 11.21 -2.04 -37.99 -557.77 9.11089337023 3
19797 12.21 -2.04 -38.99 -553.44 9.23636806386 4
53205 11.21 -2.04 -37.99 -549.17 9.26952060379 5
24194 8.21 -3.04 -35.99 -547.73 4.31362318888 6
29013 12.21 -2.04 -38.99 -546.69 9.13046379656 7
65877 12.21 -2.04 -38.99 -546.14 9.24510020913 8
55370 8.21 -3.04 -35.99 -544.66 4.38571818033 9
7125 10.21 -3.04 -37.99 -544.47 9.25941269749 10
34416 8.21 -3.04 -35.99 -543.89 4.29888243835 11
11733 11.21 -1.04 -38.99 -543.05 9.10474375649 12
9290 8.21 -3.04 -35.99 -542.84 4.30900707854 13
4682 7.21 -3.04 -35.99 -541.94 4.47746030126 14
25557 11.21 -2.04 -37.99 -541.88 9.24450470025 15
49749 11.21 -2.04 -37.99 -541.44 9.23913416245 16
23114 8.21 -3.04 -34.99 -540.23 5.12911340046 17
69758 8.21 -3.04 -35.99 -538.57 4.38873691127 18
13898 7.21 -3.04 -35.99 -538.49 4.5772433669 19
45633 9.21 -2.04 -36.99 -537.98 9.3712813863 20
60263 11.21 -2.04 -37.99 -537.85 9.09251117473 21
38229 11.21 -2.04 -37.99 -536.78 9.20387013202 22
56450 8.21 -3.04 -35.99 -536.67 4.28951496675 23
26040 8.21 -1.04 -36.99 -536.65 4.46660310569 24
26709 11.21 -2.04 -37.99 -535.63 9.24280165406 25
4431 10.21 -2.04 -37.99 -535.56 9.13749102059 26
2517 11.21 -2.04 -37.99 -535.40 9.30294320875 27
65162 8.21 -3.04 -35.99 -534.92 4.38667400072 28
53560 13.21 -5.04 -37.99 -534.21 9.70494034146 29
9854 8.21 -3.04 -35.99 -532.34 4.33314750866 30
50762 7.21 -3.04 -35.99 -532.30 4.51520291191 31
22863 10.21 -2.04 -37.99 -532.21 9.27644919433 32
48597 11.21 -2.04 -37.99 -531.95 9.25845923309 33
48240 9.21 -3.04 -35.99 -531.76 4.67676935673 34
55934 8.21 -3.04 -35.99 -531.59 4.38658750982 35
50511 10.21 -2.04 -37.99 -531.51 9.10250198535 36
58826 7.21 -3.04 -34.99 -531.37 5.37238797941 37
42110 8.21 -3.04 -35.99 -530.38 4.35569290092 38
51537 11.21 -1.04 -37.99 -530.20 9.30422857515 39
5973 12.21 -2.04 -38.99 -529.98 9.21535165857 40
12885 11.21 -2.04 -37.99 -529.76 9.11997269859 41
11376 8.21 -3.04 -35.99 -529.53 4.28972437955 42
69194 8.21 -3.04 -35.99 -529.14 4.37401697448 43
59978 8.21 -3.04 -35.99 -528.62 4.3014413321 44
38078 8.21 -3.04 -35.99 -528.37 4.32358172638 45
65726 8.21 -3.04 -35.99 -528.15 4.37842136034 46
16833 9.21 -2.04 -36.99 -528.11 9.40884417214 47
19586 8.21 -3.04 -35.99 -528.04 4.30084355159 48
37378 8.21 -7.04 -29.99 -527.93 11.9503076664 49
45504 10.21 -4.04 -35.99 -527.72 6.56812729549 50
4967 12.21 -3.04 -38.99 -527.56 9.17369463444 51
18506 7.21 -3.04 -35.99 -527.54 4.55169177504 52
34959 10.21 -2.04 -37.99 -527.23 9.24308488118 53
26463 11.21 -2.04 -37.99 -527.08 9.26073976732 54
42837 11.21 -2.04 -37.99 -526.80 9.12287337695 55
44354 8.21 -3.04 -35.99 -526.79 4.29743098987 56
33765 10.21 -2.04 -37.99 -526.26 9.18604240916 57
2160 9.21 -3.04 -35.99 -526.02 4.69232442535 58
61455 10.21 -2.04 -37.99 -526.01 9.19696570157 59
67960 13.21 -4.04 -38.99 -525.94 9.27757439739 60
34773 11.21 -2.04 -38.99 -525.83 8.86440001197 61
42908 10.21 -4.04 -36.99 -525.81 6.40671690841 62
3669 11.21 -2.04 -37.99 -525.73 9.29721735739 63
1365 12.21 -2.04 -38.99 -525.51 9.06553849783 64
23399 11.21 -2.04 -38.99 -525.34 8.90386503069 65
35679 12.21 -2.04 -38.99 -524.98 9.19970312517 66
64479 12.21 -2.04 -38.99 -524.97 9.14057832722 67
51338 8.21 -3.04 -35.99 -524.92 4.38265338162 68
284 11.21 -5.04 -36.99 -524.55 7.15820763401 69
