rotation transx transy transz piper LRMSD modelnum
35174 -77.27 -11.39 28.73 -718.86 14.6302526251 0
68006 -77.27 -11.39 29.73 -712.32 15.6684113759 1
31142 -77.27 -11.39 28.73 -712.09 14.8013999998 2
2918 -77.27 -11.39 28.73 -710.34 14.5925637655 3
23078 -77.27 -11.39 28.73 -709.47 14.7449736165 4
60542 -101.27 -18.39 19.73 -707.12 19.1404323006 5
7526 -77.27 -11.39 28.73 -706.72 14.7667525523 6
4646 -77.27 -11.39 28.73 -704.42 14.7534255447 7
53606 -77.27 -11.39 28.73 -703.39 14.6904207594 8
39782 -77.27 -11.39 28.73 -701.29 14.5524987596 9
5911 -84.27 -15.39 23.73 -700.69 7.71586691854 10
61670 -77.27 -11.39 28.73 -699.37 14.6439183591 11
19622 -77.27 -10.39 29.73 -698.71 16.1201469023 12
12710 -77.27 -11.39 28.73 -696.46 14.8303564262 13
36180 -77.27 -10.39 29.73 -695.33 15.9877161287 14
23678 -101.27 -18.39 19.73 -692.45 19.1120702547 15
51991 -84.27 -15.39 23.73 -691.14 7.75955642295 16
59942 -77.27 -11.39 28.73 -687.77 14.8479379606 17
61537 -83.27 -14.39 26.73 -687.29 14.0742504166 18
44390 -77.27 -11.39 29.73 -685.50 15.6350260271 19
52321 -83.27 -14.39 26.73 -684.72 14.0955437644 20
1633 -83.27 -14.39 26.73 -684.13 14.0290727399 21
12963 -83.27 -15.39 24.73 -683.89 12.3573502585 22
271 -82.27 -13.39 24.73 -683.69 9.91230729906 23
33446 -77.27 -10.39 29.73 -683.31 16.1715332872 24
9254 -77.27 -11.39 29.73 -682.10 15.6889516264 25
29281 -83.27 -14.39 26.73 -676.70 13.998727626 26
10063 -82.27 -13.39 24.73 -675.98 9.93658420094 27
65126 -77.27 -10.39 29.73 -675.82 16.0063937581 28
21350 -77.27 -11.39 28.73 -675.48 14.6106099733 29
54575 -84.27 -15.39 25.73 -674.63 11.6457998338 30
38167 -84.27 -16.39 22.73 -673.60 6.7014555755 31
