rotation transx transy transz piper LRMSD modelnum
48145 -15.58 -76.06 6.80 -579.69 6.03387117501 0
2065 -15.58 -76.06 6.80 -574.56 6.12951585449 1
12577 -15.58 -76.06 6.80 -572.74 5.96464503371 2
33169 -15.58 -76.06 6.80 -571.79 6.26652073794 3
337 -15.58 -76.06 7.80 -568.66 5.84409253155 4
54986 -20.58 -77.06 6.80 -568.28 10.0785657967 5
67729 -15.58 -76.06 7.80 -567.40 5.82881146989 6
6673 -15.58 -76.06 6.80 -562.02 6.42528826126 7
37633 -15.58 -76.06 6.80 -561.15 6.00084090451 8
42961 -15.58 -76.06 7.80 -555.65 5.87116731676 9
62908 -20.58 -77.06 6.80 -555.58 9.82276058298 10
69820 -20.58 -77.06 6.80 -553.77 9.89985514227 11
29713 -15.58 -76.06 6.80 -553.21 6.22349269998 12
32564 -20.58 -77.06 6.80 -553.08 10.51329981 13
6097 -15.58 -76.06 7.80 -551.26 5.68509834202 14
30865 -15.58 -76.06 6.80 -548.97 6.18088329067 15
20281 -20.58 -76.06 6.80 -548.83 9.3877906768 16
57361 -15.58 -76.06 7.80 -547.46 5.9772317111 17
52970 -20.58 -77.06 6.80 -547.44 9.96025055191 18
49441 -15.58 -76.06 6.80 -547.36 6.16871172607 19
45121 -15.58 -76.06 6.80 -546.84 5.78316276742 20
20497 -15.58 -76.06 6.80 -545.73 6.30142905486 21
61969 -15.58 -76.06 6.80 -545.16 6.23209635771 22
11281 -15.58 -76.06 6.80 -544.35 5.85723554987 23
21793 -15.58 -76.06 6.80 -542.11 6.40360150778 24
25105 -15.58 -76.06 6.80 -541.50 6.04562187457 25
3361 -15.58 -76.06 6.80 -540.77 6.29382528474 26
10129 -15.58 -76.06 7.80 -540.21 6.01835859046 27
3217 -15.58 -76.06 7.80 -540.07 5.55993918343 28
40081 -15.58 -76.06 7.80 -540.02 6.1225732404 29
34108 -20.58 -76.06 6.80 -540.01 9.870428307 30
46993 -15.58 -76.06 7.80 -539.45 6.21956710901 31
44476 -20.58 -77.06 6.80 -539.38 9.92340708925 32
23953 -15.58 -76.06 7.80 -538.07 6.23334981282 33
21649 -15.58 -76.06 7.80 -537.95 5.7636021417 34
40628 -20.58 -77.06 6.80 -537.34 10.3528329348 35
48696 -20.58 -77.06 6.80 -537.09 9.49852007802 36
5305 -20.58 -77.06 6.80 -536.76 9.92328575609 37
46777 -19.58 -76.06 6.80 -535.82 9.16006759062 38
58444 -19.58 -77.06 6.80 -534.45 9.19292883651 39
33958 -15.58 -76.06 7.80 -534.22 5.67440913426 40
16106 -19.58 -77.06 6.80 -534.21 9.51451769416 41
60212 -20.58 -77.06 6.80 -534.17 10.4740769854 42
45770 -19.58 -77.06 7.80 -533.83 9.47219797015 43
51385 -20.58 -77.06 6.80 -533.31 9.81449050464 44
23884 -20.58 -76.06 6.80 -532.38 9.7219325064 45
50075 -11.58 -75.06 12.80 -532.25 8.94917362408 46
10535 -20.58 -77.06 7.80 -531.99 10.0374361039 47
16828 -20.58 -77.06 6.80 -531.85 9.8083218047 48
4156 -19.58 -77.06 7.80 -531.72 8.92173267231 49
37563 -20.58 -76.06 6.80 -530.70 9.37074847695 50
22945 -15.58 -76.06 5.80 -530.30 6.38227617836 51
52753 -15.58 -76.06 6.80 -530.23 6.18810211604 52
20180 -20.58 -77.06 6.80 -530.19 10.5768677531 53
9911 -18.58 -78.06 11.80 -530.02 10.1210886032 54
58513 -15.58 -76.06 7.80 -529.94 5.94996246967 55
18052 -15.58 -76.06 7.80 -529.43 6.09007420774 56
2014 -19.58 -77.06 7.80 -529.37 9.44769294254 57
57143 -18.58 -78.06 11.80 -529.25 10.1392815907 58
7825 -15.58 -76.06 7.80 -529.23 5.84723395638 59
60604 -20.58 -77.06 6.80 -529.06 10.178864624 60
50996 -20.58 -77.06 5.80 -528.99 10.6018903458 61
26044 -20.58 -77.06 6.80 -528.87 9.97314085279 62
33889 -15.58 -76.06 6.80 -528.73 5.55646144024 63
18594 -21.58 -77.06 5.80 -528.59 11.8144315787 64
12116 -20.58 -77.06 6.80 -528.51 10.7447375664 65
60622 -20.58 -77.06 6.80 -528.36 10.0067734665 66
41233 -14.58 -76.06 7.80 -528.28 5.12447644311 67
66577 -15.58 -76.06 6.80 -528.02 6.41626709348 68
68812 -20.58 -76.06 6.80 -528.01 9.42811062374 69
3995 -11.58 -75.06 12.80 -527.97 8.91749201577 70
38857 -19.58 -77.06 5.80 -527.84 9.53340245902 71
31948 -20.58 -76.06 6.80 -527.64 9.34902924142 72
57145 -20.58 -76.06 6.80 -527.46 9.56649895197 73
15838 -19.58 -77.06 7.80 -527.46 9.29551168076 74
1489 -14.58 -76.06 7.80 -527.10 5.14117355011 75
61537 -15.58 -76.06 6.80 -526.92 6.17945323645 76
47399 -19.58 -77.06 7.80 -526.91 9.6802959141 77
42187 -20.58 -77.06 6.80 -526.78 10.1339531179 78
64202 -20.58 -77.06 6.80 -526.78 10.333438628 79
66978 -20.58 -77.06 6.80 -526.75 10.5037585049 80
18625 -14.58 -76.06 6.80 -526.74 5.57903040041 81
8764 -20.58 -77.06 6.80 -526.71 9.64233575915 82
43754 -20.58 -77.06 6.80 -526.71 10.3291130895 83
65211 -20.58 -77.06 6.80 -526.53 9.52972594446 84
36913 -15.58 -76.06 6.80 -526.17 6.4032695041 85
21042 -20.58 -77.06 6.80 -525.74 10.2647156906 86
49297 -15.58 -76.06 7.80 -525.67 5.47105256492 87
48094 -19.58 -77.06 7.80 -525.44 9.4615417779 88
697 -19.58 -76.06 6.80 -525.37 9.2598944104 89
15457 -15.58 -76.06 6.80 -525.19 5.96675869299 90
10705 -14.58 -76.06 7.80 -524.96 4.93074302117 91
8759 -17.58 -78.06 12.80 -524.90 9.68386140736 92
65281 -15.58 -76.06 6.80 -524.13 5.75957512187 93
56065 -15.58 -76.06 6.80 -523.87 5.81692391319 94
67660 -19.58 -77.06 6.80 -523.71 9.25608169672 95
21048 -20.58 -77.06 6.80 -523.60 9.76113591898 96
41164 -19.58 -77.06 6.80 -523.51 9.00857805558 97
38178 -20.58 -77.06 6.80 -523.42 10.3941566173 98
45929 -17.58 -78.06 12.80 -523.15 9.52658739883 99
55489 -15.58 -76.06 6.80 -522.79 6.00220004769 100
59447 -18.58 -79.06 12.80 -522.63 10.181829265 101
5596 -20.58 -77.06 6.80 -522.61 9.87315878467 102
29641 -20.58 -77.06 6.80 -522.53 9.36160576024 103
44689 -15.58 -76.06 6.80 -522.53 6.54500193974 104
69428 -20.58 -77.06 6.80 -522.25 10.505756087 105
7539 -15.58 -76.06 6.80 -522.12 5.75488756834 106
62611 -15.58 -76.06 7.80 -522.03 5.59793149514 107
57906 -20.58 -77.06 7.80 -521.81 10.1260993992 108
44403 -15.58 -76.06 6.80 -521.79 5.96247057364 109
60251 -18.58 -77.06 5.80 -521.53 10.0168250694 110
47713 -14.58 -76.06 6.80 -521.52 5.75308062564 111
66523 -19.58 -77.06 7.80 -521.38 9.57800280942 112
10964 -20.58 -77.06 5.80 -521.28 10.6500123903 113
119 -18.58 -78.06 11.80 -520.69 10.2464081217 114
38612 -20.58 -77.06 5.80 -520.68 11.1518894353 115
4801 -14.58 -76.06 6.80 -520.55 5.76169998735 116
12364 -19.58 -77.06 6.80 -520.51 8.74780852366 117
16465 -15.58 -76.06 7.80 -520.49 5.92553452847 118
47569 -14.58 -76.06 7.80 -520.46 5.07248874748 119
61393 -14.58 -76.06 7.80 -520.38 5.22758405093 120
34897 -15.58 -76.06 7.80 -520.34 5.57763307136 121
7612 -19.58 -77.06 7.80 -520.15 9.21576582574 122
64915 -12.58 -75.06 10.80 -519.92 3.76464420951 123
14132 -20.58 -77.06 6.80 -519.73 10.2076073377 124
36554 -19.58 -77.06 7.80 -519.59 9.22523199609 125
66203 -11.58 -75.06 12.80 -519.46 8.9599920823 126
25710 -10.58 -75.06 12.80 -519.39 9.1273436294 127
44179 -12.58 -75.06 10.80 -519.21 3.94246350014 128
31365 -20.58 -78.06 10.80 -518.76 11.1583822371 129
52177 -14.58 -76.06 7.80 -518.61 5.10986971018 130
42743 -19.58 -78.06 11.80 -518.28 10.7291659736 131
37559 -19.58 -78.06 10.80 -518.18 10.2108029697 132
46775 -18.58 -78.06 11.80 -518.07 9.98570023202 133
61756 -20.58 -76.06 6.80 -517.93 9.89550689023 134
66652 -19.58 -77.06 7.80 -517.93 8.70994198575 135
57912 -19.58 -77.06 6.80 -517.68 9.1384907852 136
24892 -20.58 -77.06 6.80 -517.59 10.0348533235 137
12499 -14.58 -76.06 7.80 -517.42 4.99175862931 138
52702 -19.58 -77.06 7.80 -517.40 9.32618608521 139
54267 -20.58 -77.06 6.80 -517.29 9.18042217865 140
26401 -15.58 -76.06 6.80 -517.22 6.1920174116 141
10685 -14.58 -77.06 15.80 -517.18 8.4104151321 142
3618 -20.58 -77.06 6.80 -516.81 10.5937139379 143
9335 -19.58 -78.06 10.80 -516.70 10.5048747113 144
62835 -15.58 -76.06 6.80 -516.64 5.53740216444 145
2616 -20.58 -77.06 6.80 -516.62 9.39801997475 146
27196 -20.58 -77.06 5.80 -516.62 9.89606596588 147
42316 -14.58 -77.06 14.80 -516.03 7.96757241169 148
14521 -20.58 -77.06 6.80 -515.94 9.66416070769 149
53905 -15.58 -76.06 6.80 -515.71 6.09550045284 150
52321 -15.58 -76.06 6.80 -515.69 6.17608784155 151
695 -18.58 -78.06 11.80 -515.65 9.91266697428 152
24529 -11.58 -75.06 10.80 -515.58 4.42234929769 153
29339 -11.58 -75.06 12.80 -515.42 8.91253270928 154
40859 -11.58 -75.06 12.80 -515.37 9.06726552511 155
20446 -19.58 -77.06 7.80 -515.31 9.55314951786 156
49228 -20.58 -76.06 6.80 -515.12 9.51039393865 157
42169 -19.58 -77.06 6.80 -514.60 9.49240905186 158
38184 -20.58 -77.06 6.80 -514.55 9.612335854 159
23348 -20.58 -77.06 6.80 -514.49 10.4975024344 160
1353 -18.58 -77.06 5.80 -514.31 9.69799737747 161
9409 -14.58 -76.06 6.80 -514.19 6.01538760642 162
67795 -12.58 -75.06 10.80 -514.17 3.73893044797 163
38929 -15.58 -76.06 7.80 -514.09 6.1842736559 164
14737 -15.58 -76.06 6.80 -514.08 6.64868034238 165
22583 -18.58 -79.06 12.80 -513.77 10.3189081968 166
18122 -19.58 -77.06 6.80 -513.67 9.74213520298 167
41377 -15.58 -76.06 6.80 -513.55 6.19104587741 168
29788 -19.58 -77.06 7.80 -513.53 8.67400094068 169
50807 -19.58 -78.06 10.80 -513.50 10.7988002663 170
19411 -12.58 -75.06 10.80 -513.38 3.72958728462 171
53692 -20.58 -77.06 6.80 -513.36 9.61926136453 172
913 -15.58 -77.06 7.80 -513.32 6.22103758356 173
35041 -14.58 -76.06 6.80 -513.24 5.95742215665 174
32974 -20.58 -77.06 6.80 -512.96 10.0681338245 175
48980 -20.58 -77.06 5.80 -512.95 11.1522916255 176
24673 -15.58 -76.06 6.80 -512.81 5.98459858673 177
56011 -20.58 -77.06 7.80 -512.79 9.96411333693 178
43321 -20.58 -77.06 6.80 -512.77 9.70192039397 179
51403 -20.58 -77.06 6.80 -512.65 9.94258962793 180
38555 -11.58 -75.06 12.80 -512.41 9.1506293313 181
16667 -12.58 -75.06 12.80 -512.31 9.07031440941 182
8257 -14.58 -76.06 6.80 -512.28 5.37517226457 183
41015 -18.58 -78.06 11.80 -511.98 10.0934054786 184
12873 -18.58 -77.06 5.80 -511.96 9.93615090295 185
30931 -11.58 -75.06 10.80 -511.93 4.24637904953 186
30120 -19.58 -77.06 6.80 -511.86 9.13308454143 187
15889 -15.58 -76.06 6.80 -511.79 5.98955273925 188
