rotation transx transy transz piper LRMSD modelnum
57604 -26.22 -48.17 2.06 -594.73 22.0509076011 0
10372 -26.22 -48.17 2.06 -593.86 22.0963038996 1
20740 -26.22 -48.17 2.06 -592.26 22.0846952895 2
28804 -26.22 -48.17 2.06 -591.80 22.1238433529 3
32959 -25.22 -47.17 4.06 -585.35 21.5887292661 4
69256 -26.22 -48.17 2.06 -582.44 22.0248343908 5
55432 -26.22 -48.17 2.06 -578.84 22.1977130927 6
580 -26.22 -48.17 2.06 -575.52 22.1800476486 7
65668 -26.22 -48.17 2.06 -575.46 22.1036503711 8
37576 -27.22 -47.17 2.06 -573.83 22.0628741767 9
8767 -25.22 -46.17 5.06 -571.34 21.4979945203 10
9352 -26.22 -48.17 2.06 -568.76 22.211483198 11
43204 -26.22 -48.17 2.06 -566.36 22.2250488839 12
14980 -26.22 -48.17 2.06 -563.12 21.9342291539 13
928 -26.22 -48.17 2.06 -557.74 21.7464582683 14
20704 -25.22 -46.17 5.06 -556.04 21.6284700012 15
37444 -26.22 -48.17 2.06 -555.90 22.2986312686 16
63940 -26.22 -48.17 2.06 -555.27 22.247224028 17
69088 -25.22 -46.17 5.06 -553.52 21.6991579256 18
64063 -25.22 -45.17 6.06 -553.10 21.5716033968 19
6916 -26.22 -48.17 2.06 -552.54 21.9079342203 20
55876 -26.22 -48.17 2.06 -550.56 22.2808238407 21
32224 -25.22 -46.17 5.06 -549.90 21.6204901093 22
61759 -24.22 -46.17 5.06 -549.27 21.4979766852 23
59455 -24.22 -46.17 6.06 -548.31 21.9486793625 24
43780 -26.22 -48.17 2.06 -547.95 21.8866742561 25
12223 -24.22 -46.17 6.06 -547.68 21.9318948828 26
9796 -27.22 -47.17 2.06 -547.53 22.0484268784 27
33472 -26.22 -48.17 2.06 -546.49 21.7988089447 28
4159 -25.22 -46.17 5.06 -546.32 21.4640020414 29
34957 -25.22 -46.17 5.06 -545.95 21.3955724261 30
41023 -25.22 -46.17 5.06 -545.18 21.5888208795 31
28768 -25.22 -46.17 5.06 -544.88 21.5558236712 32
51967 -25.22 -46.17 5.06 -543.21 21.6905989394 33
32392 -26.22 -48.17 2.06 -543.11 21.9574421922 34
68671 -25.22 -46.17 5.06 -542.87 21.6152635459 35
1156 -26.22 -48.17 2.06 -542.77 22.0250104961 36
39136 -25.22 -46.17 5.06 -542.30 21.4585857234 37
13792 -25.22 -47.17 4.06 -542.24 21.6147185974 38
18568 -26.22 -48.17 2.06 -541.93 22.1217820007 39
3520 -26.22 -48.17 2.06 -541.92 21.7852565348 40
23968 -26.22 -48.17 2.06 -541.84 21.8943154425 41
45631 -25.22 -46.17 5.06 -541.79 21.5278254631 42
53695 -25.22 -47.17 4.06 -541.00 21.4226320324 43
6976 -26.22 -48.17 1.06 -540.74 21.1860875801 44
16831 -25.22 -46.17 5.06 -540.62 21.5110941038 45
62272 -26.22 -48.17 1.06 -540.53 21.2660176538 46
65440 -26.22 -48.17 2.06 -540.19 21.6989762212 47
19012 -26.22 -48.17 2.06 -539.37 22.2948919559 48
29654 -27.22 -47.17 2.06 -539.18 22.1023965013 49
45508 -26.22 -48.17 2.06 -539.12 22.2368739084 50
40456 -26.22 -48.17 2.06 -538.99 21.9105511174 51
35839 -24.22 -47.17 5.06 -538.69 22.1672626099 52
