rotation transx transy transz piper LRMSD modelnum
11534 -32.17 59.86 1.60 -666.56 12.1413646451 0
52430 -32.17 59.86 2.60 -660.07 12.3557909777 1
23270 -32.17 58.86 1.60 -658.38 12.0730349805 2
36302 -32.17 59.86 1.60 -656.66 12.1593052798 3
38606 -32.17 59.86 1.60 -654.89 12.1200980245 4
20174 -32.17 59.86 1.60 -653.70 12.1668825593 5
66254 -32.17 59.86 1.60 -653.57 12.165873492 6
60926 -32.17 58.86 1.60 -652.05 12.070205158 7
34574 -32.17 58.86 1.60 -648.72 12.0570257888 8
57038 -31.17 59.86 1.60 -648.51 13.0859981624 9
1742 -32.17 59.86 2.60 -645.50 12.3985076548 10
35150 -31.17 59.86 1.60 -643.78 13.0881978199 11
69134 -32.17 59.86 2.60 -643.32 12.3338397962 12
61646 -31.17 59.86 1.60 -642.13 13.0855309395 13
15566 -32.17 59.86 2.60 -641.92 12.4064033564 14
30542 -32.17 59.86 1.60 -640.73 12.0865660503 15
12110 -31.17 59.86 1.60 -639.84 13.0862857475 16
6350 -32.17 59.86 1.60 -639.69 12.1081476505 17
24062 -32.17 58.86 1.60 -638.92 12.0811841818 18
44222 -32.17 59.86 2.60 -638.74 12.3997863487 19
69422 -32.17 60.86 1.60 -637.49 12.3008465383 20
64958 -32.17 58.86 1.60 -634.96 12.0881911076 21
19454 -32.17 58.86 1.60 -634.50 12.0999143556 22
18446 -32.17 59.86 2.60 -633.80 12.3463472919 23
32582 -32.17 59.86 1.60 -633.36 12.1240204725 24
24782 -31.17 59.86 2.60 -632.91 13.3302039156 25
44798 -32.17 59.86 2.60 -630.74 12.3406061969 26
4046 -32.17 59.86 1.60 -626.83 12.1399265171 27
4838 -32.17 58.86 1.60 -626.40 12.1152765615 28
27878 -32.17 58.86 1.60 -625.53 12.0761426641 29
56318 -32.17 59.86 1.60 -624.90 12.1515600425 30
27086 -32.17 59.86 1.60 -623.99 12.1017064005 31
55598 -31.17 59.86 1.60 -623.31 13.1207105707 32
22214 -32.17 59.86 1.60 -623.28 12.145512733 33
7142 -32.17 58.86 1.60 -621.92 12.0606105899 34
32270 -32.17 59.86 2.60 -621.73 12.3752465219 35
50126 -32.17 59.86 1.60 -620.56 12.1530657488 36
41486 -31.17 59.86 1.60 -620.10 13.0757993271 37
43214 -31.17 59.86 1.60 -619.56 13.0570770094 38
12758 -32.17 58.86 1.60 -618.61 12.0602852338 39
22478 -32.17 59.86 1.60 -617.74 12.1192246176 40
60134 -32.17 58.86 1.60 -615.88 12.0761112875 41
590 -31.17 59.86 1.60 -615.56 13.060396023 42
14150 -32.17 59.86 0.60 -614.65 11.9629845158 43
48974 -32.17 59.86 1.60 -612.23 12.0792161514 44
48998 -31.17 59.86 1.60 -611.78 13.1336289832 45
59078 -32.17 59.86 1.60 -611.21 12.1271970587 46
41774 -32.17 60.86 1.60 -609.59 12.2614675457 47
16718 -32.17 59.86 1.60 -608.81 12.0817888432 48
28886 -32.17 59.86 2.60 -607.50 12.3293570747 49
12134 -32.17 59.86 1.60 -606.61 12.1913521844 50
47822 -32.17 59.86 2.60 -606.54 12.4390776315 51
50918 -32.17 58.86 1.60 -606.47 12.1118232043 52
48398 -32.17 59.86 1.60 -606.30 12.1304186839 53
21713 -37.17 58.86 1.60 -605.39 11.1784854258 54
34571 -29.17 60.86 3.60 -605.10 16.7964804922 55
40646 -32.17 59.86 1.60 -604.48 12.1781209153 56
60923 -29.17 60.86 3.60 -604.41 16.8213319784 57
19238 -32.17 58.86 1.60 -604.01 12.0934609826 58
67622 -32.17 58.86 1.60 -603.97 12.0746984864 59
21350 -32.17 60.86 1.60 -603.50 12.2474609018 60
31118 -31.17 59.86 1.60 -602.34 13.0594378442 61
2894 -31.17 59.86 1.60 -600.51 13.0368084943 62
46886 -32.17 58.86 1.60 -600.44 12.1178649215 63
13791 -37.17 58.86 1.60 -599.87 11.2192197657 64
2318 -32.17 59.86 1.60 -599.42 12.1418329201 65
55310 -31.17 59.86 1.60 -599.24 13.090984576 66
64576 -55.17 68.86 14.60 -599.00 21.4120461576 67
3281 -37.17 58.86 1.60 -598.98 11.1636749052 68
69446 -32.17 59.86 1.60 -598.45 12.1045783619 69
28094 -32.17 58.86 1.60 -597.37 12.1286049153 70
44483 -37.17 58.86 1.60 -597.29 11.157207307 71
2918 -31.17 59.86 1.60 -596.99 13.135517453 72
69827 -37.17 57.86 1.60 -596.74 11.3579229596 73
41699 -29.17 60.86 3.60 -596.69 16.8964203069 74
29390 -32.17 59.86 2.60 -596.44 12.4387567358 75
53222 -31.17 58.86 1.60 -596.37 13.0604982857 76
58577 -37.17 58.86 1.60 -596.11 11.2249476319 77
38152 -55.17 67.86 14.60 -594.92 20.982335794 78
69131 -29.17 60.86 3.60 -594.31 16.7094249839 79
7415 -29.17 60.86 3.60 -593.92 16.9298187018 80
49157 -26.17 63.86 6.60 -593.52 20.2707043569 81
18443 -30.17 61.86 3.60 -593.26 16.0433749495 82
1022 -32.17 58.86 1.60 -592.17 12.1354659171 83
36875 -30.17 61.86 4.60 -592.13 16.2173340371 84
27473 -37.17 57.86 1.60 -591.56 11.3297022687 85
4622 -32.17 59.86 2.60 -590.97 12.3581460569 86
25895 -26.17 63.86 6.60 -590.97 20.2441511523 87
29268 -32.17 60.86 1.60 -590.18 12.2799079144 88
58103 -29.17 60.86 3.60 -590.03 16.8636645888 89
49361 -37.17 58.86 1.60 -589.67 11.1321164948 90
51014 -32.17 59.86 0.60 -589.32 11.9467427951 91
12808 -55.17 68.86 14.60 -589.05 21.5466139154 92
54993 -37.17 58.86 1.60 -588.12 11.1905400655 93
60350 -32.17 58.86 1.60 -587.92 12.1153773018 94
39782 -32.17 60.86 1.60 -587.68 12.3358855976 95
55622 -32.17 58.86 0.60 -587.63 11.888543383 96
35537 -37.17 57.86 1.60 -587.51 11.3831581578 97
52612 -38.17 57.86 0.60 -587.43 6.55298529368 98
4619 -30.17 61.86 4.60 -587.30 16.1232570038 99
7934 -31.17 59.86 2.60 -587.24 13.3352805285 100
4835 -30.17 61.86 3.60 -587.05 16.1719936212 101
3077 -26.17 63.86 6.60 -586.89 20.2641639614 102
11933 -27.17 62.86 4.60 -586.42 18.6101318934 103
10022 -32.17 57.86 1.60 -586.27 12.1093031956 104
35776 -55.17 68.86 14.60 -585.90 21.3895935721 105
9280 -55.17 68.86 14.60 -585.55 21.4412534022 106
26255 -27.17 62.86 4.60 -585.17 18.5554236301 107
50915 -30.17 60.86 3.60 -584.52 16.1523022666 108
18659 -30.17 61.86 3.60 -584.46 16.1883062232 109
13262 -32.17 59.86 1.60 -583.99 12.1915837157 110
18129 -37.17 58.86 1.60 -583.89 11.1514160469 111
59918 -31.17 59.86 1.60 -583.74 13.090043921 112
50699 -30.17 61.86 4.60 -583.68 16.0947597684 113
20750 -32.17 59.86 1.60 -583.59 12.1061412534 114
63227 -30.17 61.86 4.60 -583.57 16.249275035 115
41702 -32.17 58.86 1.60 -583.30 12.1364473972 116
12293 -26.17 63.86 6.60 -582.97 20.2733087536 117
69347 -29.17 60.86 3.60 -582.64 16.8669181582 118
59525 -26.17 63.86 6.60 -582.12 20.2598759417 119
32223 -37.17 58.86 1.60 -581.76 11.0940670584 120
60184 -55.17 68.86 14.60 -581.68 21.5708299399 121
49600 -55.17 68.86 14.60 -581.36 21.3638557882 122
55360 -55.17 68.86 14.60 -581.10 21.4767317371 123
53969 -37.17 58.86 1.60 -580.99 11.1973808594 124
11015 -29.17 60.86 3.60 -580.56 16.8449159153 125
44548 -39.17 57.86 0.60 -580.07 5.82482735783 126
61828 -38.17 57.86 0.60 -579.50 6.60905328432 127
29966 -32.17 58.86 1.60 -579.46 12.1087284358 128
39398 -31.17 59.86 2.60 -579.16 13.3069135165 129
48520 -55.17 67.86 14.60 -579.07 20.9502991575 130
15062 -32.17 59.86 2.60 -578.95 12.32628279 131
17105 -37.17 58.86 1.60 -578.27 11.1403559977 132
35798 -32.17 58.86 1.60 -578.17 12.0748031285 133
24735 -37.17 58.86 1.60 -578.10 11.1039751369 134
14414 -32.17 59.86 1.60 -577.84 12.1019951221 135
49550 -31.17 59.86 1.60 -577.78 13.0732665481 136
44795 -30.17 61.86 3.60 -577.74 16.0692993668 137
67589 -27.17 63.86 6.60 -577.50 19.4651793519 138
17870 -32.17 59.86 1.60 -577.46 12.1867555056 139
41093 -26.17 63.86 6.60 -577.45 20.3113042235 140
41483 -29.17 61.86 4.60 -577.34 16.8174631954 141
69892 -38.17 57.86 0.60 -577.33 6.57622103943 142
35471 -27.17 62.86 4.60 -577.13 18.5277579591 143
4372 -38.17 57.86 1.60 -577.10 6.75099736101 144
18758 -32.17 58.86 0.60 -577.08 11.9103274767 145
57254 -32.17 57.86 1.60 -576.81 12.1305724731 146
11656 -55.17 68.86 14.60 -576.55 21.4335610052 147
36629 -27.17 63.86 5.60 -576.38 19.0492501194 148
44006 -32.17 58.86 1.60 -576.33 12.0573959127 149
12686 -31.17 59.86 1.60 -576.26 13.0954094224 150
40145 -37.17 58.86 1.60 -575.98 11.0442315497 151
30455 -29.17 60.86 3.60 -575.65 16.9218642008 152
63950 -32.17 59.86 1.60 -575.51 12.106757477 153
47639 -26.17 62.86 5.60 -575.33 19.7449879966 154
38781 -31.17 58.86 1.60 -575.20 14.9055709067 155
67588 -38.17 57.86 1.60 -575.16 6.60614313268 156
45905 -37.17 58.86 1.60 -574.96 11.1387276258 157
34919 -37.17 58.86 1.60 -574.90 11.3430091095 158
17294 -31.17 59.86 1.60 -574.71 13.0729038814 159
31694 -32.17 59.86 1.60 -574.65 12.1967998019 160
33028 -38.17 57.86 0.60 -574.58 6.54486955695 161
32558 -31.17 59.86 2.60 -573.96 13.3704415692 162
49672 -55.17 68.86 14.60 -573.85 21.5614971698 163
23747 -37.17 57.86 1.60 -573.84 11.3850947876 164
9230 -31.17 59.86 1.60 -573.84 13.0771593144 165
26822 -32.17 58.86 0.60 -573.62 11.9538778032 166
23267 -30.17 60.86 3.60 -573.57 16.1591186037 167
37886 -32.17 58.86 1.60 -573.54 12.1300803342 168
7889 -37.17 58.86 1.60 -573.53 11.2471878044 169
41536 -55.17 68.86 14.60 -573.51 21.4051072113 170
55307 -30.17 60.86 4.60 -573.31 16.2328496786 171
1559 -26.17 62.86 5.60 -573.21 19.7587582725 172
67406 -32.17 59.86 0.60 -572.80 11.9295168198 173
64337 -37.17 57.86 1.60 -572.52 11.3866999701 174
14531 -37.17 57.86 1.60 -572.02 11.5034445466 175
2315 -29.17 61.86 3.60 -571.96 16.6647814925 176
5630 -32.17 58.86 1.60 -571.91 12.1291872648 177
62759 -26.17 63.86 5.60 -571.89 19.9818693009 178
24059 -29.17 60.86 3.60 -571.79 16.7654857683 179
35174 -32.17 59.86 1.60 -571.75 12.1936157353 180
29126 -32.17 58.86 1.60 -571.59 12.1530223703 181
63686 -32.17 58.86 0.60 -571.42 11.9340148808 182
58151 -26.17 63.86 6.60 -571.31 20.1647281906 183
33963 -27.17 61.86 3.60 -571.26 18.3086843759 184
2717 -27.17 62.86 4.60 -571.12 18.620487462 185
45254 -32.17 58.86 0.60 -571.11 11.939100159 186
37454 -32.17 59.86 1.60 -571.09 12.0909779837 187
66539 -30.17 61.86 4.60 -571.04 16.1194707778 188
30725 -27.17 63.86 6.60 -571.02 19.4541139936 189
7931 -29.17 60.86 3.60 -570.48 16.8457720097 190
65990 -32.17 59.86 1.60 -570.46 12.2125508312 191
23054 -30.17 59.86 2.60 -570.41 14.2785540992 192
58511 -27.17 62.86 4.60 -570.15 18.4306140618 193
51616 -55.17 68.86 14.60 -569.72 21.3715731821 194
59968 -55.17 68.86 14.60 -569.47 21.3729946473 195
10775 -27.17 62.86 5.60 -569.17 18.839775404 196
50655 -37.17 58.86 1.60 -569.11 11.2614545335 197
27712 -55.17 68.86 14.60 -569.09 21.4011087019 198
6532 -38.17 57.86 0.60 -569.08 6.44952598142 199
12647 -27.17 63.86 6.60 -568.75 19.439716515 200
58372 -37.17 58.86 1.60 -568.69 7.70393292271 201
43331 -37.17 57.86 1.60 -568.58 11.5112550345 202
67046 -32.17 58.86 1.60 -568.53 12.1014980894 203
20747 -29.17 61.86 3.60 -568.37 16.6417563963 204
5896 -55.17 67.86 14.60 -568.33 21.0229436874 205
62609 -37.17 58.86 1.60 -568.24 11.0343726472 206
21326 -32.17 59.86 0.60 -567.73 11.9043801927 207
15383 -27.17 62.86 5.60 -567.50 18.8875180617 208
33951 -37.17 58.86 1.60 -567.43 11.0330351338 209
28550 -32.17 58.86 0.60 -567.31 11.9512087423 210
67319 -29.17 60.86 3.60 -567.18 16.9979808331 211
25355 -30.17 61.86 3.60 -567.14 16.074869475 212
60976 -55.17 68.86 14.60 -567.01 21.5406688262 213
39974 -32.17 58.86 1.60 -566.87 12.0633315737 214
35848 -55.17 67.86 14.60 -566.74 21.0833476097 215
18734 -31.17 59.86 2.60 -566.64 13.3753302514 216
8390 -32.17 59.86 1.60 -566.62 12.2020637965 217
59805 -31.17 58.86 1.60 -566.56 14.8530346077 218
4934 -32.17 59.86 0.60 -566.35 11.9430350127 219
33062 -32.17 57.86 1.60 -565.96 12.1266233704 220
18196 -39.17 57.86 0.60 -565.93 5.77212509331 221
43991 -37.17 57.86 0.60 -565.47 11.4518805386 222
30088 -55.17 68.86 14.60 -565.19 21.4698612949 223
9518 -32.17 60.86 1.60 -564.99 12.2876379224 224
38342 -32.17 59.86 1.60 -564.82 12.156244618 225
24598 -37.17 58.86 1.60 -564.73 7.79197628293 226
37190 -33.17 59.86 0.60 -564.50 11.0278846915 227
13588 -37.17 58.86 1.60 -564.49 7.66742367014 228
19991 -27.17 63.86 5.60 -564.41 19.0043156592 229
31187 -30.17 61.86 3.60 -564.27 16.1203890606 230
59342 -32.17 59.86 1.60 -564.26 12.108851533 231
14987 -30.17 61.86 3.60 -564.23 16.0761366979 232
33029 -26.17 63.86 6.60 -564.19 20.2816567363 233
62621 -27.17 61.86 3.60 -564.19 18.2915605086 234
65750 -32.17 58.86 1.60 -564.17 12.0457269609 235
26117 -26.17 63.86 6.60 -563.95 20.1956356464 236
56584 -55.17 68.86 14.60 -563.81 21.4555122537 237
36477 -27.17 62.86 4.60 -563.76 18.6006166875 238
53003 -29.17 61.86 3.60 -563.61 16.7667067154 239
41798 -32.17 59.86 0.60 -563.54 11.9024224493 240
9227 -30.17 61.86 3.60 -563.40 16.1185842618 241
69893 -26.17 63.86 6.60 -563.37 20.2897742785 242
44327 -27.17 63.86 6.60 -563.35 19.3335006031 243
12573 -31.17 58.86 1.60 -563.33 14.8457618587 244
7526 -32.17 60.86 1.60 -563.20 12.3178807314 245
34624 -55.17 68.86 14.60 -563.09 21.5155111446 246
50452 -38.17 57.86 1.60 -563.07 6.70940933758 247
12455 -37.17 58.86 0.60 -562.93 11.1811038945 248
53582 -32.17 59.86 1.60 -562.93 12.0733625771 249
38429 -27.17 62.86 5.60 -562.82 18.9161904492 250
39671 -30.17 61.86 3.60 -562.81 16.2074485731 251
39940 -38.17 57.86 1.60 -562.39 6.55073239158 252
69087 -36.17 58.86 1.60 -562.15 11.4652440278 253
25757 -27.17 62.86 4.60 -562.14 18.511735367 254
2440 -55.17 67.86 14.60 -562.14 20.967780126 255
