rotation transx transy transz piper LRMSD modelnum
5601 0.69 -16.51 -50.88 -669.89 12.8770879776 0
24458 1.69 -18.51 -51.88 -665.54 1.46176667526 1
2428 0.69 -18.51 -51.88 -661.44 1.5057413866 2
33674 0.69 -18.51 -51.88 -654.75 1.59075882259 3
42465 0.69 -16.51 -50.88 -647.57 12.8631395203 4
22442 1.69 -17.51 -51.88 -646.42 2.13383020725 5
8618 0.69 -18.51 -51.88 -646.13 1.5936283046 6
45482 0.69 -18.51 -51.88 -645.20 1.66794136806 7
18986 1.69 -18.51 -51.88 -644.69 1.4870161708 8
65505 1.69 -16.51 -50.88 -642.00 12.9278067994 9
20860 1.69 -18.51 -51.88 -639.93 1.30481914209 10
62332 0.69 -19.51 -52.88 -638.15 2.57931358894 11
68522 1.69 -18.51 -51.88 -634.19 1.27917763608 12
55850 0.69 -18.51 -51.88 -631.29 1.70480716004 13
7036 1.69 -18.51 -51.88 -630.04 1.55648498261 14
55713 0.69 -17.51 -50.88 -629.60 12.9108132184 15
31658 1.69 -18.51 -51.88 -629.12 1.29327258107 16
8821 0.69 -17.51 -50.88 -627.71 12.5286679339 17
48508 0.69 -18.51 -51.88 -627.63 1.51449397308 18
44330 0.69 -17.51 -51.88 -626.84 2.690403567 19
57724 0.69 -18.51 -51.88 -626.32 1.53679203866 20
53116 0.69 -19.51 -52.88 -625.51 2.64794413757 21
5524 1.69 -18.51 -51.88 -624.16 1.73147147203 22
16111 0.69 -17.51 -50.88 -623.90 12.7732612928 23
37418 0.69 -17.51 -51.88 -621.85 2.33034657021 24
52975 -0.31 -17.51 -50.88 -621.16 12.8252175727 25
63901 4.69 -15.51 -49.88 -620.72 12.9087984549 26
61322 1.69 -17.51 -50.88 -620.23 2.08564602615 27
59306 1.69 -17.51 -51.88 -620.01 2.12646608978 28
16252 0.69 -19.51 -52.88 -616.81 2.64230365995 29
16885 -0.31 -17.51 -50.88 -616.77 12.6459546735 30
37857 0.69 -17.51 -50.88 -616.66 12.8675436366 31
42388 1.69 -18.51 -51.88 -614.01 1.64131641928 32
65066 1.69 -17.51 -50.88 -613.70 2.27037064232 33
35836 0.69 -19.51 -52.88 -611.82 2.75190143828 34
28202 1.69 -17.51 -50.88 -609.42 2.22133323489 35
40874 1.69 -18.51 -51.88 -607.46 1.46655216943 36
4010 1.69 -18.51 -51.88 -606.76 1.33949471874 37
30076 0.69 -18.51 -51.88 -606.31 1.6382309917 38
65788 0.69 -19.51 -52.88 -606.28 2.45447651495 39
45345 1.69 -16.51 -50.88 -606.00 13.0252108226 40
27037 4.69 -15.51 -49.88 -604.90 12.9192360791 41
21578 1.69 -18.51 -51.88 -604.36 2.07544246399 42
51681 1.69 -16.51 -50.88 -604.16 12.7622695848 43
12225 1.69 -16.51 -50.88 -603.92 12.9070450103 44
27253 -0.31 -17.51 -50.88 -603.48 12.7628059426 45
28641 1.69 -16.51 -50.88 -601.40 12.943094509 46
10634 1.69 -18.51 -51.88 -600.95 1.37305310101 47
61813 3.69 -16.51 -49.88 -600.88 12.5043573462 48
59293 4.69 -15.51 -49.88 -600.85 12.8884342933 49
26049 1.69 -16.51 -50.88 -600.05 12.8481041286 50
36469 0.69 -16.51 -50.88 -600.04 12.755333759 51
15242 1.69 -18.51 -51.88 -599.13 1.5251678129 52
67370 0.69 -17.51 -51.88 -598.97 2.57351513918 53
66205 4.69 -15.51 -49.88 -598.64 12.9830110081 54
26247 1.69 -16.51 -50.88 -597.81 12.686761835 55
56289 0.69 -17.51 -50.88 -597.11 12.8580599328 56
14378 1.69 -18.51 -51.88 -596.63 1.68994664217 57
44679 2.69 -15.51 -49.88 -596.62 12.5988566065 58
64564 1.69 -19.51 -52.88 -596.40 2.06684117235 59
29341 2.69 -15.51 -49.88 -596.15 12.6929616591 60
50234 0.69 -18.51 -51.88 -595.46 2.12238375484 61
38140 0.69 -19.51 -52.88 -594.82 2.25089955299 62
45685 -0.31 -17.51 -50.88 -594.79 12.599213941 63
18849 1.69 -17.51 -50.88 -593.84 12.9497626644 64
5162 1.69 -17.51 -50.88 -593.52 2.13236794885 65
11354 0.69 -18.51 -51.88 -593.20 2.20866121089 66
12362 0.69 -19.51 -52.88 -593.14 2.94843308031 67
41884 0.69 -18.51 -51.88 -593.12 1.47416395217 68
51604 0.69 -19.51 -52.88 -593.00 2.20802568806 69
64780 0.69 -19.51 -52.88 -591.91 2.84531609098 70
63111 0.69 -16.51 -50.88 -591.78 12.6953414408 71
35764 1.69 -18.51 -51.88 -591.09 1.61192628655 72
60820 1.69 -17.51 -51.88 -591.04 2.27609308829 73
11644 0.69 -18.51 -51.88 -590.53 1.58945291308 74
41162 0.69 -19.51 -51.88 -590.24 2.29397645477 75
22429 3.69 -16.51 -49.88 -589.93 12.567340386 76
37405 4.69 -15.51 -49.88 -589.92 12.9706512606 77
53173 -0.31 -18.51 -51.88 -589.68 12.4763369749 78
63914 0.69 -18.51 -51.88 -589.65 1.77337004098 79
37994 0.69 -18.51 -51.88 -588.76 2.16865996276 80
51242 1.69 -17.51 -50.88 -588.67 2.17180843066 81
16309 -0.31 -18.51 -51.88 -588.60 12.4878334598 82
30794 1.69 -18.51 -51.88 -588.51 2.12876633477 83
51445 3.69 -16.51 -49.88 -588.31 12.300469599 84
24373 0.69 -18.51 -51.88 -587.02 12.6203047977 85
34826 1.69 -17.51 -50.88 -586.49 2.05267094685 86
30709 -0.31 -18.51 -51.88 -586.23 12.5593787749 87
44175 4.69 -15.51 -49.88 -586.15 12.9346271741 88
27700 0.69 -19.51 -52.88 -585.88 2.28873910944 89
60897 0.69 -17.51 -50.88 -585.84 12.7245698713 90
993 1.69 -16.51 -50.88 -585.32 12.912637791 91
15386 0.69 -17.51 -51.88 -585.16 2.80838105365 92
37621 1.69 -18.51 -50.88 -584.11 12.1022094603 93
13370 0.69 -18.51 -51.88 -583.56 1.98434850311 94
51229 4.69 -16.51 -49.88 -583.43 12.8088944752 95
34543 0.69 -17.51 -50.88 -583.42 12.7661680599 96
57999 2.69 -16.51 -50.88 -583.33 12.7430738966 97
7466 0.69 -17.51 -51.88 -581.84 2.67041672839 98
43900 1.69 -18.51 -51.88 -581.34 1.65084340354 99
25468 0.69 -18.51 -51.88 -581.02 1.82723577093 100
50090 0.69 -18.51 -51.88 -580.62 1.54572125561 101
23092 1.69 -18.51 -51.88 -580.30 2.27319002319 102
39567 2.69 -15.51 -49.88 -579.96 12.6329948636 103
68269 -1.31 -22.51 -53.88 -579.84 12.3267305477 104
11503 0.69 -17.51 -50.88 -579.40 12.8845698751 105
13213 2.69 -15.51 -49.88 -579.23 12.4716979769 106
4213 0.69 -17.51 -50.88 -579.20 12.5608689291 107
47498 1.69 -17.51 -50.88 -579.03 1.97261904366 108
54901 3.69 -16.51 -49.88 -578.99 12.6318622528 109
4660 0.69 -19.51 -52.88 -578.95 2.49139742632 110
36122 1.69 -17.51 -50.88 -578.60 2.38357560532 111
24949 2.69 -16.51 -49.88 -578.50 12.3837053679 112
36253 4.69 -15.51 -49.88 -578.33 12.7906775491 113
39002 1.69 -17.51 -50.88 -578.33 2.52166864397 114
5149 4.69 -16.51 -49.88 -578.02 12.7806356452 115
49089 1.69 -16.51 -50.88 -577.84 12.8888965251 116
20341 3.69 -17.51 -50.88 -577.72 12.4186271162 117
56426 -0.31 -19.51 -52.88 -577.08 3.33523713942 118
18037 2.69 -16.51 -50.88 -576.59 12.5803638009 119
19189 -0.31 -18.51 -50.88 -575.83 12.3798799632 120
14092 0.69 -20.51 -52.88 -575.39 3.12558427052 121
56572 0.69 -18.51 -51.88 -575.08 1.67070302042 122
22645 0.69 -17.51 -50.88 -574.74 12.6654651524 123
24321 1.69 -16.51 -50.88 -574.52 12.9929185378 124
42748 0.69 -19.51 -52.88 -574.14 2.87379903325 125
26620 0.69 -19.51 -51.88 -573.96 1.84719668758 126
7815 2.69 -15.51 -49.88 -573.96 12.6032683124 127
69661 4.69 -16.51 -49.88 -573.80 12.574638918 128
34689 0.69 -16.51 -50.88 -573.54 13.0173928098 129
42013 4.69 -16.51 -49.88 -573.48 12.69951173 130
67573 -0.31 -17.51 -50.88 -573.39 12.5928663895 131
66650 1.69 -18.51 -51.88 -573.27 2.29419354301 132
52381 4.69 -15.51 -49.88 -573.11 12.992036992 133
13429 2.69 -16.51 -50.88 -572.73 12.7713963264 134
59509 -0.31 -17.51 -50.88 -572.48 12.7260675244 135
39613 -0.31 -21.51 -53.88 -572.22 12.5559652684 136
59956 1.69 -18.51 -51.88 -571.91 2.17899449637 137
9770 1.69 -17.51 -50.88 -571.58 2.18003686237 138
18973 4.69 -15.51 -49.88 -571.56 12.7669380907 139
15746 1.69 -17.51 -50.88 -571.53 2.25687764478 140
44836 0.69 -19.51 -52.88 -571.04 2.41770778174 141
69537 0.69 -17.51 -50.88 -571.01 12.9892140949 142
30506 0.69 -17.51 -51.88 -570.99 2.58737061369 143
61237 -0.31 -18.51 -51.88 -570.85 12.6361505259 144
2287 -0.31 -18.51 -51.88 -570.84 12.8805358819 145
18484 0.69 -19.51 -52.88 -570.63 2.41992915692 146
10909 0.69 -16.51 -49.88 -570.54 12.6947190252 147
23308 0.69 -19.51 -52.88 -570.20 2.49749806526 148
20701 4.69 -15.51 -49.88 -569.30 12.9051374252 149
59457 2.69 -16.51 -50.88 -569.05 12.9255099403 150
32797 4.69 -15.51 -49.88 -568.51 12.717287367 151
9757 4.69 -16.51 -49.88 -568.50 12.7384271662 152
41077 1.69 -17.51 -50.88 -568.34 12.479084249 153
19425 0.69 -17.51 -50.88 -568.28 12.8756508528 154
29935 0.69 -18.51 -51.88 -568.07 12.8861410826 155
9973 2.69 -17.51 -50.88 -567.46 12.3525913296 156
40010 1.69 -18.51 -50.88 -567.45 1.79685970983 157
1418 1.69 -17.51 -50.88 -567.19 2.0243842337 158
46837 1.69 -18.51 -50.88 -566.91 12.2477394299 159
50077 3.69 -15.51 -49.88 -566.82 12.5845246483 160
55348 0.69 -19.51 -52.88 -566.72 2.39706003188 161
14365 4.69 -16.51 -49.88 -566.51 12.8154131198 162
12796 0.69 -19.51 -51.88 -565.21 1.85185918678 163
181 0.69 -18.51 -51.88 -564.96 12.3641624511 164
48783 2.69 -15.51 -49.88 -564.31 12.7096366733 165
24033 1.69 -16.51 -50.88 -564.12 12.8646527848 166
42805 0.69 -18.51 -51.88 -564.08 12.4115506023 167
25252 0.69 -20.51 -53.88 -563.93 3.74949575404 168
52250 1.69 -17.51 -50.88 -563.69 2.56105496543 169
28924 0.69 -19.51 -52.88 -563.44 2.55696908765 170
50293 2.69 -17.51 -50.88 -563.24 12.6640843839 171
66940 0.69 -18.51 -51.88 -562.89 1.70390401508 172
7311 4.69 -15.51 -49.88 -562.77 12.9404401008 173
38197 -1.31 -22.51 -54.88 -562.76 13.2872767039 174
21181 -0.31 -21.51 -52.88 -562.64 12.118267387 175
29786 0.69 -18.51 -51.88 -562.50 2.10022043505 176
12277 -0.31 -18.51 -50.88 -561.75 12.6598569515 177
36988 0.69 -19.51 -51.88 -561.34 1.85535720465 178
27829 -0.31 -19.51 -51.88 -561.00 12.2893461608 179
34178 1.69 -18.51 -51.88 -560.71 1.89234313111 180
42229 3.69 -17.51 -49.88 -560.51 12.3703112089 181
35265 2.69 -16.51 -50.88 -560.37 12.8278482426 182
541 4.69 -15.51 -49.88 -560.03 13.0266142651 183
17605 -0.31 -19.51 -51.88 -559.97 12.0884250973 184
43069 -1.31 -23.51 -55.88 -559.79 13.6250641322 185
3009 1.69 -15.51 -49.88 -559.79 12.936882257 186
28564 1.69 -18.51 -51.88 -559.59 2.31218640338 187
11919 2.69 -15.51 -49.88 -559.58 12.716171856 188
757 2.69 -17.51 -49.88 -559.28 12.2801530451 189
47773 0.69 -16.51 -49.88 -559.22 12.684950428 190
33013 3.69 -16.51 -49.88 -559.17 12.5649176181 191
47073 1.69 -16.51 -50.88 -559.07 12.9429169348 192
58503 2.69 -16.51 -50.88 -558.91 12.711565229 193
58045 -0.31 -21.51 -53.88 -558.85 12.3516738998 194
12724 1.69 -17.51 -50.88 -558.32 2.69508905128 195
2749 -1.31 -21.51 -53.88 -558.32 12.4111447068 196
38932 0.69 -18.51 -51.88 -558.30 2.33831729503 197
19132 1.69 -19.51 -51.88 -558.25 2.32276344201 198
67658 0.69 -19.51 -51.88 -558.10 2.28961100103 199
34036 1.69 -18.51 -51.88 -558.00 2.93783927243 200
9633 0.69 -17.51 -50.88 -557.98 12.9520546022 201
5025 0.69 -17.51 -50.88 -557.73 12.9980268312 202
54698 0.69 -18.51 -51.88 -557.66 1.91396021383 203
23956 0.69 -18.51 -51.88 -557.65 1.89865934281 204
3997 4.69 -15.51 -49.88 -557.39 12.7255067244 205
30133 -2.31 -22.51 -54.88 -557.26 13.428804739 206
48119 -4.31 -20.51 -52.88 -557.03 8.10948660558 207
37281 1.69 -17.51 -50.88 -556.91 12.9700179775 208
38557 4.69 -16.51 -49.88 -556.72 12.9685841076 209
65428 1.69 -18.51 -51.88 -556.05 2.18835063457 210
22593 2.69 -16.51 -50.88 -555.87 12.9385480244 211
61185 1.69 -16.51 -50.88 -555.33 12.9728928964 212
21135 1.69 -15.51 -49.88 -555.23 12.7768049195 213
57205 2.69 -17.51 -50.88 -554.83 12.2856634124 214
62913 0.69 -16.51 -49.88 -554.59 12.7720477431 215
21441 0.69 -17.51 -50.88 -554.22 12.8295306629 216
15517 4.69 -15.51 -49.88 -554.02 13.0017828022 217
27050 0.69 -18.51 -51.88 -553.98 1.71700404605 218
9397 0.69 -19.51 -51.88 -553.91 12.0259170266 219
65269 3.69 -17.51 -49.88 -553.79 12.1251167526 220
59020 0.69 -20.51 -52.88 -553.71 3.15938049535 221
53437 -1.31 -23.51 -55.88 -553.64 13.6153912457 222
2858 0.69 -18.51 -51.88 -553.60 2.25511501748 223
7972 0.69 -19.51 -52.88 -553.39 2.51370704893 224
39722 1.69 -17.51 -50.88 -553.21 2.70423856458 225
8605 4.69 -15.51 -49.88 -553.04 12.6977723889 226
49141 -1.31 -18.51 -50.88 -552.92 12.7871654861 227
59197 -1.31 -23.51 -55.88 -552.61 13.8502246062 228
28405 3.69 -17.51 -50.88 -552.46 12.1743321521 229
20989 4.69 -16.51 -49.88 -552.27 12.4446114578 230
26548 1.69 -17.51 -50.88 -552.01 2.22249305237 231
50740 0.69 -18.51 -51.88 -551.89 2.14980921088 232
36559 0.69 -17.51 -50.88 -551.75 12.7506574781 233
69877 4.69 -16.51 -49.88 -551.03 12.7489299335 234
62116 0.69 -19.51 -52.88 -550.93 2.6866757848 235
916 0.69 -18.51 -51.88 -550.88 2.07638055402 236
48218 0.69 -18.51 -51.88 -550.86 2.36525976969 237
14581 3.69 -16.51 -49.88 -550.84 12.2986442191 238
68725 2.69 -17.51 -50.88 -550.02 12.4312295968 239
64929 0.69 -18.51 -50.88 -549.53 12.8662070952 240
32673 1.69 -17.51 -50.88 -549.47 13.0344417925 241
23221 -0.31 -20.51 -52.88 -549.15 12.3656282537 242
53749 -0.31 -17.51 -50.88 -548.71 12.6378747157 243
63541 2.69 -17.51 -50.88 -548.48 12.1909332509 244
30493 4.69 -16.51 -49.88 -548.11 13.0070657014 245
31820 -5.31 -21.51 -53.88 -548.00 9.15775839336 246
48349 5.69 -14.51 -48.88 -547.90 13.2027915709 247
22874 0.69 -18.51 -51.88 -547.29 2.80198784603 248
37045 1.69 -18.51 -50.88 -547.07 12.1544643017 249
17581 -1.31 -22.51 -53.88 -546.78 12.1707025691 250
8481 1.69 -17.51 -50.88 -546.46 12.9227290416 251
31429 -0.31 -20.51 -52.88 -546.44 12.1428410366 252
26389 3.69 -17.51 -49.88 -546.43 12.0709456082 253
124 0.69 -20.51 -52.88 -546.40 3.4096434865 254
59686 -13.31 -18.51 -66.88 -546.35 24.1994269232 255
50956 0.69 -19.51 -52.88 -546.16 2.62875137763 256
68954 -0.31 -18.51 -51.88 -546.12 2.80281820147 257
68 -4.31 -22.51 -54.88 -545.96 9.87956542878 258
9268 0.69 -18.51 -51.88 -545.96 1.91144236477 259
27916 0.69 -20.51 -52.88 -545.57 3.32846697035 260
64117 -0.31 -17.51 -50.88 -545.04 12.7491806452 261
52610 2.69 -17.51 -50.88 -545.00 2.59847515683 262
28778 -0.31 -19.51 -52.88 -545.00 3.40593362581 263
56884 1.69 -18.51 -51.88 -544.69 4.60134123373 264
10957 -1.31 -21.51 -53.88 -544.64 12.3443265925 265
3061 -0.31 -18.51 -50.88 -544.60 12.6338594436 266
10209 1.69 -16.51 -50.88 -544.46 12.9596723447 267
14269 -1.31 -22.51 -54.88 -544.40 13.2593269827 268
60172 0.69 -19.51 -51.88 -544.36 1.94550551069 269
58442 1.69 -18.51 -51.88 -544.35 2.28736616471 270
46996 0.69 -18.51 -51.88 -543.98 2.26511642686 271
60303 4.69 -15.51 -49.88 -543.86 12.674192422 272
