rotation transx transy transz piper LRMSD modelnum
52030 -43.13 30.64 109.41 -443.92 10.3463652453 0
6934 -45.13 38.64 108.41 -435.96 13.9532882951 1
43798 -45.13 38.64 108.41 -435.71 13.8532485915 2
14998 -45.13 38.64 108.41 -435.36 13.9014732196 3
190 -43.13 30.64 109.41 -432.68 10.2034874287 4
50878 -45.13 38.64 108.41 -431.67 13.7418067175 5
41566 -45.13 38.64 108.41 -431.11 13.8892410146 6
37054 -43.13 30.64 109.41 -429.48 10.3284314366 7
4798 -45.13 38.64 108.41 -428.23 13.6748412382 8
51862 -45.13 38.64 108.41 -427.02 13.8071998182 9
20350 -43.13 30.64 109.41 -426.79 10.0555918203 10
9982 -43.13 30.64 109.41 -425.06 10.0307549573 11
44107 -43.13 30.64 109.41 -423.64 10.3919138555 12
41662 -45.13 38.64 108.41 -422.51 13.8290754061 13
8398 -43.13 29.64 109.41 -420.92 10.1843548095 14
51706 -42.13 31.64 108.41 -420.86 10.8317090631 15
54478 -43.13 29.64 109.41 -419.87 10.0897232984 16
32590 -45.13 38.64 107.41 -419.64 13.2936761445 17
13518 -43.13 27.64 97.41 -418.50 7.54305623832 18
68204 -45.13 38.64 107.41 -418.34 13.485278791 19
1798 -42.13 30.64 108.41 -417.99 10.7977192589 20
61740 -44.13 34.64 108.41 -417.54 10.8707221616 21
31438 -45.13 38.64 108.41 -417.47 13.7507497244 22
47998 -43.13 29.64 110.41 -417.38 10.6617407688 23
53014 -44.13 38.64 108.41 -417.19 13.7739365363 24
40654 -45.13 38.64 107.41 -417.04 13.3080372275 25
28782 -43.13 27.64 96.41 -416.83 8.37668796992 26
24876 -44.13 34.64 108.41 -416.51 10.6564382716 27
69804 -44.13 34.64 108.41 -416.35 10.9414211872 28
60094 -45.13 38.64 108.41 -415.71 13.5972995271 29
63550 -43.13 30.64 109.41 -414.94 10.2563340935 30
58942 -45.13 38.64 108.41 -414.20 13.8279045211 31
45164 -45.13 38.64 107.41 -413.36 13.4870625024 32
43642 -42.13 31.64 108.41 -411.82 10.9186205228 33
66798 -43.13 27.64 97.41 -411.34 7.36399329501 34
49020 -57.13 34.64 76.41 -411.19 32.3084711276 35
21238 -42.13 30.64 108.41 -411.00 10.7247295664 36
31340 -45.13 38.64 107.41 -410.88 13.5603407328 37
11134 -43.13 30.64 110.41 -410.07 10.8599216208 38
2940 -57.13 34.64 76.41 -409.89 32.338795443 39
15809 -44.13 34.64 108.41 -409.81 11.1051479958 40
10844 -45.13 38.64 107.41 -409.68 13.2805198798 41
18668 -45.13 38.64 107.41 -409.58 13.5667718893 42
30142 -45.13 37.64 107.41 -408.83 12.7015349565 43
55630 -42.13 29.64 109.41 -408.30 10.2750698982 44
58102 -42.13 30.64 108.41 -408.25 10.7727866787 45
53182 -42.13 30.64 109.41 -408.08 10.4185397825 46
27838 -42.13 30.64 109.41 -407.84 10.4193969667 47
61692 -57.13 35.64 77.41 -407.80 31.854434059 48
68302 -45.13 38.64 107.41 -407.31 13.2992909055 49
64702 -42.13 30.64 109.41 -407.02 10.3405347682 50
45262 -42.13 29.64 109.41 -406.87 10.2489499702 51
66838 -45.13 38.64 108.41 -406.86 13.8745067872 52
7243 -45.13 38.64 108.41 -406.46 13.7046668007 53
46496 -43.13 27.64 97.41 -406.17 7.33381228492 54
3692 -45.13 38.64 107.41 -405.73 13.7036698432 55
31870 -43.13 30.64 109.41 -405.46 10.143797352 56
40075 -43.13 30.64 109.41 -405.44 10.1846576456 57
35902 -44.13 38.64 108.41 -405.24 13.5923638424 58
65854 -45.13 38.64 108.41 -405.24 13.848142531 59
67723 -43.13 30.64 110.41 -405.14 10.8965941576 60
13006 -45.13 38.64 108.41 -404.20 13.6396070896 61
19198 -42.13 30.64 109.41 -403.95 10.1830839443 62
40246 -43.13 30.64 109.41 -403.54 11.6621087642 63
20206 -45.13 39.64 107.41 -403.47 14.1869178959 64
42814 -42.13 30.64 109.41 -403.26 10.4259930307 65
50382 -43.13 27.64 97.41 -403.18 7.67427997195 66
11014 -42.13 30.64 108.41 -402.74 10.6606817819 67
8300 -45.13 38.64 107.41 -402.67 13.5538886939 68
7548 -57.13 35.64 77.41 -402.54 31.7749284151 69
35196 -57.13 35.64 77.41 -402.24 31.8159741788 70
14014 -45.13 38.64 108.41 -402.08 13.8483250257 71
12142 -45.13 38.64 107.41 -401.99 13.3223511324 72
15166 -43.13 30.64 109.41 -401.69 10.4588968124 73
40556 -45.13 38.64 107.41 -401.55 13.5960069141 74
5782 -45.13 38.64 108.41 -401.53 13.8494917496 75
38206 -45.13 37.64 107.41 -401.37 12.7535100789 76
23230 -45.13 38.64 108.41 -401.35 13.6955666063 77
38926 -42.13 30.64 109.41 -401.31 10.1379803788 78
60262 -42.13 28.64 105.41 -401.28 8.16604868917 79
17614 -43.13 29.64 109.41 -401.16 10.1841373401 80
21358 -45.13 38.64 107.41 -401.11 13.2706506922 81
13674 -44.13 34.64 108.41 -400.77 11.0610186878 82
53323 -45.13 38.64 108.41 -400.64 13.7961804347 83
21882 -44.13 34.64 108.41 -400.64 11.0195090188 84
61387 -45.13 37.64 107.41 -400.48 12.6095310913 85
14842 -42.13 31.64 108.41 -400.43 10.801126118 86
31174 -42.13 29.64 108.41 -400.22 10.8408607817 87
2806 -42.13 29.64 108.41 -400.12 10.7557765043 88
58678 -43.13 30.64 109.41 -400.09 11.5061553216 89
46846 -42.13 30.64 109.41 -400.05 10.0965256067 90
47878 -42.13 30.64 108.41 -399.95 10.7165969287 91
32940 -44.13 34.64 108.41 -399.85 10.7206067192 92
24762 -44.13 34.64 108.41 -399.82 10.7320275235 93
52868 -45.13 38.64 107.41 -399.64 13.5626976863 94
22078 -44.13 38.64 108.41 -399.46 13.7256235379 95
54702 -43.13 27.64 96.41 -399.26 8.27298548529 96
57214 -43.13 30.64 109.41 -399.15 9.95578092184 97
5626 -42.13 30.64 107.41 -399.09 9.79789423812 98
21440 -43.13 27.64 97.41 -399.06 7.46682282035 99
50292 -45.13 31.64 104.41 -398.91 3.8595829787 100
