rotation transx transy transz piper LRMSD modelnum
28205 -63.53 -36.07 -73.93 -760.84 10.1646937283 0
55853 -63.53 -37.07 -73.93 -760.44 10.5476056869 1
45485 -63.53 -36.07 -72.93 -756.64 10.3345713697 2
18989 -63.53 -36.07 -73.93 -750.76 10.2660713562 3
24461 -62.53 -37.07 -72.93 -749.34 10.9097264396 4
68525 -63.53 -37.07 -73.93 -749.33 10.6465743093 5
28637 -62.53 -37.07 -72.93 -746.75 10.7475978057 6
27339 -62.53 -38.07 -72.93 -746.34 11.3024333211 7
65501 -62.53 -37.07 -72.93 -746.28 10.7958624834 8
14955 -62.53 -37.07 -72.93 -745.62 10.7937681835 9
13373 -62.53 -37.07 -72.93 -743.53 10.899151621 10
10205 -62.53 -36.07 -73.93 -742.02 10.2323496924 11
65069 -63.53 -36.07 -73.93 -740.96 10.185787588 12
39005 -62.53 -37.07 -73.93 -739.46 10.607910732 13
34829 -62.53 -37.07 -72.93 -738.97 10.9204380958 14
52253 -63.53 -36.07 -74.93 -738.47 10.1311673306 15
59453 -62.53 -38.07 -72.93 -737.69 11.3267815022 16
36125 -63.53 -36.07 -74.93 -736.01 10.3111866258 17
61325 -62.53 -38.07 -73.93 -734.31 11.2231131914 18
8621 -63.53 -36.07 -72.93 -734.26 10.2969363266 19
6891 -62.53 -37.07 -72.93 -733.43 10.7830165136 20
47069 -63.53 -36.07 -72.93 -733.35 10.2076108304 21
20573 -63.53 -36.07 -72.93 -733.00 10.137551794 22
9773 -62.53 -37.07 -73.93 -732.40 10.6489437315 23
46637 -62.53 -37.07 -73.93 -732.39 10.6723666654 24
64545 -59.53 -30.07 -80.93 -730.74 10.2685457082 25
18125 -66.53 -31.07 -75.93 -729.56 8.84291128403 26
4013 -63.53 -36.07 -73.93 -729.19 10.1881650374 27
3005 -62.53 -38.07 -72.93 -725.53 11.3649295816 28
18123 -62.53 -38.07 -72.93 -725.31 11.4297042632 29
59309 -63.53 -36.07 -73.93 -725.06 10.2417889315 30
27341 -66.53 -31.07 -75.93 -724.92 8.94442874537 31
989 -63.53 -36.07 -72.93 -724.59 10.2187303443 32
40013 -62.53 -38.07 -72.93 -724.22 11.4375315557 33
50237 -62.53 -37.07 -72.93 -724.10 10.9346601685 34
30941 -63.53 -36.07 -74.93 -723.14 10.0637764431 35
22589 -62.53 -38.07 -72.93 -722.76 11.2884643381 36
51819 -62.53 -37.07 -72.93 -721.49 10.8370201884 37
15641 -65.53 -27.07 -73.93 -720.30 6.23389638006 38
29789 -63.53 -36.07 -72.93 -720.20 10.258894833 39
31661 -63.53 -37.07 -73.93 -720.17 10.6145582646 40
53837 -66.53 -31.07 -75.93 -719.18 8.97581721439 41
34973 -63.53 -35.07 -75.93 -717.47 9.82330064899 42
22445 -63.53 -36.07 -73.93 -717.25 10.1964193492 43
1565 -63.53 -35.07 -74.93 -715.94 9.76539993266 44
413 -62.53 -36.07 -73.93 -714.46 10.1962654651 45
37421 -64.53 -36.07 -73.93 -713.48 10.0749355844 46
5165 -62.53 -37.07 -73.93 -713.11 10.638101712 47
47645 -63.53 -35.07 -75.93 -713.03 9.93001010837 48
39725 -63.53 -36.07 -74.93 -712.77 10.19563039 49
57437 -63.53 -36.07 -72.93 -711.97 10.1681305546 50
57720 -62.53 -38.07 -73.93 -710.07 11.2807186917 51
21581 -63.53 -37.07 -72.93 -709.82 10.7152858274 52
51245 -63.53 -37.07 -73.93 -709.20 10.5646595511 53
50093 -64.53 -36.07 -73.93 -707.89 10.165753781 54
66653 -63.53 -36.07 -72.93 -707.83 10.2796404556 55
31085 -65.53 -34.07 -73.93 -707.81 9.1990652368 56
25323 -62.53 -36.07 -72.93 -706.21 10.344591379 57
25325 -66.53 -32.07 -75.93 -706.10 8.6989149071 58
27681 -59.53 -30.07 -80.93 -705.38 10.1983015327 59
21725 -63.53 -35.07 -75.93 -704.12 9.77833293208 60
33389 -66.53 -32.07 -75.93 -703.80 8.84628710807 61
58445 -63.53 -37.07 -72.93 -703.72 10.739096188 62
50851 -62.53 -38.07 -71.93 -703.20 11.5316626735 63
26477 -66.53 -33.07 -74.93 -702.79 8.79886715263 64
40877 -62.53 -37.07 -73.93 -702.31 10.7367099066 65
14381 -63.53 -36.07 -74.93 -701.90 10.3624770034 66
6893 -66.53 -31.07 -75.93 -701.67 8.82334881047 67
67373 -64.53 -36.07 -74.93 -701.30 10.185693044 68
51585 -59.53 -30.07 -80.93 -701.12 10.2753206752 69
35745 -59.53 -30.07 -80.93 -701.08 10.2873080808 70
58915 -62.53 -38.07 -72.93 -700.98 11.3115250602 71
67805 -63.53 -36.07 -73.93 -700.69 9.96932125446 72
51821 -66.53 -31.07 -75.93 -700.33 8.76805997822 73
13229 -64.53 -36.07 -73.93 -700.30 10.1080643534 74
27485 -65.53 -34.07 -73.93 -700.17 9.0086227448 75
37997 -63.53 -35.07 -72.93 -700.10 9.99579113431 76
30509 -64.53 -36.07 -73.93 -700.06 9.98014249918 77
20856 -62.53 -38.07 -73.93 -699.84 11.2401758831 78
41309 -63.53 -35.07 -73.93 -699.78 9.69494638443 79
31267 -62.53 -38.07 -71.93 -699.48 11.4533410171 80
64203 -62.53 -38.07 -72.93 -698.72 11.3346739322 81
35403 -62.53 -38.07 -72.93 -698.63 11.305576852 82
19565 -64.53 -34.07 -73.93 -698.18 9.5039024119 83
63341 -66.53 -33.07 -74.93 -697.99 8.71449492069 84
54123 -62.53 -36.07 -72.93 -697.79 10.2449659108 85
50232 -66.53 -31.07 -75.93 -697.53 8.85578265381 86
11709 -63.53 -34.07 -75.93 -697.53 9.27574958259 87
36555 -63.53 -37.07 -72.93 -697.10 10.7260114134 88
8045 -66.53 -33.07 -74.93 -697.03 8.89755790478 89
52505 -65.53 -27.07 -73.93 -696.87 6.13011095324 90
68131 -62.53 -37.07 -71.93 -696.03 11.0392639554 91
30797 -62.53 -38.07 -72.93 -695.63 11.4168265939 92
41880 -63.53 -36.07 -73.93 -695.44 10.2980893091 93
9195 -62.53 -35.07 -73.93 -694.95 9.8787208541 94
21869 -65.53 -34.07 -73.93 -694.88 8.97714232007 95
62189 -66.53 -32.07 -75.93 -694.61 8.52475160162 96
41781 -62.53 -38.07 -71.93 -694.32 11.4476144543 97
38613 -62.53 -36.07 -72.93 -694.24 10.2740265509 98
42603 -62.53 -38.07 -71.93 -693.48 11.4077371346 99
68565 -62.53 -34.07 -74.93 -693.27 9.33388229975 100
984 -66.53 -32.07 -75.93 -692.66 8.67698164968 101
22053 -66.53 -31.07 -75.93 -692.34 8.91077231844 102
67949 -65.53 -34.07 -73.93 -692.34 9.17955019896 103
41453 -66.53 -34.07 -74.93 -692.13 9.33294360618 104
56429 -64.53 -33.07 -72.93 -692.09 9.47146994391 105
9053 -65.53 -34.07 -73.93 -692.06 9.14882610988 106
21647 -63.53 -34.07 -75.93 -692.00 9.29981005284 107
43755 -62.53 -37.07 -72.93 -691.72 10.8189663488 108
50667 -62.53 -35.07 -74.93 -691.70 9.7981726768 109
11625 -59.53 -30.07 -81.93 -691.66 10.9660773023 110
15245 -62.53 -38.07 -72.93 -691.62 11.4583515442 111
32813 -62.53 -37.07 -73.93 -691.59 10.7637885159 112
7613 -62.53 -38.07 -72.93 -691.22 11.4175043675 113
39357 -62.53 -33.07 -75.93 -691.05 8.86437604413 114
50525 -65.53 -34.07 -73.93 -691.00 9.17886252828 115
62187 -63.53 -36.07 -72.93 -690.93 10.2024260035 116
24605 -63.53 -35.07 -75.93 -690.75 9.79283542926 117
7032 -62.53 -38.07 -72.93 -690.65 11.4487879354 118
63917 -64.53 -35.07 -73.93 -690.26 9.82566725762 119
46061 -66.53 -32.07 -75.93 -690.19 8.49537250655 120
61037 -66.53 -32.07 -74.93 -689.86 8.82496362399 121
32952 -66.53 -31.07 -75.93 -689.54 8.80110718674 122
56637 -63.53 -34.07 -75.93 -689.53 9.19255199069 123
3293 -63.53 -35.07 -73.93 -689.52 9.58997592079 124
61469 -63.53 -35.07 -75.93 -689.45 9.85490397273 125
14957 -66.53 -32.07 -74.93 -689.33 8.78633391218 126
17587 -62.53 -37.07 -71.93 -689.27 10.9901534236 127
65685 -62.53 -33.07 -75.93 -689.22 8.65254586143 128
43896 -62.53 -38.07 -72.93 -689.13 11.4855139256 129
6173 -63.53 -35.07 -74.93 -689.09 9.86983074258 130
53549 -64.53 -35.07 -73.93 -688.86 9.62562017759 131
67661 -62.53 -38.07 -72.93 -688.73 11.4462999847 132
45773 -66.53 -31.07 -75.93 -688.71 8.81768305335 133
27627 -62.53 -35.07 -74.93 -688.44 9.75951359804 134
44909 -66.53 -33.07 -74.93 -687.99 8.78733353132 135
58733 -65.53 -34.07 -73.93 -687.95 9.08355136904 136
36843 -63.53 -34.07 -74.93 -687.89 9.32736026908 137
17259 -62.53 -36.07 -72.93 -687.74 10.1931415383 138
24381 -62.53 -34.07 -75.93 -687.69 9.3584905529 139
20717 -65.53 -33.07 -73.93 -687.51 9.184025169 140
54917 -64.53 -36.07 -73.93 -687.47 10.101866867 141
47064 -66.53 -32.07 -75.93 -687.22 8.84331729409 142
11357 -63.53 -34.07 -72.93 -687.11 9.68701924448 143
21576 -66.53 -31.07 -75.93 -687.06 8.7901430574 144
60312 -64.53 -36.07 -73.93 -686.95 10.1003638019 145
49085 -62.53 -38.07 -72.93 -686.87 11.3286099228 146
4157 -63.53 -37.07 -72.93 -686.81 10.778563349 147
4771 -62.53 -38.07 -71.93 -686.65 11.4566803902 148
15389 -63.53 -35.07 -74.93 -686.65 9.80674976683 149
4587 -62.53 -35.07 -74.93 -685.84 9.86294030607 150
40157 -62.53 -36.07 -73.93 -685.77 10.1186809008 151
32093 -64.53 -35.07 -73.93 -685.76 9.55054487035 152
28821 -62.53 -33.07 -75.93 -685.26 8.67561795697 153
29213 -63.53 -36.07 -74.93 -685.22 10.2165567427 154
69153 -59.53 -30.07 -80.93 -685.11 10.2462824348 155
7469 -64.53 -35.07 -74.93 -685.09 9.77411672335 156
61613 -65.53 -34.07 -73.93 -684.94 9.09105266048 157
22051 -62.53 -38.07 -71.93 -684.87 11.5987958526 158
17693 -62.53 -37.07 -72.93 -684.63 10.7430717419 159
2283 -62.53 -37.07 -72.93 -684.63 10.6828329424 160
62543 -63.53 -33.07 -75.93 -684.61 8.95304327148 161
27837 -62.53 -32.07 -75.93 -684.54 8.49447615399 162
12117 -62.53 -36.07 -72.93 -684.53 10.4326592919 163
64205 -66.53 -31.07 -75.93 -684.46 8.68102432632 164
27053 -63.53 -34.07 -72.93 -684.34 9.72073983184 165
55329 -59.53 -30.07 -80.93 -683.91 10.1878313669 166
58589 -63.53 -35.07 -74.93 -683.86 9.67562573539 167
67005 -63.53 -32.07 -75.93 -683.77 8.54525808556 168
557 -64.53 -34.07 -73.93 -683.68 9.40572190874 169
43757 -66.53 -31.07 -75.93 -683.68 8.61437765774 170
4589 -66.53 -33.07 -75.93 -683.57 8.90937355696 171
5520 -63.53 -37.07 -73.93 -682.99 10.7736509283 172
51600 -63.53 -37.07 -73.93 -682.98 10.7139172246 173
52397 -65.53 -34.07 -73.93 -682.78 9.30260175267 174
17313 -59.53 -30.07 -80.93 -682.62 10.3796015004 175
21333 -62.53 -37.07 -71.93 -682.59 10.9687092019 176
23597 -62.53 -37.07 -74.93 -682.50 10.8171811668 177
40301 -64.53 -34.07 -73.93 -682.49 9.31131508479 178
39000 -66.53 -32.07 -75.93 -682.45 8.95085395021 179
3437 -66.53 -34.07 -74.93 -682.38 9.17524432338 180
33677 -63.53 -37.07 -72.93 -682.20 10.725947418 181
64491 -62.53 -35.07 -73.93 -682.12 9.75777918955 182
10637 -62.53 -37.07 -73.93 -682.11 10.8532969386 183
54557 -62.53 -37.07 -72.93 -681.71 10.7913128895 184
44333 -63.53 -36.07 -73.93 -681.66 9.96936470286 185
33597 -63.53 -34.07 -75.93 -681.48 9.22663081956 186
41865 -59.53 -30.07 -80.93 -681.30 10.3596055978 187
4445 -64.53 -34.07 -73.93 -681.16 9.17759909166 188
66648 -66.53 -31.07 -75.93 -681.08 8.61605047758 189
59937 -59.53 -30.07 -80.93 -680.74 10.3370590168 190
36557 -66.53 -31.07 -75.93 -680.67 8.63308824208 191
33387 -62.53 -37.07 -71.93 -680.09 10.8371294882 192
56553 -59.53 -30.07 -81.93 -679.89 10.9562718142 193
20568 -66.53 -32.07 -75.93 -679.77 8.78498681434 194
46059 -62.53 -35.07 -73.93 -679.46 9.90106258191 195
57432 -66.53 -32.07 -75.93 -679.42 8.6952931143 196
49373 -63.53 -34.07 -74.93 -679.37 9.3672125179 197
18411 -63.53 -35.07 -73.93 -679.29 9.64319716893 198
45771 -62.53 -38.07 -72.93 -679.11 11.4668258451 199
30549 -62.53 -36.07 -72.93 -679.09 10.297022684 200
12653 -66.53 -34.07 -74.93 -678.94 9.02365070829 201
9249 -59.53 -30.07 -80.93 -678.57 10.284352251 202
16109 -66.53 -31.07 -75.93 -678.43 8.52038001653 203
42605 -66.53 -32.07 -74.93 -678.14 8.9010779205 204
9197 -66.53 -32.07 -75.93 -677.40 8.63699288602 205
58197 -62.53 -37.07 -71.93 -677.01 10.8735189827 206
12835 -62.53 -38.07 -71.93 -676.90 11.5842307935 207
45917 -65.53 -33.07 -73.93 -676.88 8.97727532264 208
3000 -66.53 -31.07 -75.93 -676.65 9.13319702453 209
3489 -59.53 -30.07 -80.93 -676.52 10.4681026174 210
69101 -66.53 -33.07 -74.93 -675.88 8.95510604294 211
8909 -66.53 -31.07 -74.93 -675.76 9.0136049719 212
10200 -66.53 -32.07 -75.93 -675.65 8.92593198002 213
5781 -62.53 -32.07 -76.93 -675.29 8.63269922781 214
17117 -64.53 -34.07 -73.93 -675.13 9.19366880516 215
17261 -66.53 -32.07 -75.93 -674.98 8.77455962391 216
64349 -65.53 -34.07 -73.93 -674.85 8.96566201819 217
