rotation transx transy transz piper LRMSD modelnum
17263 244.36 -89.95 72.32 -744.67 12.4734302581 0
67951 244.36 -89.95 72.32 -741.66 12.6494416585 1
48343 222.36 -82.95 60.32 -738.68 28.3928281385 2
23023 243.36 -90.95 72.32 -737.28 14.0621102948 3
54127 244.36 -89.95 72.32 -730.66 12.274184412 4
36703 244.36 -90.95 72.32 -726.59 13.4998410983 5
24175 244.36 -89.95 73.32 -725.72 12.5893539559 6
19567 244.36 -89.95 73.32 -723.73 12.9521910866 7
8047 244.36 -89.95 72.32 -723.07 12.5070202587 8
32095 244.36 -90.95 72.32 -718.43 13.45554931 9
55135 244.36 -90.95 72.32 -718.26 12.8807367834 10
40303 244.36 -89.95 72.32 -717.29 12.9046103107 11
18271 244.36 -90.95 72.32 -716.96 13.0485713507 12
27631 243.36 -90.95 72.32 -716.62 13.6645285166 13
63343 244.36 -90.95 72.32 -716.41 13.27645941 14
64495 244.36 -89.95 72.32 -715.77 12.7449123441 15
56431 244.36 -89.95 73.32 -713.72 12.8018602919 16
7022 222.36 -83.95 61.32 -712.87 26.1283678072 17
53102 222.36 -83.95 61.32 -711.35 25.8780532097 18
41006 222.36 -83.95 61.32 -711.06 25.8663842883 19
49519 243.36 -90.95 72.32 -710.30 13.8318132554 20
48223 244.36 -89.95 73.32 -709.70 12.8684068552 21
28207 244.36 -89.95 73.32 -709.62 13.3428748162 22
16238 222.36 -83.95 62.32 -709.10 25.7759549425 23
11359 244.36 -89.95 73.32 -708.61 13.0088038074 24
21871 244.36 -90.95 72.32 -707.24 13.8815130889 25
30638 222.36 -83.95 61.32 -706.08 25.9933722236 26
44335 244.36 -90.95 73.32 -706.02 14.0857992845 27
41724 221.36 -83.95 61.32 -704.69 26.7552537043 28
3439 244.36 -89.95 72.32 -703.07 12.9069935714 29
44911 244.36 -89.95 72.32 -702.14 12.3280085125 30
26479 244.36 -90.95 72.32 -701.13 13.4700685929 31
58735 244.36 -90.95 72.32 -700.25 13.6811430566 32
56265 222.36 -82.95 60.32 -700.07 28.4188114899 33
6319 243.36 -90.95 73.32 -699.35 14.3565568527 34
12655 243.36 -90.95 72.32 -699.31 14.0551285191 35
35695 243.36 -90.95 72.32 -698.66 13.6526079048 36
21493 244.36 -89.95 72.32 -698.41 11.7123336472 37
61615 243.36 -90.95 72.32 -698.08 14.2141264071 38
18684 221.36 -83.95 61.32 -697.71 26.6397094352 39
45321 222.36 -82.95 60.32 -697.47 28.7226650527 40
31087 244.36 -89.95 72.32 -696.88 12.8527466252 41
42734 222.36 -83.95 62.32 -694.32 25.6514649832 42
43886 222.36 -83.95 61.32 -694.14 26.1332235555 43
68959 244.36 -90.95 73.32 -693.90 13.7501562275 44
59887 243.36 -90.95 72.32 -693.14 13.8279437258 45
2414 222.36 -83.95 62.32 -692.70 26.0809886838 46
25525 244.36 -89.95 72.32 -692.38 12.1465513739 47
19401 222.36 -82.95 60.32 -692.36 28.4104047568 48
65916 222.36 -83.95 61.32 -691.82 26.1469036443 49
67375 243.36 -90.95 73.32 -691.50 14.5553297085 50
46063 244.36 -89.95 72.32 -691.32 12.2703099396 51
53551 243.36 -90.95 73.32 -691.26 14.1889826497 52
7471 243.36 -90.95 73.32 -690.82 14.4355171406 53
5504 242.36 -93.95 71.32 -690.72 17.436100279 54
34399 244.36 -89.95 73.32 -690.68 12.6389533533 55
16687 243.36 -90.95 73.32 -689.46 14.3710895191 56
9199 244.36 -89.95 72.32 -689.32 12.4790039569 57
26748 221.36 -83.95 61.32 -689.02 26.9801520407 58
15391 244.36 -90.95 73.32 -688.98 14.2953367685 59
11479 222.36 -82.95 60.32 -687.26 28.3860761585 60
14076 222.36 -82.95 61.32 -686.74 26.1606317496 61
9902 222.36 -83.95 61.32 -686.45 25.5485698309 62
