rotation transx transy transz piper LRMSD modelnum
4013 -113.27 101.00 -97.34 -482.18 34.4417709936 0
21792 -113.27 100.00 -96.34 -478.39 35.4223898575 1
37421 -113.27 101.00 -97.34 -477.40 34.4398239682 2
61015 -111.27 101.00 -98.34 -476.33 34.0291417751 3
15389 -113.27 101.00 -97.34 -476.11 34.4361704741 4
27053 -113.27 101.00 -97.34 -476.01 34.4516354205 5
21223 -110.27 101.00 -98.34 -475.45 34.6012628531 6
13229 -113.27 101.00 -97.34 -475.03 34.4672769773 7
54917 -112.27 101.00 -97.34 -473.94 34.9789164343 8
61968 -114.27 100.00 -96.34 -473.77 34.9980839124 9
5719 -111.27 101.00 -98.34 -473.55 34.0221220096 10
43536 -113.27 100.00 -96.34 -472.87 35.4372427473 11
53549 -113.27 101.00 -97.34 -471.87 34.4591268587 12
20215 -110.27 101.00 -98.34 -471.84 34.5566234197 13
33168 -113.27 101.00 -96.34 -470.68 35.3146428346 14
31661 -113.27 101.00 -97.34 -469.56 34.4300209616 15
20496 -113.27 100.00 -96.34 -469.00 35.4530259665 16
38573 -113.27 101.00 -97.34 -468.51 34.475708133 17
38928 -113.27 100.00 -96.34 -468.48 35.4266251224 18
66576 -113.27 100.00 -96.34 -468.13 35.4370871095 19
68311 -110.27 101.00 -98.34 -468.07 34.5515488219 20
12151 -110.27 101.00 -98.34 -467.89 34.5432775896 21
24151 -110.27 101.00 -98.34 -467.44 34.6509587883 22
41671 -110.27 101.00 -98.34 -466.71 34.5626200535 23
48 -114.27 100.00 -97.34 -466.63 34.1460904784 24
912 -113.27 100.00 -96.34 -466.39 35.4336846739 25
14736 -113.27 100.00 -96.34 -465.76 35.438882869 26
26999 -119.27 83.00 -139.34 -465.41 29.4897310715 27
38647 -110.27 101.00 -98.34 -464.63 34.5967751037 28
36269 -113.27 101.00 -96.34 -464.61 35.3059975506 29
50093 -113.27 101.00 -97.34 -464.60 34.4531725488 30
3799 -110.27 101.00 -98.34 -464.54 34.5226829283 31
58656 -113.27 100.00 -96.34 -464.52 35.4128123839 32
9953 -125.27 113.00 -100.34 -464.39 27.091247121 33
24605 -113.27 101.00 -97.34 -464.28 34.4349844547 34
44333 -113.27 101.00 -97.34 -464.02 34.4340619005 35
10999 -111.27 101.00 -98.34 -463.90 33.9973532278 36
30509 -113.27 101.00 -97.34 -463.86 34.4635848808 37
53405 -112.27 101.00 -97.34 -463.81 34.8969568723 38
14232 -114.27 100.00 -97.34 -463.15 34.1726328391 39
18053 -112.27 101.00 -97.34 -463.08 34.9870852216 40
52807 -110.27 101.00 -98.34 -462.70 34.5606209365 41
48199 -110.27 101.00 -98.34 -462.28 34.648134943 42
37632 -114.27 100.00 -96.34 -461.94 34.982632167 43
51600 -113.27 100.00 -96.34 -461.91 35.4269935745 44
44688 -112.27 101.00 -97.34 -461.88 34.9893219641 45
15943 -111.27 101.00 -98.34 -461.52 34.0045421235 46
43037 -112.27 101.00 -97.34 -460.86 34.9091449477 47
33821 -113.27 102.00 -96.34 -460.82 35.1662138522 48
