rotation transx transy transz piper LRMSD modelnum
26711 -66.70 -45.85 -41.44 -720.67 21.9989664452 0
45329 -66.70 -48.85 -42.44 -715.11 23.4571779826 1
42839 -66.70 -45.85 -41.44 -714.70 21.9178092957 2
32657 -66.70 -47.85 -42.44 -713.50 22.5182159761 3
18833 -66.70 -48.85 -42.44 -709.48 23.4431905367 4
69521 -66.70 -47.85 -42.44 -707.65 22.5509941969 5
63575 -66.70 -45.85 -41.44 -707.47 22.0330465745 6
8465 -66.70 -48.85 -42.44 -705.37 23.4241959099 7
14225 -66.70 -47.85 -42.44 -704.45 22.6131885662 8
42377 -66.70 -47.85 -42.44 -699.06 22.4111216647 9
57713 -65.70 -47.85 -41.44 -698.59 21.9006837354 10
16343 -66.70 -45.85 -41.44 -697.36 21.9018676733 11
53207 -66.70 -45.85 -41.44 -695.72 21.9388490461 12
65879 -66.70 -45.85 -41.44 -691.71 21.9147545955 13
7127 -66.70 -45.85 -41.44 -691.68 21.9462708115 14
59153 -66.70 -47.85 -42.44 -690.67 22.6292811051 15
43991 -66.70 -45.85 -41.44 -690.20 21.9894446838 16
10623 -65.70 -47.85 -41.44 -687.94 21.8912067776 17
60258 -66.70 -45.85 -41.44 -685.20 22.0006655393 18
32039 -66.70 -44.85 -41.44 -683.97 21.2460555788 19
13406 -67.70 -55.85 -43.44 -683.72 29.1687615955 20
21616 -67.70 -55.85 -43.44 -683.38 29.156021563 21
42699 -68.70 -46.85 -43.44 -682.90 22.3616341214 22
37079 -66.70 -45.85 -41.44 -681.86 22.0187144474 23
65057 -66.70 -48.85 -42.44 -681.76 23.5029925594 24
55697 -66.70 -48.85 -42.44 -681.74 23.480455981 25
48497 -66.70 -47.85 -41.44 -681.40 22.3763527506 26
12887 -66.70 -45.85 -41.44 -681.03 21.98191846 27
36113 -66.70 -48.85 -42.44 -679.36 23.4835283673 28
66891 -68.70 -46.85 -43.44 -678.50 22.4421650959 29
38592 -80.70 -37.85 -36.44 -677.81 27.0054656847 30
8067 -68.70 -46.85 -43.44 -675.35 22.5418987593 31
36590 -67.70 -54.85 -43.44 -675.23 28.2435839166 32
58480 -67.70 -55.85 -43.44 -673.96 29.1625314936 33
41873 -66.70 -47.85 -42.44 -673.75 22.5616034047 34
51089 -66.70 -47.85 -42.44 -673.69 22.6532022851 35
67031 -66.70 -45.85 -41.44 -673.35 21.9590318344 36
