rotation transx transy transz piper LRMSD modelnum
20901 -66.12 8.24 -44.51 -801.87 7.79289655576 0
54288 -67.12 12.24 -47.51 -793.79 11.6898351117 1
30218 -66.12 11.24 -45.51 -781.32 6.8209611021 2
61488 -67.12 12.24 -47.51 -779.54 11.8655237378 3
59146 -67.12 10.24 -43.51 -778.56 7.5645960228 4
57314 -67.12 11.24 -47.51 -777.04 11.6400651702 5
48816 -66.12 12.24 -47.51 -776.34 11.5206315819 6
69931 -67.12 11.24 -46.51 -775.56 6.08723257754 7
26431 -67.12 11.24 -46.51 -772.72 5.80547484485 8
37730 -66.12 12.24 -47.51 -771.64 11.864709343 9
13680 -67.12 12.24 -47.51 -771.22 11.922598397 10
28080 -66.12 13.24 -47.51 -771.07 12.1109654714 11
53424 -66.12 13.24 -48.51 -769.47 12.4916644922 12
21890 -66.12 13.24 -48.51 -768.18 12.3460685902 13
24624 -67.12 12.24 -47.51 -767.24 11.6929073553 14
40714 -67.12 10.24 -43.51 -766.89 7.31443411823 15
34992 -67.12 12.24 -47.51 -764.69 11.7792474844 16
16560 -67.12 12.24 -47.51 -764.45 11.7934278752 17
43056 -66.12 13.24 -48.51 -764.32 12.4297164442 18
41328 -66.12 13.24 -48.51 -762.83 12.6549671378 19
41131 -66.12 11.24 -46.51 -762.10 6.63391339905 20
22831 -66.12 12.24 -45.51 -761.13 5.73510632331 21
7178 -65.12 11.24 -44.51 -760.54 7.25727499239 22
36461 -64.12 17.24 -44.51 -760.51 12.2860231311 23
15098 -66.12 11.24 -45.51 -760.07 6.8212459277 24
10082 -67.12 11.24 -47.51 -759.14 11.5986403039 25
46370 -67.12 12.24 -47.51 -754.65 11.5705748261 26
50112 -67.12 13.24 -47.51 -754.49 11.8768860804 27
57765 -66.12 8.24 -44.51 -753.17 7.67727630827 28
64802 -67.12 11.24 -46.51 -752.93 11.2773762226 29
38282 -66.12 11.24 -45.51 -751.70 6.76624999535 30
36655 -67.12 11.24 -46.51 -750.84 5.58038398238 31
54811 -66.12 11.24 -45.51 -750.65 5.79937195733 32
12463 -66.12 12.24 -44.51 -750.28 5.49300341614 33
44980 -66.12 11.24 -45.51 -749.97 6.68118382876 34
22282 -67.12 10.24 -43.51 -749.41 7.24618932569 35
51962 -66.12 11.24 -45.51 -749.00 6.77974370001 36
24413 -65.12 12.24 -43.51 -748.79 11.8218615219 37
63295 -67.12 11.24 -46.51 -748.48 5.62877056077 38
51499 -67.12 10.24 -47.51 -746.47 6.12114592902 39
708 -66.12 14.24 -48.51 -746.32 12.8102407 40
432 -66.12 13.24 -48.51 -746.20 12.5248653479 41
2736 -67.12 12.24 -47.51 -745.85 11.6341037547 42
58754 -66.12 13.24 -48.51 -745.83 12.5249926138 43
4399 -66.12 12.24 -45.51 -745.79 5.89463263337 44
17424 -67.12 12.24 -47.51 -745.74 11.4998320591 45
8962 -67.12 10.24 -43.51 -745.59 6.96743392004 46
61178 -66.12 12.24 -45.51 -744.96 7.27016595354 47
7723 -66.12 11.24 -46.51 -744.68 6.36710535834 48
49248 -67.12 9.24 -45.51 -744.52 12.2437897899 49
38410 -67.12 10.24 -43.51 -744.26 7.22298220906 50
18338 -66.12 11.24 -45.51 -744.13 6.73621215234 51
25519 -67.12 11.24 -47.51 -743.47 6.2823099674 52
290 -68.12 11.24 -46.51 -743.39 11.0684451349 53
20450 -67.12 12.24 -47.51 -743.07 11.4776561154 54
50544 -66.12 12.24 -47.51 -742.34 12.1262671725 55
14218 -67.12 10.24 -43.51 -742.10 7.57987402475 56
54032 -68.12 7.24 -43.51 -741.34 11.0474036469 57
45826 -67.12 10.24 -43.51 -740.92 7.2543446945 58
17947 -66.12 11.24 -45.51 -740.42 5.94058632239 59
60336 -66.12 13.24 -48.51 -740.39 12.2747897977 60
46946 -67.12 11.24 -47.51 -740.25 11.8013389334 61
11952 -67.12 13.24 -47.51 -739.79 11.4491978282 62
9506 -67.12 12.24 -47.51 -739.32 11.3675831767 63
45888 -67.12 9.24 -45.51 -738.16 12.0722300059 64
44042 -66.12 11.24 -44.51 -737.86 6.87892929704 65
43435 -67.12 10.24 -47.51 -737.65 6.37596093506 66
39746 -64.12 17.24 -48.51 -737.54 13.2271109376 67
842 -65.12 9.24 -44.51 -737.47 7.40930871899 68
67210 -67.12 10.24 -43.51 -737.38 7.83010773756 69
50812 -66.12 11.24 -44.51 -737.30 6.65959443285 70
14532 -66.12 14.24 -48.51 -737.15 12.6288959949 71
34723 -66.12 8.24 -44.51 -737.05 7.71944613056 72
13248 -67.12 13.24 -47.51 -736.97 11.7424889977 73
55087 -66.12 11.24 -45.51 -736.67 5.80902491072 74
32832 -67.12 13.24 -47.51 -736.48 11.8551157456 75
61867 -67.12 11.24 -47.51 -736.31 6.70339601584 76
59640 -64.12 17.24 -44.51 -735.81 12.4113561878 77
54196 -65.12 11.24 -44.51 -735.33 6.98804552111 78
31613 -65.12 12.24 -44.51 -735.28 11.8800974588 79
30346 -67.12 10.24 -43.51 -734.80 7.52693652813 80
64944 -66.12 13.24 -48.51 -734.66 12.6386151628 81
33727 -67.12 11.24 -46.51 -734.40 5.64589416048 82
27772 -65.12 10.24 -44.51 -734.18 7.00650281891 83
27938 -68.12 11.24 -46.51 -733.86 11.1418273808 84
22416 -63.12 15.24 -43.51 -733.76 12.4251303818 85
30200 -68.12 7.24 -43.51 -733.48 10.8952421601 86
39866 -66.12 11.24 -44.51 -733.31 6.9277119855 87
23851 -67.12 11.24 -46.51 -732.93 5.74016971726 88
49680 -67.12 11.24 -46.51 -732.89 10.8790569558 89
51396 -66.12 14.24 -48.51 -732.71 12.474553013 90
43332 -66.12 14.24 -48.51 -732.61 12.5200873774 91
56669 -64.12 13.24 -43.51 -732.40 11.6193009603 92
37154 -67.12 12.24 -47.51 -732.40 11.1387841102 93
12415 -66.12 12.24 -45.51 -732.25 5.65696995565 94
6192 -66.12 13.24 -48.51 -731.79 12.2637387164 95
41117 -65.12 12.24 -43.51 -731.72 12.0480890318 96
65930 -65.12 11.24 -44.51 -731.70 7.11149809264 97
33941 -63.12 17.24 -43.51 -731.63 12.3453825688 98
2570 -65.12 12.24 -44.51 -731.31 7.52086915501 99
57866 -66.12 12.24 -45.51 -731.22 7.28272844233 100
20708 -67.12 9.24 -43.51 -731.13 8.8984599189 101
40896 -66.12 13.24 -48.51 -731.12 12.2923847258 102
6571 -67.12 11.24 -47.51 -731.09 6.50636301583 103
59695 -66.12 12.24 -44.51 -730.61 5.52558802039 104
37529 -66.12 9.24 -44.51 -730.40 11.7295183991 105
10901 -63.12 17.24 -44.51 -730.11 12.5219934341 106
21659 -66.12 9.24 -44.51 -730.11 11.9872596351 107
15187 -68.12 9.24 -43.51 -730.09 12.5062641714 108
35647 -67.12 11.24 -47.51 -730.00 6.69834349237 109
44133 -68.12 8.24 -43.51 -729.95 12.8825044552 110
50479 -66.12 12.24 -45.51 -729.82 5.95930425355 111
23748 -66.12 14.24 -48.51 -729.79 12.7029134068 112
26232 -64.12 17.24 -44.51 -729.74 12.1537972002 113
55001 -66.12 14.24 -48.51 -729.57 12.6409094308 114
17168 -68.12 7.24 -43.51 -729.31 10.7449425994 115
55202 -66.12 11.24 -45.51 -729.13 6.76519651267 116
56880 -67.12 13.24 -47.51 -728.72 11.547245091 117
60715 -67.12 11.24 -46.51 -728.31 5.60081993385 118
62383 -67.12 11.24 -46.51 -727.86 5.72949302159 119
45968 -68.12 7.24 -43.51 -727.77 10.7086350065 120
2482 -68.12 8.24 -44.51 -727.35 5.78464712636 121
21120 -63.12 17.24 -43.51 -727.32 12.3720757802 122
