rotation transx transy transz piper LRMSD modelnum
65413 -13.87 -61.48 -32.70 -794.69 33.5742885044 0
28549 -13.87 -60.48 -32.70 -791.39 33.7759579514 1
37765 -13.87 -61.48 -32.70 -789.43 33.4056289993 2
38917 -13.87 -60.48 -33.70 -753.10 33.0918340513 3
29560 -13.87 -61.48 -31.70 -750.57 34.104873593 4
63533 -31.87 -54.48 -29.70 -746.08 35.1023633184 5
64837 -12.87 -60.48 -30.70 -737.12 35.2422982291 6
901 -13.87 -61.48 -32.70 -725.45 33.4330901751 7
14725 -13.87 -61.48 -32.70 -722.78 33.664042028 8
3640 -12.87 -61.48 -29.70 -721.31 35.6335728221 9
37037 -31.87 -54.48 -28.70 -719.74 35.7543092896 10
66424 -13.87 -61.48 -32.70 -711.99 33.3870705947 11
57349 -13.87 -61.48 -33.70 -711.04 32.6747474806 12
6661 -13.87 -60.48 -32.70 -709.97 33.9758554266 13
2053 -13.87 -60.48 -33.70 -707.94 33.1266306596 14
5509 -13.87 -61.48 -32.70 -702.11 33.543735897 15
38776 -14.87 -62.48 -33.70 -701.13 31.8058665903 16
43525 -13.87 -61.48 -32.70 -700.07 33.7552367744 17
46981 -13.87 -62.48 -33.70 -699.13 32.3794812852 18
56197 -13.87 -62.48 -33.70 -698.16 32.2327911178 19
49720 -12.87 -61.48 -29.70 -695.95 35.543418654 20
46405 -12.87 -61.48 -31.70 -692.69 34.4621717667 21
28408 -13.87 -61.48 -32.70 -692.44 33.1190379564 22
51589 -13.87 -61.48 -32.70 -692.31 33.7023366334 23
11261 -31.87 -53.48 -29.70 -691.72 35.5527312801 24
47992 -13.87 -62.48 -33.70 -689.96 32.1538405299 25
57341 -32.87 -54.48 -29.70 -689.29 35.0628644732 26
35896 -12.87 -60.48 -30.70 -687.55 35.1121606313 27
20477 -31.87 -54.48 -29.70 -684.86 34.9230289497 28
1912 -13.87 -62.48 -33.70 -681.80 32.2318239534 29
61683 -17.87 -41.48 -52.70 -681.54 33.5582842947 30
54328 -12.87 -61.48 -30.70 -679.37 35.1710495359 31
17464 -12.87 -61.48 -30.70 -678.96 35.1167757668 32
11128 -14.87 -63.48 -34.70 -678.60 30.7308752695 33
26669 -31.87 -54.48 -28.70 -678.43 35.8171584795 34
52360 -24.87 -56.48 -68.70 -678.30 19.1849303091 35
27973 -12.87 -61.48 -30.70 -678.23 34.9554440905 36
31097 -31.87 -45.48 -43.70 -677.49 28.8391070099 37
64685 -32.87 -54.48 -29.70 -675.42 35.0754416335 38
56045 -31.87 -53.48 -29.70 -674.56 35.5962821944 39
46973 -32.87 -54.48 -29.70 -673.87 35.0036976173 40
19333 -14.87 -63.48 -34.70 -673.32 30.8119024214 41
52741 -13.87 -60.48 -33.70 -672.29 33.386256893 42
41416 -24.87 -56.48 -68.70 -671.65 18.9547534794 43
38583 -24.87 -42.48 -36.70 -668.77 35.0267373115 44
8248 -12.87 -61.48 -30.70 -668.18 34.9850481311 45
9541 -12.87 -60.48 -31.70 -667.86 34.6405834952 46
5365 -12.87 -59.48 -33.70 -667.82 34.0908945647 47
21925 -12.87 -60.48 -32.70 -666.73 34.2723207367 48
32200 -24.87 -56.48 -68.70 -665.41 19.155753794 49
4457 -30.87 -44.48 -43.70 -664.88 29.6012193993 50
32105 -31.87 -44.48 -43.70 -664.59 29.7403756354 51
4552 -24.87 -55.48 -68.70 -664.20 19.7079341403 52
55480 -13.87 -62.48 -32.70 -662.68 32.7853109254 53
45112 -14.87 -62.48 -33.70 -662.55 31.6847526125 54
10109 -32.87 -54.48 -29.70 -662.43 35.018890752 55
26533 -13.87 -61.48 -32.70 -660.12 33.7445332381 56
