rotation transx transy transz piper LRMSD modelnum
27476 -26.32 41.86 133.31 -731.81 16.8071587788 0
55838 -24.32 44.86 140.31 -730.90 3.46305074512 1
43334 -26.32 41.86 134.31 -725.59 16.5198746591 2
19922 -26.32 41.86 134.31 -725.40 16.4420428526 3
19694 -25.32 44.86 140.31 -719.22 3.83960723921 4
33518 -24.32 44.86 141.31 -719.09 2.84561694925 5
21566 -24.32 44.86 142.31 -715.28 2.45251183689 6
64340 -26.32 41.86 134.31 -713.70 16.4831644301 7
14534 -26.32 41.86 134.31 -708.10 16.5385028255 8
25598 -24.32 44.86 140.31 -707.77 3.37066799304 9
30062 -25.32 44.86 140.31 -707.20 3.4937107939 10
61766 -26.32 41.86 134.31 -702.25 16.5202164399 11
9902 -23.32 46.86 144.31 -701.45 4.55315536778 12
35540 -26.32 41.86 134.31 -694.91 16.4728642193 13
68654 -23.32 46.86 143.31 -694.66 3.98793472197 14
1262 -25.32 44.86 140.31 -692.11 3.35213519633 15
37982 -24.32 44.86 142.31 -691.78 3.21597341305 16
14942 -24.32 44.86 142.31 -689.83 2.933869844 17
53972 -26.32 41.86 134.31 -689.56 16.5206152162 18
58430 -24.32 45.86 142.31 -686.84 2.9383916377 19
62462 -24.32 44.86 141.31 -686.68 2.62763153827 20
57566 -24.32 44.86 142.31 -686.47 2.97329172669 21
6878 -24.32 44.86 142.31 -685.84 2.55945103722 22
44606 -23.32 46.86 144.31 -685.23 4.71023715676 23
23750 -27.32 41.86 134.31 -684.17 16.574828124 24
1490 -27.32 41.86 133.31 -683.78 16.696990995 25
52550 -26.32 41.86 133.31 -683.16 16.8166110836 26
56786 -27.32 41.86 134.31 -682.72 16.4273190088 27
30638 -24.32 45.86 145.31 -682.01 4.88867610356 28
20270 -23.32 46.86 144.31 -681.24 4.34917233102 29
47570 -27.32 41.86 132.31 -680.25 17.1183295361 30
5870 -24.32 45.86 141.31 -679.32 2.90510680586 31
7892 -27.32 41.86 134.31 -679.23 16.5227478328 32
42734 -24.32 45.86 142.31 -679.23 2.86480298122 33
10334 -24.32 43.86 142.31 -679.23 3.38470997007 34
710 -26.32 40.86 134.31 -679.16 16.5547849516 35
29138 -26.32 41.86 134.31 -678.51 16.3677105164 36
64550 -25.32 44.86 140.31 -678.42 4.04197057013 37
68366 -25.32 44.86 140.31 -678.10 3.96520198648 38
65630 -24.32 44.86 142.31 -676.40 2.61702904916 39
57134 -23.32 46.86 144.31 -676.03 4.54754346079 40
46766 -23.32 46.86 145.31 -675.98 5.33147887289 41
17966 -23.32 46.86 144.31 -674.53 4.6890608082 42
6470 -26.32 41.86 134.31 -673.95 16.5123547208 43
26324 -27.32 41.86 134.31 -673.29 16.4934616535 44
69830 -26.32 41.86 134.31 -671.15 16.5519516468 45
51398 -27.32 40.86 135.31 -670.44 16.1746353253 46
46622 -24.32 44.86 142.31 -670.08 3.07038890143 47
54830 -24.32 46.86 144.31 -669.87 4.66720214696 48
39134 -24.32 44.86 140.31 -668.89 3.29994193776 49
10706 -26.32 41.86 133.31 -667.26 16.6960801303 50
60614 -27.32 40.86 135.31 -667.10 16.1718432571 51
50222 -24.32 45.86 144.31 -666.45 4.01842398464 52
43742 -24.32 45.86 142.31 -666.40 3.10049024337 53
16414 -24.32 48.86 138.31 -665.90 8.2287465071 54
9758 -24.32 44.86 141.31 -664.78 3.23311394888 55
65950 -24.32 48.86 139.31 -664.78 8.16486133138 56
40898 -26.32 40.86 134.31 -664.39 16.5090290492 57
31790 -24.32 45.86 141.31 -664.35 2.7875566339 58
37550 -23.32 47.86 145.31 -663.95 5.856200088 59
28766 -24.32 44.86 141.31 -663.95 2.76837673384 60
11858 -27.32 41.86 134.31 -663.26 16.4611904216 61
38126 -24.32 45.86 140.31 -663.06 3.5754687918 62
13358 -24.32 44.86 142.31 -662.37 2.85640709603 63
35390 -24.32 45.86 142.31 -662.11 2.70254470198 64
4142 -24.32 45.86 144.31 -661.79 4.14013201137 65
31502 -25.32 43.86 140.31 -661.50 4.20674173924 66
17678 -25.32 43.86 141.31 -661.34 3.54651510044 67
3284 -27.32 41.86 133.31 -661.24 16.8204262418 68
15086 -24.32 44.86 140.31 -661.15 3.17727450515 69
60446 -25.32 43.86 140.31 -660.50 4.48460322867 70
7742 -23.32 46.86 143.31 -660.41 4.10351804399 71
56558 -25.32 44.86 140.31 -657.89 3.81245038561 72
66926 -25.32 44.86 141.31 -657.74 2.88569996526 73
17108 -26.32 41.86 133.31 -657.28 16.8482921948 74
13676 -23.32 47.86 144.31 -657.13 5.75448390896 75
31682 -26.32 41.86 133.31 -656.85 16.8231527815 76
23150 -25.32 44.86 141.31 -656.48 2.74274583841 77
32966 -26.32 41.86 134.31 -656.04 16.5457583236 78
7622 -26.32 41.86 134.31 -655.93 16.6038446068 79
47342 -25.32 44.86 139.31 -655.66 4.25331455503 80
39878 -26.32 41.86 135.31 -655.42 16.2032921633 81
286 -24.32 48.86 138.31 -655.41 8.49807124114 82
16238 -24.32 45.86 142.31 -654.77 3.02429665711 83
44486 -27.32 41.86 134.31 -654.57 16.5885699559 84
36546 -25.32 42.86 138.31 -654.46 15.4413475775 85
41006 -23.32 45.86 145.31 -654.17 4.84024210009 86
46790 -26.32 40.86 135.31 -654.02 16.1886470262 87
26174 -24.32 45.86 143.31 -653.90 3.55212247575 88
4290 -25.32 42.86 138.31 -653.64 15.4485969225 89
28190 -25.32 43.86 141.31 -652.51 3.91667490297 90
34898 -27.32 42.86 133.31 -652.46 16.76131323 91
63902 -24.32 44.86 140.31 -651.82 3.7371372287 92
54600 -23.32 47.86 145.31 -650.36 5.92643477711 93
51806 -25.32 44.86 142.31 -650.07 3.12114560894 94
32226 -27.32 42.86 133.31 -650.05 16.8724593222 95
14510 -23.32 47.86 144.31 -649.37 5.54853556198 96
53702 -26.32 41.86 134.31 -648.86 16.5578185259 97
18132 -27.32 41.86 134.31 -648.45 16.6004548395 98
53034 -28.32 39.86 131.31 -648.17 17.7388887669 99
27787 -24.32 48.86 138.31 -648.16 8.89613368058 100
49364 -27.32 41.86 132.31 -648.03 17.1839403043 101
46682 -23.32 47.86 144.31 -647.60 5.24150216875 102
24020 -26.32 41.86 135.31 -646.85 16.1924564416 103
20702 -24.32 44.86 141.31 -646.72 3.09811475451 104
5318 -27.32 40.86 135.31 -646.60 16.1463006454 105
25310 -24.32 44.86 143.31 -645.94 3.42919427143 106
24878 -23.32 47.86 144.31 -645.72 5.51984136528 107
60884 -27.32 41.86 134.31 -645.57 16.579246902 108
49214 -24.32 45.86 141.31 -645.30 2.70061806979 109
13963 -24.32 48.86 138.31 -645.03 8.94213247498 110
29994 -25.32 41.86 137.31 -645.03 15.4864651033 111
34260 -27.32 40.86 135.31 -644.93 16.1703082848 112
20156 -24.32 46.86 141.31 -644.58 3.96310769563 113
37406 -25.32 43.86 139.31 -644.47 4.62604152641 114
22574 -24.32 44.86 145.31 -644.12 4.97218880194 115
46190 -23.32 47.86 144.31 -643.57 5.10630037894 116
68082 -28.32 39.86 132.31 -643.04 17.423377274 117
67502 -24.32 45.86 145.31 -642.97 5.15967490619 118
12500 -27.32 42.86 132.31 -642.18 17.152528038 119
62918 -27.32 41.86 134.31 -641.72 16.619802981 120
20778 -28.32 41.86 131.31 -641.63 17.2239950724 121
13934 -24.32 45.86 140.31 -641.56 3.42535688535 122
18398 -24.32 43.86 142.31 -641.16 3.24673111255 123
53102 -24.32 45.86 144.31 -641.06 3.96329354092 124
54978 -25.32 42.86 138.31 -641.05 15.453162612 125
110 -24.32 45.86 142.31 -641.00 2.78005610095 126
54690 -26.32 42.86 136.31 -640.90 15.7904303094 127
2270 -24.32 44.86 141.31 -640.75 2.69872468553 128
24530 -27.32 42.86 133.31 -640.06 16.6978683993 129
6662 -25.32 43.86 140.31 -639.50 4.84055846771 130
25916 -24.32 46.86 144.31 -639.28 4.82863100271 131
21716 -27.32 42.86 133.31 -639.24 16.8373194165 132
42470 -25.32 42.86 138.31 -639.01 15.4260766369 133
33550 -24.32 48.86 139.31 -638.50 7.37523134054 134
39998 -24.32 45.86 140.31 -638.44 3.28897642202 135
43526 -26.32 43.86 140.31 -638.33 4.8451336787 136
24302 -25.32 44.86 141.31 -637.96 3.35100479098 137
64916 -26.32 42.86 136.31 -637.95 15.7308406641 138
65198 -23.32 47.86 144.31 -637.92 5.21034743722 139
44756 -27.32 41.86 135.31 -637.39 16.1878310462 140
16988 -25.32 48.86 137.31 -637.33 8.52611641006 141
32834 -26.32 40.86 135.31 -637.11 16.1482137428 142
11630 -25.32 44.86 141.31 -636.73 3.55864426794 143
63038 -24.32 45.86 145.31 -636.69 4.92538721449 144
60954 -28.32 39.86 131.31 -636.63 17.6488577024 145
5150 -25.32 44.86 139.31 -636.35 4.56965413677 146
10078 -24.32 48.86 137.31 -636.17 9.14086860258 147
35750 -25.32 44.86 140.31 -635.77 4.28947693402 148
48350 -24.32 44.86 141.31 -635.21 2.75711995489 149
4718 -24.32 45.86 141.31 -635.15 2.61449615037 150
58062 -27.32 39.86 133.31 -635.11 17.1233169901 151
40718 -26.32 43.86 140.31 -634.86 4.69972431423 152
39362 -26.32 41.86 134.31 -634.69 16.298867909 153
59438 -25.32 44.86 145.31 -634.35 5.14260680317 154
32942 -24.32 46.86 144.31 -633.90 4.93579416849 155
54182 -25.32 45.86 140.31 -633.76 3.76682557968 156
62900 -25.32 42.86 138.31 -633.75 15.4404748566 157
52980 -25.32 42.86 138.31 -633.65 15.4099476962 158
19118 -24.32 45.86 145.31 -633.58 5.05730715137 159
18974 -25.32 44.86 140.31 -633.36 3.442104443 160
61742 -24.32 47.86 144.31 -633.25 5.5432232772 161
3134 -24.32 45.86 141.31 -633.25 2.77084234732 162
51950 -24.32 45.86 140.31 -633.15 3.28973300111 163
33954 -28.32 42.86 133.31 -633.06 16.6952452661 164
12092 -24.32 46.86 143.31 -633.03 4.18891406193 165
47198 -24.32 44.86 143.31 -632.86 3.56579058852 166
65054 -25.32 43.86 142.31 -632.67 3.84145711478 167
35964 -24.32 45.86 145.31 -632.03 4.82288878287 168
66638 -24.32 44.86 145.31 -631.80 5.08518641242 169
48722 -27.32 41.86 134.31 -631.76 16.439853272 170
58310 -26.32 41.86 135.31 -631.47 16.2320670991 171
834 -27.32 38.86 134.31 -631.42 16.8975791392 172
61394 -27.32 42.86 133.31 -631.34 16.6974022239 173
20418 -25.32 42.86 138.31 -630.97 15.4757250477 174
42910 -24.32 48.86 138.31 -630.55 8.3606204425 175
24902 -26.32 41.86 133.31 -629.94 16.8911654429 176
16170 -28.32 39.86 130.31 -629.89 18.1192561948 177
56734 -24.32 48.86 139.31 -629.85 7.5046187811 178
29406 -28.32 39.86 133.31 -629.57 17.1329146539 179
22027 -24.32 48.86 138.31 -629.54 8.92446598842 180
29922 -26.32 42.86 136.31 -629.53 15.8584556959 181
38334 -25.32 41.86 137.31 -629.51 15.4600883651 182
21712 -25.32 43.86 139.31 -629.49 4.65840705706 183
63188 -27.32 40.86 135.31 -629.39 16.1424395501 184
57794 -27.32 41.86 132.31 -628.86 17.03248429 185
50370 -25.32 42.86 138.31 -628.29 15.4343641071 186
1118 -25.32 43.86 142.31 -628.10 3.38768969136 187
18402 -27.32 41.86 134.31 -627.99 16.5210432602 188
21884 -23.32 47.86 143.31 -627.71 5.26381546681 189
35998 -25.32 48.86 138.31 -627.67 8.75380684476 190
65982 -25.32 42.86 138.31 -627.64 15.2736085761 191
9474 -27.32 39.86 133.31 -627.45 17.0986806659 192
61166 -24.32 44.86 145.31 -627.03 4.71502983106 193
13506 -25.32 42.86 137.31 -626.98 15.642911212 194
686 -23.32 47.86 144.31 -626.95 5.57289500213 195
26054 -26.32 41.86 135.31 -626.39 16.2485060333 196
27758 -23.32 45.86 145.31 -626.30 4.77257293704 197
44752 -24.32 43.86 142.31 -626.06 3.0869038658 198
49675 -24.32 49.86 137.31 -626.01 9.85042464703 199
47838 -28.32 40.86 133.31 -625.55 17.0099999672 200
64622 -24.32 46.86 144.31 -625.26 4.55175033639 201
38354 -27.32 40.86 134.31 -624.95 16.4368200758 202
66002 -26.32 41.86 134.31 -624.82 16.3807337944 203
18474 -28.32 40.86 131.31 -624.75 17.402164354 204
16116 -25.32 42.86 138.31 -624.41 15.4153321528 205
17826 -26.32 42.86 136.31 -624.29 15.7225702715 206
5442 -27.32 38.86 135.31 -624.18 16.5426865119 207
45908 -26.32 41.86 133.31 -624.18 16.8538881924 208
40148 -27.32 42.86 132.31 -623.92 17.2648024647 209
50798 -24.32 45.86 140.31 -623.48 3.31183928857 210
62174 -25.32 44.86 142.31 -623.48 3.36441854639 211
17394 -27.32 40.86 134.31 -623.36 16.6141159945 212
44030 -24.32 44.86 140.31 -623.24 3.10613511396 213
53278 -24.32 48.86 138.31 -623.24 8.43906116419 214
16814 -25.32 45.86 145.31 -622.97 5.50802305478 215
3014 -26.32 41.86 135.31 -622.84 16.227462026 216
36398 -24.32 45.86 145.31 -622.82 4.98161618194 217
43910 -26.32 41.86 135.31 -622.13 16.1020838549 218
66858 -25.32 41.86 137.31 -622.02 15.5358562097 219
11838 -26.32 42.86 137.31 -621.76 15.160374234 220
26606 -24.32 45.86 140.31 -621.75 3.25400445954 221
10974 -27.32 40.86 133.31 -621.45 16.9939570069 222
37698 -27.32 38.86 134.31 -621.43 16.9134746111 223
58862 -24.32 45.86 140.31 -621.42 3.3831486372 224
31956 -27.32 40.86 135.31 -621.01 16.1873426417 225
51374 -23.32 48.86 144.31 -620.87 6.52357008905 226
59732 -26.32 42.86 134.31 -620.84 16.3917415997 227
2590 -24.32 48.86 139.31 -620.79 7.6933507693 228
12206 -25.32 44.86 145.31 -620.77 5.28022446732 229
35132 -23.32 46.86 144.31 -620.72 4.74527364891 230
34094 -23.32 46.86 144.31 -620.71 4.51705359537 231
68546 -26.32 40.86 134.31 -620.61 16.4838373575 232
69086 -24.32 43.86 142.31 -620.27 3.16394791831 233
19412 -26.32 41.86 135.31 -620.25 16.0926961154 234
3595 -25.32 48.86 137.31 -620.12 9.36075177078 235
44636 -25.32 48.86 137.31 -620.05 8.75720501043 236
34530 -27.32 42.86 134.31 -619.93 16.6160760203 237
33836 -24.32 46.86 144.31 -619.71 5.13557422489 238
29774 -25.32 43.86 142.31 -619.61 3.64547742474 239
22868 -27.32 42.86 130.31 -619.58 17.9786894818 240
60979 -24.32 48.86 138.31 -619.55 9.14671718229 241
28358 -26.32 40.86 134.31 -619.41 16.5249539342 242
58580 -27.32 41.86 134.31 -619.28 16.4340072127 243
42452 -25.32 42.86 138.31 -619.19 15.4275076485 244
3854 -25.32 43.86 142.31 -619.05 4.03297004148 245
61094 -25.32 44.86 140.31 -619.01 3.45050665978 246
67526 -26.32 41.86 134.31 -618.98 16.5880153202 247
