rotation transx transy transz piper LRMSD modelnum
12386 -100.94 4.58 7.41 -861.77 32.4180602975 0
49250 -100.94 4.58 7.41 -843.26 32.3498548053 1
56402 -100.94 4.58 7.41 -840.17 32.4235081723 2
3170 -100.94 4.58 7.41 -825.37 32.296044473 3
59618 -100.94 4.58 7.41 -824.50 32.3849205472 4
19538 -100.94 4.58 7.41 -811.37 32.5023665825 5
40034 -100.94 4.58 7.41 -807.62 32.3849422766 6
67346 -80.94 -6.42 14.41 -802.00 20.5566811752 7
39698 -80.94 -7.42 14.41 -801.04 19.842215696 8
15362 -80.94 -6.42 14.41 -799.09 20.5023608268 9
11520 -98.94 3.58 7.41 -797.10 30.7986502692 10
35426 -100.94 4.58 7.41 -794.90 32.1865123934 11
44066 -99.94 4.58 6.41 -787.94 32.330887596 12
25154 -100.94 4.58 7.41 -787.23 32.4044303347 13
25412 -102.94 13.58 24.41 -787.10 40.0389760752 14
45674 -80.94 -7.42 14.41 -786.93 19.8406908998 15
66816 -98.94 3.58 7.41 -782.91 30.7063539005 16
47952 -99.94 4.58 7.41 -780.89 31.9550439211 17
28754 -100.94 4.58 7.41 -778.68 32.3878484211 18
21698 -80.94 -7.42 14.41 -778.51 19.8227654694 19
11330 -101.94 4.58 7.41 -777.88 32.8374419349 20
11088 -99.94 4.58 7.41 -776.72 32.0049188144 21
56162 -99.94 4.58 7.41 -776.59 31.9618497371 22
56372 -102.94 13.58 25.41 -776.55 40.1882073816 23
44306 -80.94 -6.42 15.41 -776.30 20.4788517971 24
8594 -101.94 4.58 7.41 -774.40 32.7746036401 25
45072 -99.94 4.58 7.41 -773.87 32.0705590456 26
8564 -102.94 13.58 25.41 -772.15 40.1565373251 27
12528 -98.94 3.58 7.41 -771.79 30.8381363435 28
1076 -101.94 14.58 24.41 -768.62 40.380514307 29
23932 -80.94 -6.42 14.41 -767.72 20.5256052404 30
36816 -80.94 -7.42 15.41 -767.72 19.7812114663 31
56304 -98.94 3.58 7.41 -766.76 30.7474215596 32
22754 -100.94 4.58 7.41 -766.32 32.4437706503 33
988 -92.94 -2.42 5.41 -765.83 20.1633777844 34
52822 -89.94 -19.42 13.41 -765.74 1.73975559887 35
48232 -89.94 -19.42 13.41 -765.14 2.37090616284 36
6742 -89.94 -19.42 12.41 -764.60 2.08277273656 37
20476 -80.94 -7.42 13.41 -764.40 19.9261236638 38
38736 -99.94 4.58 7.41 -763.84 31.9833135135 39
1872 -100.94 4.58 7.41 -761.86 32.2807242389 40
39092 -102.94 13.58 24.41 -761.28 39.9482290794 41
19440 -98.94 3.58 7.41 -759.06 30.7540527779 42
16874 -80.94 -7.42 13.41 -758.99 19.8637716775 43
2134 -89.94 -19.42 12.41 -757.73 1.9892025908 44
63890 -101.94 4.58 7.41 -757.64 32.9207458484 45
15114 -104.94 13.58 22.41 -757.59 40.6172406425 46
3266 -80.94 -7.42 15.41 -757.30 19.777154939 47
62018 -100.94 4.58 7.41 -757.00 32.3215821538 48
63064 -89.94 -19.42 12.41 -756.42 2.17079781399 49
58769 -107.94 11.58 24.41 -756.34 40.6529519087 50
52840 -89.94 -19.42 13.41 -756.25 1.8728086708 51
49346 -80.94 -7.42 14.41 -755.27 19.8610285611 52
28724 -103.94 13.58 24.41 -753.85 40.4211825423 53
46726 -101.94 14.58 24.41 -753.25 40.3195673197 54
38328 -110.94 10.58 9.41 -752.53 37.7829170935 55
3986 -101.94 4.58 7.41 -752.05 32.9158489252 56
57436 -93.94 -1.42 6.41 -748.68 20.8905184228 57
6760 -89.94 -19.42 13.41 -748.48 2.17464313543 58
20566 -89.94 -19.42 12.41 -748.45 2.23458573264 59
67682 -99.94 4.58 7.41 -748.39 31.9942640398 60
34370 -100.94 4.58 7.41 -748.19 32.4931542113 61
8208 -99.94 4.58 7.41 -747.77 32.0924031611 62
25824 -94.94 -0.42 5.41 -747.34 27.510426046 63
55440 -98.94 3.58 6.41 -746.26 31.1776341285 64
26200 -89.94 -19.42 12.41 -746.18 2.30889706651 65
48452 -103.94 13.58 25.41 -746.17 40.6679838308 66
40176 -98.94 3.58 7.41 -745.36 30.8293839479 67
2152 -89.94 -19.42 13.41 -745.15 2.23433318375 68
41282 -80.94 -7.42 15.41 -744.98 19.778426332 69
54644 -102.94 13.58 25.41 -744.85 40.1998689091 70
39004 -92.94 -2.42 5.41 -744.83 20.0631292259 71
8196 -98.94 3.58 7.41 -744.78 30.7168230492 72
15120 -99.94 4.58 6.41 -744.28 32.3641714885 73
65080 -89.94 -18.42 13.41 -744.14 3.3476228207 74
11588 -101.94 13.58 25.41 -744.01 39.77152302 75
26306 -80.94 -7.42 14.41 -743.85 19.8454097559 76
34390 -89.94 -19.42 12.41 -743.45 2.09248469003 77
19728 -80.94 -7.42 15.41 -743.31 19.756587822 78
10204 -92.94 -2.42 5.41 -743.21 20.0469128167 79
51790 -100.94 13.58 28.41 -742.96 39.9893112625 80
48384 -98.94 3.58 7.41 -742.68 30.78417 81
