rotation transx transy transz piper LRMSD modelnum
42005 -48.67 -24.12 10.68 -899.14 30.9898629384 0
51437 -48.67 -24.12 10.68 -886.47 31.0939510808 1
15647 -49.67 -25.12 10.68 -883.70 32.0112908697 2
55091 -50.67 -25.12 10.68 -883.24 31.2977263669 3
30477 -49.67 -24.12 7.68 -879.80 31.3116756768 4
31493 -48.67 -25.12 10.68 -877.58 31.6613611947 5
14573 -48.67 -24.12 10.68 -873.29 31.0849552125 6
51998 -72.67 -2.12 -27.32 -871.79 35.8813027206 7
27533 -48.67 -24.12 10.68 -869.26 31.087323407 8
29279 -61.67 -19.12 -14.32 -869.06 29.169169623 9
64397 -48.67 -24.12 10.68 -868.30 31.0906815847 10
1310 -72.67 -2.12 -27.32 -864.74 35.8124781182 11
21267 -51.67 -26.12 12.68 -863.94 30.6355534184 12
11039 -49.67 -25.12 9.68 -863.57 31.9597946955 13
52371 -49.67 -25.12 11.68 -863.40 31.0499362636 14
47390 -72.67 -2.12 -27.32 -862.58 35.7593983344 15
19457 -61.67 -18.12 -14.32 -862.25 28.0586377909 16
40769 -62.67 -18.12 -14.32 -860.12 27.6920678625 17
56111 -49.67 -25.12 10.68 -859.17 32.0402953928 18
64961 -61.67 -18.12 -14.32 -859.09 28.0028498421 19
58284 -58.67 -12.12 -18.32 -858.61 30.9163532349 20
47903 -49.67 -25.12 9.68 -857.31 31.9690130883 21
51891 -52.67 -26.12 13.68 -857.16 30.1834570222 22
43373 -48.67 -24.12 10.68 -855.64 31.0194680725 23
41427 -49.67 -25.12 11.68 -854.79 31.0013745152 24
3845 -48.67 -24.12 11.68 -854.39 31.0731628594 25
22277 -48.67 -24.12 11.68 -854.17 31.1826167506 26
16746 -61.67 -18.12 -14.32 -851.78 28.6422799328 27
31059 -49.67 -25.12 11.68 -851.66 31.0590202182 28
61674 -61.67 -18.12 -14.32 -851.03 28.6068682383 29
19247 -49.67 -25.12 10.68 -849.57 32.0280332977 30
58707 -49.67 -25.12 12.68 -849.51 31.2301571759 31
54815 -50.67 -25.12 10.68 -849.34 31.3120220669 32
44165 -49.67 -25.12 11.68 -849.28 30.9828967078 33
68357 -48.67 -24.12 10.68 -849.07 31.0668393956 34
11537 -61.67 -18.12 -14.32 -846.44 28.0303602628 35
28481 -59.67 -15.12 -17.32 -846.41 30.2106976937 36
38541 -49.67 -24.12 7.68 -845.95 31.2695498739 37
6291 -49.67 -25.12 11.68 -845.94 31.1287814528 38
44015 -49.67 -25.12 9.68 -845.53 31.9714462827 39
60719 -50.67 -25.12 10.68 -845.13 31.289258021 40
8735 -50.67 -26.12 10.68 -845.05 31.9875208354 41
59141 -48.67 -25.12 11.68 -844.84 31.811284158 42
56321 -61.67 -18.12 -14.32 -844.33 28.0408122988 43
54905 -59.67 -10.12 -17.32 -843.89 29.2928919802 44
35178 -61.67 -19.12 -14.32 -843.66 29.0400316734 45
13635 -49.67 -25.12 12.68 -843.63 31.2321018686 46
34079 -50.67 -25.12 10.68 -843.32 31.3123701316 47
60653 -49.67 -25.12 11.68 -842.75 31.0932429995 48
59201 -62.67 -18.12 -14.32 -842.51 27.6883316126 49
29471 -49.67 -25.12 10.68 -842.13 32.0023420956 50
25793 -62.67 -19.12 -15.32 -842.08 28.9204870343 51
60522 -61.67 -18.12 -14.32 -842.04 28.7047978459 52
52511 -49.67 -25.12 10.68 -841.75 32.013633943 53
11765 -48.67 -24.12 10.68 -841.67 30.9232716095 54
26028 -58.67 -12.12 -18.32 -841.34 30.9080378056 55
64107 -51.67 -26.12 12.68 -841.31 30.673125822 56
14273 -62.67 -18.12 -14.32 -841.20 27.6711055413 57
51137 -62.67 -18.12 -14.32 -840.39 27.6413111691 58
34577 -61.67 -18.12 -14.32 -839.91 28.0718531876 59
42287 -49.67 -25.12 10.68 -839.55 31.9879494362 60
3411 -49.67 -25.12 11.68 -839.36 31.0038747458 61
36545 -58.67 -12.12 -18.32 -839.30 30.826451661 62
4289 -58.67 -12.12 -18.32 -839.21 30.8000427041 63
61214 -72.67 -2.12 -27.32 -838.44 35.8456844115 64
44867 -50.67 -25.12 11.68 -838.18 31.384660994 65
67265 -61.67 -18.12 -15.32 -838.11 28.8679673309 66
15134 -72.67 -2.12 -27.32 -837.84 35.7941735529 67
5057 -62.67 -18.12 -14.32 -837.20 27.6346187952 68
14878 -62.67 -20.12 -11.32 -836.54 28.0404690082 69
7361 -62.67 -19.12 -15.32 -836.45 28.8928395185 70
42587 -51.67 -27.12 6.68 -835.58 30.8426679102 71
51077 -48.67 -25.12 11.68 -835.54 31.8684990561 72
38201 -62.67 -18.12 -15.32 -835.46 28.4970617977 73
1823 -49.67 -25.12 10.68 -835.45 32.0609216413 74
66143 -61.67 -19.12 -14.32 -834.95 29.1677954017 75
37679 -49.67 -25.12 10.68 -833.38 31.987347238 76
50499 -49.67 -25.12 12.68 -833.37 31.2814900551 77
58218 -61.67 -19.12 -13.32 -833.21 28.4040751908 78
28037 -49.67 -25.12 11.68 -832.92 31.0645894678 79
55535 -61.67 -20.12 -13.32 -832.74 29.0413674317 80
13001 -56.67 -13.12 -22.32 -832.72 35.3015133236 81
14213 -48.67 -25.12 11.68 -832.70 31.849782405 82
35870 -73.67 -3.12 -27.32 -832.62 35.9113825719 83
8303 -61.67 -19.12 -13.32 -832.61 28.5458088983 84
54885 -49.67 -24.12 7.68 -832.47 31.2792911417 85
30401 -62.67 -18.12 -15.32 -832.41 28.5132359262 86
1625 -60.67 -17.12 -15.32 -831.71 29.116766101 87
3131 -51.67 -27.12 6.68 -831.65 30.7587267561 88
68801 -58.67 -14.12 -18.32 -831.57 31.2937870237 89
13151 -61.67 -18.12 -14.32 -831.55 28.731552183 90
18113 -58.67 -13.12 -18.32 -831.52 31.0543721788 91
24350 -72.67 -2.12 -27.32 -831.10 35.7621913348 92
2835 -51.67 -26.12 12.68 -830.84 30.6180865764 93
51660 -58.67 -12.12 -18.32 -830.77 30.9770780451 94
37253 -49.67 -25.12 11.68 -830.32 30.935693166 95
39786 -61.67 -19.12 -14.32 -830.13 29.1524262834 96
19486 -62.67 -21.12 -11.32 -830.02 28.4253701531 97
35597 -48.67 -24.12 10.68 -829.96 31.1501218977 98
33795 -51.67 -26.12 12.68 -829.70 30.5807418403 99
62657 -62.67 -19.12 -15.32 -829.26 28.8944862316 100
7530 -61.67 -19.12 -14.32 -828.77 29.0776446379 101
41153 -58.67 -13.12 -18.32 -828.66 30.9698928218 102
15071 -49.67 -25.12 9.68 -828.58 31.9846591194 103
10526 -72.67 -2.12 -27.32 -828.12 35.6739509674 104
24065 -61.67 -18.12 -14.32 -827.50 28.0908285084 105
20417 -59.67 -14.12 -17.32 -827.14 29.947652281 106
65849 -62.67 -18.12 -15.32 -826.52 28.5778144363 107
45167 -61.67 -20.12 -13.32 -825.76 29.0090849809 108
62892 -58.67 -12.12 -18.32 -825.75 30.8391644608 109
55313 -61.67 -18.12 -14.32 -825.69 28.0881993656 110
63617 -59.67 -15.12 -17.32 -825.69 30.2350334728 111
21912 -48.67 -25.12 11.68 -825.64 31.8640756174 112
41054 -72.67 -2.12 -27.32 -825.50 35.8894483829 113
49292 -58.67 -12.12 -19.32 -824.91 32.0369264707 114
44460 -58.67 -14.12 -18.32 -824.48 31.2906179579 115
17951 -50.67 -25.12 10.68 -824.29 31.2792926936 116
68639 -49.67 -25.12 10.68 -824.26 32.0798242404 117
60089 -56.67 -13.12 -22.32 -823.96 35.3093361169 118
51935 -49.67 -25.12 9.68 -823.83 31.9991217865 119
32273 -62.67 -19.12 -15.32 -823.42 28.9059292757 120
62820 -60.67 -17.12 -15.32 -823.35 29.175308827 121
29331 -49.67 -25.12 11.68 -823.32 31.1592553334 122
20255 -49.67 -26.12 9.68 -822.89 32.5929103417 123
27833 -56.67 -12.12 -22.32 -822.85 35.1310585027 124
53517 -49.67 -24.12 7.68 -822.84 31.3877569716 125
40498 -62.67 -19.12 -11.32 -822.78 27.6435131846 126
10847 -61.67 -20.12 -13.32 -822.47 28.8744045861 127
31369 -52.67 -26.12 13.68 -822.33 30.2290480381 128
10755 -51.67 -26.12 12.68 -822.33 30.6934988254 129
18317 -47.67 -24.12 10.68 -822.11 31.7866259911 130
28266 -61.67 -18.12 -14.32 -821.77 28.6551085948 131
44591 -50.67 -25.12 10.68 -821.51 31.2582111971 132
29278 -78.67 -7.12 -9.32 -821.46 20.8813906506 133
52655 -61.67 -17.12 -14.32 -821.39 28.3068115084 134
5811 -52.67 -26.12 13.68 -821.32 30.1387470799 135
17873 -61.67 -18.12 -13.32 -821.25 27.1774525069 136
2922 -61.67 -19.12 -14.32 -821.23 29.101908471 137
66195 -49.67 -25.12 11.68 -821.11 31.1986324597 138
36749 -48.67 -25.12 10.68 -821.01 31.5409238564 139
21354 -61.67 -19.12 -13.32 -820.74 28.4111358448 140
22073 -62.67 -18.12 -15.32 -820.63 28.5321452875 141
15507 -49.67 -25.12 11.68 -820.58 30.9971501455 142
8088 -47.67 -24.12 10.68 -820.11 31.7131660061 143
22367 -61.67 -19.12 -14.32 -820.03 29.2108960187 144
4865 -59.67 -15.12 -17.32 -820.00 30.2059828327 145
66189 -49.67 -24.12 8.68 -819.98 31.2940289123 146
22337 -62.67 -18.12 -15.32 -819.78 28.5335339563 147
65345 -59.67 -15.12 -17.32 -819.72 30.1519767338 148
63299 -49.67 -25.12 10.68 -819.64 31.9840421941 149
65715 -51.67 -26.12 12.68 -819.54 30.5993135795 150
37836 -58.67 -12.12 -18.32 -819.51 30.9503473953 151
66335 -48.67 -25.12 9.68 -819.45 32.6499773542 152
53610 -61.67 -18.12 -14.32 -819.01 28.6258275403 153
9473 -59.67 -15.12 -17.32 -818.88 30.1278423683 154
