rotation transx transy transz piper LRMSD modelnum
2096 -63.24 -75.33 -15.77 -901.05 8.57405475103 0
48176 -63.24 -75.33 -15.77 -870.80 8.41255367917 1
60992 -63.24 -75.33 -15.77 -856.13 8.44390564158 2
38960 -64.24 -76.33 -15.77 -848.63 8.56915770648 3
34352 -63.24 -75.33 -15.77 -843.75 8.38740157414 4
6716 -64.24 -76.33 -15.77 -836.12 9.2809328513 5
35216 -64.24 -76.33 -15.77 -831.60 9.19808770026 6
7568 -65.24 -77.33 -15.77 -831.21 9.82078464149 7
43580 -64.24 -76.33 -15.77 -827.19 9.25674236942 8
52784 -64.24 -76.33 -15.77 -826.09 8.67614817831 9
24128 -63.24 -75.33 -15.77 -819.82 8.1975630442 10
2960 -65.24 -77.33 -15.77 -816.92 9.42456728771 11
66620 -65.24 -76.33 -15.77 -815.59 9.50392784212 12
64016 -64.24 -76.33 -15.77 -815.57 9.26010266597 13
49040 -65.24 -77.33 -15.77 -815.44 9.26062973219 14
2108 -64.24 -76.33 -14.77 -812.38 9.22277582138 15
37365 -66.24 -65.33 -36.77 -810.91 29.7951095217 16
15920 -63.24 -75.33 -14.77 -808.64 8.42063035439 17
6704 -63.24 -75.33 -15.77 -805.64 8.97204989219 18
63020 -63.24 -75.33 -14.77 -802.28 8.51594298388 19
31902 -65.24 -77.33 -15.77 -801.98 9.80388930818 20
26156 -63.24 -75.33 -14.77 -795.83 8.54575892901 21
44732 -65.24 -77.33 -15.77 -794.58 10.2564735561 22
27152 -64.24 -76.33 -15.77 -794.09 9.00958649137 23
33212 -65.24 -77.33 -15.77 -793.98 9.7477345628 24
11312 -63.24 -75.33 -15.77 -793.89 8.1603305894 25
52796 -64.24 -76.33 -15.77 -793.73 8.94448862263 26
62012 -65.24 -77.33 -15.77 -792.23 9.56879442725 27
36380 -64.24 -76.33 -15.77 -789.04 8.70217250964 28
29756 -64.24 -76.33 -14.77 -788.79 9.09864037325 29
42119 -66.24 -65.33 -36.77 -788.36 29.6303311693 30
56384 -63.24 -75.33 -15.77 -786.78 8.19236374028 31
68766 -65.24 -77.33 -15.77 -785.12 10.0273487717 32
3957 -66.24 -65.33 -36.77 -783.82 29.7150623798 33
53648 -65.24 -77.33 -14.77 -783.77 9.47338584255 34
42560 -63.24 -75.33 -14.77 -780.99 8.49154680685 35
16784 -65.24 -77.33 -14.77 -780.63 9.21742990937 36
33187 -72.24 -60.33 -32.77 -779.86 30.8089716006 37
25148 -65.24 -77.33 -14.77 -779.80 9.36272937027 38
15907 -72.24 -60.33 -32.77 -776.55 30.8199336034 39
43568 -64.24 -76.33 -15.77 -775.33 9.02854059255 40
44432 -65.24 -77.33 -15.77 -774.55 10.0407623794 41
44277 -66.24 -65.33 -36.77 -774.18 29.8424743214 42
66608 -64.24 -76.33 -14.77 -773.08 8.16624703115 43
63861 -66.24 -66.33 -36.77 -772.94 29.2466472136 44
50037 -66.24 -66.33 -36.77 -771.54 29.3089743502 45
12176 -64.24 -76.33 -15.77 -770.90 8.94315273441 46
48188 -64.24 -76.33 -14.77 -768.78 9.34179474019 47
26997 -66.24 -65.33 -36.77 -767.48 29.8698982374 48
21548 -63.24 -75.33 -14.77 -767.41 8.82747855715 49
5395 -72.24 -60.33 -33.77 -766.55 31.584155412 50
49196 -63.24 -75.33 -14.77 -766.07 8.52838080121 51
61987 -72.24 -60.33 -32.77 -765.13 30.8146954848 52
15932 -64.24 -76.33 -14.77 -763.95 8.76808572767 53
39824 -65.24 -77.33 -15.77 -763.35 9.58674909232 54
28592 -64.24 -76.33 -15.77 -762.81 8.79586895302 55
18956 -64.24 -76.33 -13.77 -762.30 9.03666504748 56
22250 -70.24 -85.33 -19.77 -760.74 15.2178200568 57
6419 -67.24 -65.33 -37.77 -759.55 30.5981582799 58
14780 -64.24 -76.33 -15.77 -759.52 9.42054442298 59
9740 -64.24 -76.33 -14.77 -759.23 9.31984005684 60
2083 -72.24 -60.33 -32.77 -758.83 30.7712635396 61
