rotation transx transy transz piper LRMSD modelnum
40034 -2.02 -19.41 -21.86 -795.87 18.5887947195 0
62498 -2.02 -19.41 -21.86 -792.60 18.6833919377 1
7202 -2.02 -19.41 -21.86 -790.71 18.6928375057 2
15120 -2.02 -19.41 -21.86 -789.91 18.6608198903 3
5904 -2.02 -19.41 -21.86 -789.59 18.5978551964 4
11088 -2.02 -19.41 -21.86 -788.85 18.5143571863 5
44066 -2.02 -19.41 -21.86 -788.59 18.6306578567 6
51984 -2.02 -19.41 -21.86 -787.20 18.5969240636 7
20304 -2.02 -19.41 -21.86 -786.71 18.4364801431 8
56162 -2.02 -19.41 -21.86 -784.56 18.4945178534 9
68688 -2.02 -19.41 -21.86 -779.53 18.479558243 10
31824 -2.02 -19.41 -21.86 -778.21 18.5463646628 11
26640 -1.02 -19.41 -22.86 -775.63 17.5783144141 12
1296 -2.02 -19.41 -22.86 -774.98 17.7704165303 13
19298 -2.02 -19.41 -21.86 -774.33 18.5541473383 14
43147 1.98 -19.41 -29.86 -773.10 13.4508472765 15
67682 -3.02 -19.41 -21.86 -767.51 18.6882929098 16
38160 -2.02 -19.41 -22.86 -764.82 17.7795486442 17
47952 -2.02 -19.41 -21.86 -761.17 18.4535415119 18
50160 -1.02 -18.41 -22.86 -759.33 17.7866276208 19
30096 -1.02 -19.41 -22.86 -759.29 17.7293607014 20
16651 1.98 -19.41 -29.86 -758.90 13.323617104 21
144 -2.02 -19.41 -22.86 -758.49 17.5369681847 22
41419 1.98 -19.41 -29.86 -757.94 13.4899316672 23
6283 1.98 -19.41 -29.86 -757.10 13.286002828 24
52363 1.98 -19.41 -29.86 -756.58 13.3847991259 25
13195 1.98 -19.41 -29.86 -754.92 13.3825885079 26
25634 -2.02 -19.41 -21.86 -753.72 18.7562052848 27
33552 -2.02 -19.41 -21.86 -752.18 18.7216948376 28
56592 -1.02 -19.41 -22.86 -750.30 17.7463235621 29
31051 1.98 -19.41 -29.86 -750.23 13.5156415893 30
53877 0.98 -19.41 -28.86 -750.09 13.4916529332 31
60971 1.98 -19.41 -25.86 -749.70 17.7847263529 32
28931 1.98 -19.41 -26.86 -749.57 16.8525534642 33
37008 -2.02 -19.41 -22.86 -748.70 17.5702718555 34
65808 -2.02 -19.41 -21.86 -747.84 18.7128855603 35
35856 -2.02 -19.41 -21.86 -747.51 18.6142167783 36
45813 0.98 -19.41 -28.86 -747.24 13.4680312889 37
19728 -1.02 -19.41 -22.86 -747.09 17.8252997515 38
2448 -2.02 -18.41 -22.86 -746.95 17.570439971 39
14891 2.98 -19.41 -25.86 -746.64 18.1998661536 40
21602 -2.02 -19.41 -21.86 -746.32 18.6316946932 41
63504 -2.02 -19.41 -22.86 -745.80 17.5391171731 42
3403 1.98 -19.41 -29.86 -745.67 13.4691298228 43
20325 -0.02 -18.41 -28.86 -745.37 12.9027256164 44
4080 -1.02 -18.41 -22.86 -745.23 17.8605196635 45
66187 1.98 -19.41 -29.86 -744.80 13.1913813151 46
44157 1.98 -19.41 -29.86 -744.65 13.3664610079 47
1872 -2.02 -19.41 -21.86 -744.47 18.4091696944 48
53515 1.98 -19.41 -29.86 -743.57 13.4986531614 49
42768 -2.02 -19.41 -22.86 -743.21 17.5736654273 50
32736 -1.02 -19.41 -22.86 -741.92 17.9832060238 51
54091 1.98 -19.41 -30.86 -741.44 13.0974895805 52
66960 -2.02 -18.41 -22.86 -741.31 17.5764063377 53
9957 -0.02 -18.41 -28.86 -741.27 12.9289958372 54
34128 -2.02 -19.41 -21.86 -741.11 18.4120991537 55
8011 1.98 -19.41 -29.86 -740.90 13.7102184209 56
23839 0.98 -19.41 -30.86 -740.89 12.9544839304 57
53282 -2.02 -19.41 -21.86 -740.80 18.6989766849 58
23315 1.98 -19.41 -26.86 -740.69 17.0931295146 59
46027 1.98 -19.41 -29.86 -740.18 13.7712590675 60
53858 -3.02 -19.41 -21.86 -739.66 18.6022477562 61
53791 1.98 -19.41 -30.86 -739.55 13.2865970039 62
523 1.98 -19.41 -29.86 -739.55 13.5756434504 63
51755 2.98 -19.41 -25.86 -739.03 18.304598406 64
39312 -2.02 -18.41 -22.86 -739.03 17.6025045506 65
17227 0.98 -19.41 -30.86 -738.71 12.7861367481 66
24107 1.98 -19.41 -25.86 -738.65 17.6550604516 67
17013 0.98 -19.41 -28.86 -738.40 13.3547112326 68
63984 -1.02 -18.41 -23.86 -738.27 17.0320440058 69
60770 -3.02 -19.41 -21.86 -738.27 18.4724125438 70
30818 -2.02 -19.41 -21.86 -738.10 18.6746431457 71
64802 -2.02 -19.41 -21.86 -737.74 18.5896772878 72
44843 1.98 -19.41 -26.86 -737.71 16.8031206368 73
23421 1.98 -19.41 -29.86 -737.19 13.3344842676 74
