1jiwP1.pdb1	1jiwI1.pdb1	1009.35
2ji2D1.pdb2	2ji2C1.pdb2	1574.3
4ji4T1.pdb1	4ji4A1.pdb1	2471.7
4ji4Q1.pdb1	4ji4L1.pdb1	218.4
4ji4Q1.pdb1	4ji4O1.pdb1	2.55
4ji4Q1.pdb1	4ji4H1.pdb1	131.6
4ji4Q1.pdb1	4ji4A1.pdb1	2593.55
4ji4P1.pdb1	4ji4A1.pdb1	2498.9
4ji4S1.pdb1	4ji4M1.pdb1	426.55
4ji4S1.pdb1	4ji4A1.pdb1	1582.1
4ji4S1.pdb1	4ji4N1.pdb1	3.55
4ji4J1.pdb1	4ji4I1.pdb1	174.8
4ji4J1.pdb1	4ji4A1.pdb1	1770.15
4ji4J1.pdb1	4ji4C1.pdb1	359.7
4ji4J1.pdb1	4ji4N1.pdb1	808.1
4ji4M1.pdb1	4ji4U1.pdb1	60.6
4ji4M1.pdb1	4ji4A1.pdb1	1946.75
4ji4L1.pdb1	4ji4H1.pdb1	59.7
4ji4L1.pdb1	4ji4A1.pdb1	2945.4
4ji4I1.pdb1	4ji4G1.pdb1	248.55
4ji4I1.pdb1	4ji4A1.pdb1	2838.2
4ji4I1.pdb1	4ji4N1.pdb1	73.55
4ji4O1.pdb1	4ji4A1.pdb1	1781.15
4ji4O1.pdb1	4ji4F1.pdb1	25.6
4ji4H1.pdb1	4ji4B1.pdb1	262.2
4ji4H1.pdb1	4ji4E1.pdb1	579.35
4ji4H1.pdb1	4ji4A1.pdb1	1822.4
4ji4B1.pdb1	4ji4A1.pdb1	1136.9
4ji4D1.pdb1	4ji4E1.pdb1	339.0
4ji4D1.pdb1	4ji4A1.pdb1	2975.1
4ji4E1.pdb1	4ji4A1.pdb1	1955.95
4ji4E1.pdb1	4ji4C1.pdb1	64.0
4ji4U1.pdb1	4ji4A1.pdb1	1293.15
4ji4G1.pdb1	4ji4A1.pdb1	1918.0
4ji4G1.pdb1	4ji4K1.pdb1	201.3
4ji4A1.pdb1	4ji4R1.pdb1	884.9
4ji4A1.pdb1	4ji4F1.pdb1	636.65
4ji4A1.pdb1	4ji4K1.pdb1	1780.05
4ji4A1.pdb1	4ji4C1.pdb1	1639.65
4ji4A1.pdb1	4ji4N1.pdb1	1881.85
4ji4R1.pdb1	4ji4F1.pdb1	973.05
4ji4R1.pdb1	4ji4K1.pdb1	337.3
4ji4C1.pdb1	4ji4N1.pdb1	855.55
5jijA2.pdb1	5jijA4.pdb1	1030.4
5jijA2.pdb1	5jijA1.pdb1	1013.8
5jijA4.pdb1	5jijA3.pdb1	1013.8
5jijA3.pdb1	5jijA1.pdb1	1030.4
4ji1K1.pdb1	4ji1R1.pdb1	318.1
4ji1K1.pdb1	4ji1G1.pdb1	139.75
4ji1K1.pdb1	4ji1A1.pdb1	1838.3
4ji1J1.pdb1	4ji1I1.pdb1	161.65
4ji1J1.pdb1	4ji1C1.pdb1	343.55
4ji1J1.pdb1	4ji1A1.pdb1	1856.35
4ji1J1.pdb1	4ji1N1.pdb1	791.0
4ji1E1.pdb1	4ji1C1.pdb1	117.25
4ji1E1.pdb1	4ji1H1.pdb1	570.9
4ji1E1.pdb1	4ji1D1.pdb1	359.5
4ji1E1.pdb1	4ji1A1.pdb1	2003.4
4ji1R1.pdb1	4ji1A1.pdb1	894.25
4ji1R1.pdb1	4ji1F1.pdb1	1068.0
4ji1L1.pdb1	4ji1H1.pdb1	60.65
4ji1L1.pdb1	4ji1A1.pdb1	3124.85
4ji1L1.pdb1	4ji1Q1.pdb1	222.35
4ji1S1.pdb1	4ji1M1.pdb1	374.7
4ji1S1.pdb1	4ji1A1.pdb1	1587.75
4ji1I1.pdb1	4ji1G1.pdb1	272.6
4ji1I1.pdb1	4ji1A1.pdb1	2943.85
4ji1I1.pdb1	4ji1N1.pdb1	77.5
4ji1B1.pdb1	4ji1H1.pdb1	263.4
4ji1B1.pdb1	4ji1A1.pdb1	1016.65
4ji1G1.pdb1	4ji1A1.pdb1	1866.45
4ji1T1.pdb1	4ji1A1.pdb1	2535.4
4ji1C1.pdb1	4ji1A1.pdb1	1790.55
4ji1C1.pdb1	4ji1N1.pdb1	881.6
4ji1H1.pdb1	4ji1A1.pdb1	1854.75
4ji1H1.pdb1	4ji1Q1.pdb1	134.8
4ji1D1.pdb1	4ji1A1.pdb1	3035.35
4ji1M1.pdb1	4ji1A1.pdb1	1958.55
4ji1M1.pdb1	4ji1U1.pdb1	36.95
4ji1A1.pdb1	4ji1U1.pdb1	1277.1
4ji1A1.pdb1	4ji1P1.pdb1	2437.0
4ji1A1.pdb1	4ji1F1.pdb1	548.9
4ji1A1.pdb1	4ji1Q1.pdb1	2746.05
4ji1A1.pdb1	4ji1N1.pdb1	1840.95
4ji1A1.pdb1	4ji1O1.pdb1	1767.85
4ji1F1.pdb1	4ji1O1.pdb1	32.4
4ji1Q1.pdb1	4ji1O1.pdb1	0.3
2ji1D1.pdb2	2ji1C1.pdb2	1550.85
4ji6K1.pdb1	4ji6A1.pdb1	1855.45
4ji6K1.pdb1	4ji6R1.pdb1	295.0
4ji6K1.pdb1	4ji6G1.pdb1	223.65
4ji6E1.pdb1	4ji6A1.pdb1	1874.5
4ji6E1.pdb1	4ji6D1.pdb1	400.4
4ji6E1.pdb1	4ji6B1.pdb1	0.3
4ji6E1.pdb1	4ji6H1.pdb1	575.65
4ji6E1.pdb1	4ji6C1.pdb1	70.6
4ji6M1.pdb1	4ji6A1.pdb1	1912.55
4ji6M1.pdb1	4ji6S1.pdb1	347.75
4ji6M1.pdb1	4ji6U1.pdb1	23.45
4ji6A1.pdb1	4ji6D1.pdb1	3146.35
4ji6A1.pdb1	4ji6T1.pdb1	2488.2
4ji6A1.pdb1	4ji6L1.pdb1	2936.4
4ji6A1.pdb1	4ji6S1.pdb1	1570.95
4ji6A1.pdb1	4ji6O1.pdb1	1716.55
4ji6A1.pdb1	4ji6N1.pdb1	1902.05
4ji6A1.pdb1	4ji6B1.pdb1	966.85
4ji6A1.pdb1	4ji6Q1.pdb1	2497.75
4ji6A1.pdb1	4ji6I1.pdb1	2841.5
4ji6A1.pdb1	4ji6R1.pdb1	867.6
4ji6A1.pdb1	4ji6P1.pdb1	2457.5
4ji6A1.pdb1	4ji6H1.pdb1	1957.95
4ji6A1.pdb1	4ji6U1.pdb1	1295.75
4ji6A1.pdb1	4ji6G1.pdb1	1998.9
4ji6A1.pdb1	4ji6C1.pdb1	1645.05
4ji6A1.pdb1	4ji6J1.pdb1	1876.55
4ji6A1.pdb1	4ji6F1.pdb1	537.65
4ji6L1.pdb1	4ji6Q1.pdb1	209.1
4ji6L1.pdb1	4ji6H1.pdb1	56.2
4ji6S1.pdb1	4ji6N1.pdb1	5.25
4ji6O1.pdb1	4ji6Q1.pdb1	19.9
4ji6O1.pdb1	4ji6F1.pdb1	33.5
4ji6N1.pdb1	4ji6I1.pdb1	65.6
4ji6N1.pdb1	4ji6C1.pdb1	845.75
4ji6N1.pdb1	4ji6J1.pdb1	806.95
4ji6B1.pdb1	4ji6H1.pdb1	259.05
4ji6Q1.pdb1	4ji6H1.pdb1	135.1
4ji6I1.pdb1	4ji6G1.pdb1	280.75
4ji6I1.pdb1	4ji6J1.pdb1	167.25
4ji6R1.pdb1	4ji6F1.pdb1	1002.7
4ji6C1.pdb1	4ji6J1.pdb1	351.3
2ji4A2.pdb1	2ji4A6.pdb1	1480.1
2ji4A2.pdb1	2ji4A5.pdb1	861.6
2ji4A2.pdb1	2ji4A3.pdb1	248.45
2ji4A2.pdb1	2ji4A1.pdb1	248.45
2ji4A4.pdb1	2ji4A6.pdb1	248.4
2ji4A4.pdb1	2ji4A5.pdb1	248.45
2ji4A4.pdb1	2ji4A3.pdb1	1480.1
2ji4A4.pdb1	2ji4A1.pdb1	861.6
2ji4A6.pdb1	2ji4A5.pdb1	248.45
2ji4A6.pdb1	2ji4A3.pdb1	861.6
2ji4A5.pdb1	2ji4A1.pdb1	1480.1
2ji4A3.pdb1	2ji4A1.pdb1	248.4
5ji0A1.pdb2	5ji0F1.pdb2	485.45
2ji7B1.pdb1	2ji7A2.pdb1	1325.05
2ji7B1.pdb1	2ji7B2.pdb1	884.3
2ji7B1.pdb1	2ji7A1.pdb1	3826.95
2ji7A2.pdb1	2ji7B2.pdb1	3826.95
2ji7A2.pdb1	2ji7A1.pdb1	847.7
2ji7B2.pdb1	2ji7A1.pdb1	1325.05
2ji5B1.pdb1	2ji5A2.pdb1	869.55
