1axsL1.pdb1	1axsH1.pdb1	1638.7
6axpC1.pdb2	6axpD1.pdb2	1599.5
6axpC1.pdb2	6axpF1.pdb2	369.2
6axpD1.pdb2	6axpF1.pdb2	334.25
5ax6A2.pdb1	5ax6A1.pdb1	4425.55
5ax6A2.pdb1	5ax6A3.pdb1	4425.5
5ax6A1.pdb1	5ax6A3.pdb1	4425.5
1ax1A2.pdb1	1ax1A1.pdb1	804.2
2axiB1.pdb1	2axiA1.pdb1	495.45
6axgK1.pdb6	6axgL1.pdb6	1591.8
6ax7B1.pdb1	6ax7A1.pdb1	880.7
6axgD1.pdb2	6axgC1.pdb2	1710.25
3axtA2.pdb1	3axtA1.pdb1	1538.8
6ax6A1.pdb1	6ax6B1.pdb1	882.0
6axjC2.pdb2	6axjF2.pdb2	215.9
6axjC2.pdb2	6axjC3.pdb2	706.85
6axjC2.pdb2	6axjC1.pdb2	706.9
6axjF3.pdb2	6axjC3.pdb2	215.9
6axjF1.pdb2	6axjC1.pdb2	215.9
6axjC3.pdb2	6axjC1.pdb2	706.9
6axgA1.pdb1	6axgB1.pdb1	1535.95
6axyA4.pdb1	6axyA3.pdb1	1142.7
6axyA4.pdb1	6axyA5.pdb1	5.1
6axyA4.pdb1	6axyA2.pdb1	1142.75
6axyA4.pdb1	6axyA6.pdb1	5.1
6axyA3.pdb1	6axyA5.pdb1	1142.75
6axyA3.pdb1	6axyA1.pdb1	5.1
6axyA3.pdb1	6axyA2.pdb1	5.1
6axyA5.pdb1	6axyA1.pdb1	1142.75
6axyA5.pdb1	6axyA6.pdb1	5.1
6axyA1.pdb1	6axyA2.pdb1	5.1
6axyA1.pdb1	6axyA6.pdb1	1142.7
6axyA2.pdb1	6axyA6.pdb1	1142.75
6axjH3.pdb6	6axjD3.pdb6	214.8
6axjH3.pdb6	6axjC3.pdb6	2.6
6axjD2.pdb6	6axjD3.pdb6	711.85
6axjD2.pdb6	6axjF2.pdb6	3.05
6axjD2.pdb6	6axjD1.pdb6	711.8
6axjD2.pdb6	6axjH2.pdb6	214.8
6axjD2.pdb6	6axjC3.pdb6	3.05
6axjD2.pdb6	6axjC2.pdb6	241.2
6axjD3.pdb6	6axjD1.pdb6	711.85
6axjD3.pdb6	6axjF3.pdb6	3.05
6axjD3.pdb6	6axjC1.pdb6	3.1
6axjD3.pdb6	6axjC3.pdb6	241.2
6axjF2.pdb6	6axjC2.pdb6	215.9
6axjD1.pdb6	6axjC1.pdb6	241.25
6axjD1.pdb6	6axjH1.pdb6	214.8
6axjD1.pdb6	6axjF1.pdb6	3.05
6axjD1.pdb6	6axjC2.pdb6	3.05
6axjH2.pdb6	6axjC2.pdb6	2.6
6axjF3.pdb6	6axjC3.pdb6	215.9
6axjC1.pdb6	6axjH1.pdb6	2.6
6axjC1.pdb6	6axjC3.pdb6	706.9
6axjC1.pdb6	6axjF1.pdb6	215.9
6axjC1.pdb6	6axjC2.pdb6	706.9
6axjC3.pdb6	6axjC2.pdb6	706.85
2axzE1.pdb3	2axzA1.pdb3	840.35
2axzE1.pdb3	2axzB1.pdb3	27.95
2axzC1.pdb3	2axzD1.pdb3	2816.65
2axzC1.pdb3	2axzH1.pdb3	20.3
2axzC1.pdb3	2axzB1.pdb3	120.25
2axzF1.pdb3	2axzA1.pdb3	27.55
2axzF1.pdb3	2axzB1.pdb3	836.8
2axzA1.pdb3	2axzD1.pdb3	713.75
2axzA1.pdb3	2axzB1.pdb3	2982.2
2axzD1.pdb3	2axzH1.pdb3	862.85
6axfK1.pdb6	6axfL1.pdb6	1570.45
1axtH1.pdb1	1axtL1.pdb1	1638.8
3ax6C1.pdb2	3ax6D1.pdb2	1317.8
4ax3C3.pdb3	4ax3C1.pdb3	2316.9
4ax3C3.pdb3	4ax3C2.pdb3	2316.5
4ax3C1.pdb3	4ax3C2.pdb3	2315.55
3ax5B1.pdb1	3ax5A1.pdb1	391.1
2axjB1.pdb2	2axjA1.pdb2	1642.7
2axjB1.pdb2	2axjA4.pdb2	981.05
2axjB1.pdb2	2axjA3.pdb2	415.9
2axjB1.pdb2	2axjB4.pdb2	33.3
2axjA1.pdb2	2axjA4.pdb2	42.4
2axjA1.pdb2	2axjA3.pdb2	56.8
2axjA1.pdb2	2axjA2.pdb2	56.8
2axjA1.pdb2	2axjB4.pdb2	981.05
2axjA1.pdb2	2axjB2.pdb2	415.85
2axjA1.pdb2	2axjA6.pdb2	612.9
2axjA4.pdb2	2axjA5.pdb2	56.85
2axjA4.pdb2	2axjA3.pdb2	612.95
2axjA4.pdb2	2axjB4.pdb2	1642.7
2axjA4.pdb2	2axjB5.pdb2	415.9
2axjA4.pdb2	2axjA6.pdb2	56.75
2axjA5.pdb2	2axjA3.pdb2	42.45
2axjA5.pdb2	2axjA2.pdb2	612.95
2axjA5.pdb2	2axjB5.pdb2	1642.7
2axjA5.pdb2	2axjB6.pdb2	415.9
2axjA5.pdb2	2axjA6.pdb2	56.8
2axjA5.pdb2	2axjB3.pdb2	981.0
2axjA3.pdb2	2axjA2.pdb2	56.85
2axjA3.pdb2	2axjB5.pdb2	981.1
2axjA3.pdb2	2axjB3.pdb2	1642.7
2axjA2.pdb2	2axjB2.pdb2	1642.7
2axjA2.pdb2	2axjB6.pdb2	981.1
2axjA2.pdb2	2axjA6.pdb2	42.45
2axjA2.pdb2	2axjB3.pdb2	415.85
2axjB4.pdb2	2axjA6.pdb2	415.9
2axjB2.pdb2	2axjB6.pdb2	33.25
2axjB2.pdb2	2axjA6.pdb2	981.0
2axjB5.pdb2	2axjB3.pdb2	33.25
2axjB6.pdb2	2axjA6.pdb2	1642.7
6axgF1.pdb3	6axgE1.pdb3	1659.25
2axwA1.pdb1	2axwB1.pdb1	2079.6
1axwB1.pdb1	1axwA1.pdb1	2281.9
6axfA1.pdb1	6axfB1.pdb1	1525.1
5ax3B1.pdb1	5ax3A1.pdb1	563.7
6ax4C1.pdb1	6ax4A1.pdb1	198.15
3ax3A1.pdb1	3ax3B1.pdb1	478.05
2axuC1.pdb2	2axuD1.pdb2	2580.7
2axuC1.pdb2	2axuK1.pdb2	553.35
