2za1A1.pdb1	2za1B1.pdb1	2371.55
1zakB1.pdb1	1zakA1.pdb1	834.0
4za2B1.pdb1	4za2C1.pdb1	344.25
4za2B1.pdb1	4za2D1.pdb1	1475.9
4za2B1.pdb1	4za2A1.pdb1	1802.8
4za2C1.pdb1	4za2D1.pdb1	1765.35
4za2C1.pdb1	4za2A1.pdb1	1479.05
4za2D1.pdb1	4za2A1.pdb1	312.35
1za3H1.pdb2	1za3L1.pdb2	1559.2
1za3H1.pdb2	1za3R1.pdb2	530.0
1za3L1.pdb2	1za3R1.pdb2	295.3
1zahB1.pdb1	1zahD1.pdb1	89.9
1zahB1.pdb1	1zahC1.pdb1	1639.6
1zahB1.pdb1	1zahA1.pdb1	1186.7
1zahD1.pdb1	1zahC1.pdb1	1160.0
1zahD1.pdb1	1zahA1.pdb1	1498.55
1zahC1.pdb1	1zahA1.pdb1	86.55
4zanA6.pdb1	4zanA2.pdb1	620.65
4zanA6.pdb1	4zanA10.pdb1	623.35
4zanA6.pdb1	4zanA4.pdb1	818.85
4zanA6.pdb1	4zanA8.pdb1	1526.8
4zanA6.pdb1	4zanA11.pdb1	818.65
4zanA12.pdb1	4zanA5.pdb1	623.35
4zanA12.pdb1	4zanA2.pdb1	819.5
4zanA12.pdb1	4zanA10.pdb1	1531.1
4zanA12.pdb1	4zanA7.pdb1	818.65
4zanA12.pdb1	4zanA3.pdb1	625.05
4zanA5.pdb1	4zanA9.pdb1	818.65
4zanA5.pdb1	4zanA7.pdb1	1526.8
4zanA5.pdb1	4zanA3.pdb1	620.65
4zanA5.pdb1	4zanA1.pdb1	818.85
4zanA9.pdb1	4zanA7.pdb1	623.35
4zanA9.pdb1	4zanA4.pdb1	625.05
4zanA9.pdb1	4zanA1.pdb1	819.5
4zanA9.pdb1	4zanA11.pdb1	1531.1
4zanA2.pdb1	4zanA10.pdb1	625.05
4zanA2.pdb1	4zanA7.pdb1	818.85
4zanA2.pdb1	4zanA4.pdb1	1533.0
4zanA10.pdb1	4zanA8.pdb1	818.65
4zanA10.pdb1	4zanA3.pdb1	819.5
4zanA7.pdb1	4zanA4.pdb1	620.65
4zanA4.pdb1	4zanA11.pdb1	819.5
4zanA8.pdb1	4zanA3.pdb1	818.85
4zanA8.pdb1	4zanA1.pdb1	620.65
4zanA8.pdb1	4zanA11.pdb1	623.35
4zanA3.pdb1	4zanA1.pdb1	1533.0
4zanA1.pdb1	4zanA11.pdb1	625.05
2zadB4.pdb1	2zadA2.pdb1	864.15
2zadB4.pdb1	2zadB1.pdb1	417.3
2zadB4.pdb1	2zadA4.pdb1	1244.75
2zadB4.pdb1	2zadB2.pdb1	417.3
2zadA2.pdb1	2zadA4.pdb1	427.45
2zadA2.pdb1	2zadA3.pdb1	427.45
2zadA2.pdb1	2zadB2.pdb1	1244.75
2zadB1.pdb1	2zadA1.pdb1	1244.75
2zadB1.pdb1	2zadA4.pdb1	864.15
2zadB1.pdb1	2zadB3.pdb1	417.3
2zadA1.pdb1	2zadA4.pdb1	427.45
2zadA1.pdb1	2zadB3.pdb1	864.15
2zadA1.pdb1	2zadA3.pdb1	427.45
2zadB3.pdb1	2zadA3.pdb1	1244.75
2zadB3.pdb1	2zadB2.pdb1	417.3
2zadA3.pdb1	2zadB2.pdb1	864.15
1zabC1.pdb1	1zabB1.pdb1	1242.4
1zabC1.pdb1	1zabA1.pdb1	476.25
1zabC1.pdb1	1zabD1.pdb1	876.3
1zabB1.pdb1	1zabA1.pdb1	833.6
1zabB1.pdb1	1zabD1.pdb1	466.6
1zabA1.pdb1	1zabD1.pdb1	1303.6
5zalA1.pdb1	5zalC1.pdb1	1433.8
5zalA1.pdb1	5zalB1.pdb1	1036.5
2zalB1.pdb1	2zalC1.pdb1	530.3
2zalB1.pdb1	2zalD1.pdb1	556.1
2zalB1.pdb1	2zalA1.pdb1	2807.95
2zalC1.pdb1	2zalD1.pdb1	2786.85
2zalC1.pdb1	2zalA1.pdb1	113.85
2zalD1.pdb1	2zalA1.pdb1	510.35
2zaeA1.pdb1	2zaeB1.pdb1	1223.0
4zahE1.pdb3	4zahF1.pdb3	2186.1
5zasB1.pdb1	5zasA1.pdb1	510.4
1zayA1.pdb1	1zayM1.pdb1	457.7
1zayA1.pdb1	1zayM2.pdb1	502.85
1zayA1.pdb1	1zayA2.pdb1	2572.4
1zayM1.pdb1	1zayM2.pdb1	683.6
1zayM1.pdb1	1zayA2.pdb1	502.85
1zayM2.pdb1	1zayA2.pdb1	457.7
5zaiF1.pdb1	5zaiC1.pdb1	78.7
5zaiF1.pdb1	5zaiA1.pdb1	579.9
5zaiF1.pdb1	5zaiE1.pdb1	1980.55
5zaiF1.pdb1	5zaiB1.pdb1	534.85
5zaiF1.pdb1	5zaiD1.pdb1	1974.6
5zaiC1.pdb1	5zaiA1.pdb1	2018.25
5zaiC1.pdb1	5zaiE1.pdb1	521.05
5zaiC1.pdb1	5zaiB1.pdb1	1958.6
5zaiC1.pdb1	5zaiD1.pdb1	593.4
5zaiA1.pdb1	5zaiE1.pdb1	77.75
5zaiA1.pdb1	5zaiB1.pdb1	2026.5
5zaiA1.pdb1	5zaiD1.pdb1	499.5
5zaiE1.pdb1	5zaiB1.pdb1	570.9
5zaiE1.pdb1	5zaiD1.pdb1	1966.1
5zaiB1.pdb1	5zaiD1.pdb1	87.5
1zaxV1.pdb1	1zaxU1.pdb1	802.95
1zaxV1.pdb1	1zaxA1.pdb1	603.3
1zaxV1.pdb1	1zaxX1.pdb1	63.6
1zaxW1.pdb1	1zaxU1.pdb1	76.95
1zaxW1.pdb1	1zaxA1.pdb1	390.3
1zaxW1.pdb1	1zaxX1.pdb1	803.75
1zaxW1.pdb1	1zaxY1.pdb1	82.15
1zaxW1.pdb1	1zaxZ1.pdb1	298.75
1zaxU1.pdb1	1zaxA1.pdb1	390.3
1zaxU1.pdb1	1zaxX1.pdb1	306.15
1zaxA1.pdb1	1zaxX1.pdb1	330.0
1zaxA1.pdb1	1zaxY1.pdb1	409.85
1zaxA1.pdb1	1zaxZ1.pdb1	375.05
1zaxX1.pdb1	1zaxZ1.pdb1	57.75
1zaxY1.pdb1	1zaxZ1.pdb1	708.35
2zauA1.pdb1	2zauC2.pdb1	1190.45
2zauA1.pdb1	2zauA2.pdb1	587.1
2zauB2.pdb1	2zauC1.pdb1	562.7
2zauB2.pdb1	2zauB1.pdb1	1209.75
2zauC2.pdb1	2zauB1.pdb1	562.65
2zauA2.pdb1	2zauC1.pdb1	1190.45
4zaaA2.pdb1	4zaaA1.pdb1	3768.3
1za0A1.pdb2	1za0A2.pdb2	1681.85
4zacC2.pdb2	4zacB1.pdb2	3418.0
2zagA1.pdb5	2zagB1.pdb5	1303.3
2za0B1.pdb1	2za0A1.pdb1	3645.85
2zavA3.pdb1	2zavA2.pdb1	942.85
2zavA3.pdb1	2zavA1.pdb1	942.85
2zavA2.pdb1	2zavA1.pdb1	942.85
1za6B1.pdb4	1za6C1.pdb4	73.8
1za6B1.pdb4	1za6D1.pdb4	1248.05
1za6B1.pdb4	1za6A1.pdb4	1658.7
1za6B1.pdb4	1za6G1.pdb4	304.7
1za6B1.pdb4	1za6H1.pdb4	133.9
1za6C1.pdb4	1za6D1.pdb4	1632.55
1za6C1.pdb4	1za6F1.pdb4	317.35
1za6D1.pdb4	1za6E1.pdb4	338.4
1za6D1.pdb4	1za6F1.pdb4	126.0
1za6D1.pdb4	1za6A1.pdb4	520.4
1za6E1.pdb4	1za6F1.pdb4	1715.45
1za6E1.pdb4	1za6H1.pdb4	547.7
1za6F1.pdb4	1za6G1.pdb4	75.55
1za6F1.pdb4	1za6H1.pdb4	1271.95
1za6A1.pdb4	1za6H1.pdb4	322.6
