2eixA1.pdb1	2eixB1.pdb1	634.75
5eivC1.pdb1	5eivB1.pdb1	182.7
5eivC1.pdb1	5eivD1.pdb1	468.8
5eivC1.pdb1	5eivA1.pdb1	152.9
5eivC1.pdb1	5eivE1.pdb1	502.15
5eivF1.pdb1	5eivG1.pdb1	483.65
5eivF1.pdb1	5eivA1.pdb1	419.15
5eivF1.pdb1	5eivH1.pdb1	445.3
5eivF1.pdb1	5eivE1.pdb1	12.2
5eivG1.pdb1	5eivA1.pdb1	176.4
5eivG1.pdb1	5eivH1.pdb1	465.5
5eivB1.pdb1	5eivD1.pdb1	33.2
5eivB1.pdb1	5eivA1.pdb1	72.3
5eivB1.pdb1	5eivE1.pdb1	429.1
5eivD1.pdb1	5eivA1.pdb1	224.55
5eivD1.pdb1	5eivE1.pdb1	451.5
5eivA1.pdb1	5eivH1.pdb1	33.7
5eivA1.pdb1	5eivE1.pdb1	16.2
5eikA2.pdb1	5eikA3.pdb1	836.3
5eikA2.pdb1	5eikA1.pdb1	836.25
5eikA3.pdb1	5eikA1.pdb1	836.25
4eivA1.pdb1	4eivB1.pdb1	1195.25
3eivA1.pdb1	3eivD1.pdb1	827.15
3eivA1.pdb1	3eivB1.pdb1	1418.65
3eivA1.pdb1	3eivC1.pdb1	8.0
3eivD1.pdb1	3eivB1.pdb1	55.85
3eivD1.pdb1	3eivC1.pdb1	1416.95
3eivB1.pdb1	3eivC1.pdb1	931.35
2eisA3.pdb1	2eisA1.pdb1	227.85
2eisA3.pdb1	2eisA2.pdb1	227.6
2eisA3.pdb1	2eisB2.pdb1	921.2
2eisA3.pdb1	2eisB3.pdb1	853.4
2eisA1.pdb1	2eisA2.pdb1	228.6
2eisA1.pdb1	2eisB1.pdb1	855.95
2eisA1.pdb1	2eisB3.pdb1	920.95
2eisA2.pdb1	2eisB1.pdb1	923.3
2eisA2.pdb1	2eisB2.pdb1	853.9
2eisB1.pdb1	2eisB2.pdb1	224.6
2eisB1.pdb1	2eisB3.pdb1	225.2
2eisB2.pdb1	2eisB3.pdb1	224.85
4eilH1.pdb4	4eilG1.pdb4	3267.85
3eilB1.pdb1	3eilA1.pdb1	479.95
3eikA1.pdb1	3eikB1.pdb1	1502.55
5eioC1.pdb1	5eioB1.pdb1	386.15
5eioC1.pdb1	5eioB2.pdb1	100.15
5eioA2.pdb1	5eioB1.pdb1	707.65
5eioA2.pdb1	5eioB2.pdb1	1871.6
5eioA2.pdb1	5eioA1.pdb1	1665.6
5eioB1.pdb1	5eioB2.pdb1	1669.0
5eioB1.pdb1	5eioC2.pdb1	100.15
5eioB1.pdb1	5eioA1.pdb1	1871.6
5eioB2.pdb1	5eioC2.pdb1	386.15
