6qvdB1.pdb1	6qvdA1.pdb1	2502.8
1qvrB2.pdb2	1qvrC2.pdb2	2465.75
1qvrA1.pdb2	1qvrC2.pdb2	1697.75
6qvbA1.pdb1	6qvbB1.pdb1	2332.8
3qvdD1.pdb6	3qvdC1.pdb6	4188.85
3qvdD1.pdb6	3qvdF1.pdb6	427.6
3qvdD1.pdb6	3qvdE1.pdb6	442.5
3qvdC1.pdb6	3qvdF1.pdb6	446.7
3qvdC1.pdb6	3qvdE1.pdb6	443.65
3qvdF1.pdb6	3qvdE1.pdb6	4184.8
2qvhA1.pdb1	2qvhB1.pdb1	330.15
2qv0B2.pdb2	2qv0A1.pdb2	648.75
4qvgA2.pdb1	4qvgA1.pdb1	3509.05
3qvsA1.pdb1	3qvsA2.pdb1	1069.6
3qvsA1.pdb1	3qvsA4.pdb1	2399.0
3qvsA1.pdb1	3qvsA3.pdb1	215.4
3qvsA2.pdb1	3qvsA4.pdb1	215.4
3qvsA2.pdb1	3qvsA3.pdb1	2399.0
3qvsA4.pdb1	3qvsA3.pdb1	1069.55
2qvfB2.pdb1	2qvfB1.pdb1	819.8
4qv4Q1.pdb1	4qv4R1.pdb1	1265.4
4qv4Q1.pdb1	4qv4O1.pdb1	89.9
4qv4Q1.pdb1	4qv4P1.pdb1	1512.9
4qv4Q1.pdb1	4qv4X1.pdb1	404.45
4qv4Q1.pdb1	4qv4Y1.pdb1	325.7
4qv4Z1.pdb1	4qv4H1.pdb1	1459.75
4qv4Z1.pdb1	4qv4R1.pdb1	539.3
4qv4Z1.pdb1	4qv4a1.pdb1	934.55
4qv4Z1.pdb1	4qv4I1.pdb1	729.75
4qv4Z1.pdb1	4qv4Y1.pdb1	687.05
4qv4Z1.pdb1	4qv4S1.pdb1	352.95
4qv4U1.pdb1	4qv4O1.pdb1	1413.3
4qv4U1.pdb1	4qv4P1.pdb1	137.5
4qv4U1.pdb1	4qv4T1.pdb1	1366.2
4qv4U1.pdb1	4qv4M1.pdb1	76.6
4qv4U1.pdb1	4qv4b1.pdb1	458.1
4qv4U1.pdb1	4qv4V1.pdb1	644.35
4qv4H1.pdb1	4qv4N1.pdb1	492.1
4qv4H1.pdb1	4qv4G1.pdb1	646.3
4qv4H1.pdb1	4qv4a1.pdb1	934.9
4qv4H1.pdb1	4qv4A1.pdb1	658.85
4qv4H1.pdb1	4qv4I1.pdb1	1615.75
4qv4H1.pdb1	4qv4B1.pdb1	275.85
4qv4H1.pdb1	4qv4Y1.pdb1	91.6
4qv4D1.pdb1	4qv4C1.pdb1	1271.0
4qv4D1.pdb1	4qv4A1.pdb1	22.4
4qv4D1.pdb1	4qv4L1.pdb1	531.4
4qv4D1.pdb1	4qv4B1.pdb1	117.05
4qv4D1.pdb1	4qv4K1.pdb1	426.35
4qv4D1.pdb1	4qv4E1.pdb1	1008.15
4qv4R1.pdb1	4qv4O1.pdb1	25.65
4qv4R1.pdb1	4qv4P1.pdb1	119.25
4qv4R1.pdb1	4qv4Y1.pdb1	423.9
4qv4R1.pdb1	4qv4S1.pdb1	1025.75
4qv4O1.pdb1	4qv4P1.pdb1	1359.15
4qv4O1.pdb1	4qv4W1.pdb1	530.05
4qv4O1.pdb1	4qv4T1.pdb1	155.95
4qv4O1.pdb1	4qv4V1.pdb1	659.45
4qv4O1.pdb1	4qv4S1.pdb1	59.55
4qv4C1.pdb1	4qv4J1.pdb1	406.15
4qv4C1.pdb1	4qv4A1.pdb1	82.8
4qv4C1.pdb1	4qv4B1.pdb1	1549.6
4qv4C1.pdb1	4qv4K1.pdb1	327.8
4qv4N1.pdb1	4qv4G1.pdb1	460.45
4qv4N1.pdb1	4qv4a1.pdb1	1361.25
4qv4N1.pdb1	4qv4M1.pdb1	631.05
4qv4N1.pdb1	4qv4F1.pdb1	483.95
4qv4N1.pdb1	4qv4b1.pdb1	641.6
4qv4G1.pdb1	4qv4a1.pdb1	76.55
4qv4G1.pdb1	4qv4A1.pdb1	1397.4
4qv4G1.pdb1	4qv4F1.pdb1	1371.55
4qv4G1.pdb1	4qv4B1.pdb1	130.45
4qv4P1.pdb1	4qv4W1.pdb1	489.85
4qv4P1.pdb1	4qv4X1.pdb1	542.2
4qv4P1.pdb1	4qv4T1.pdb1	137.45
4qv4P1.pdb1	4qv4V1.pdb1	282.45
4qv4P1.pdb1	4qv4S1.pdb1	121.5
4qv4W1.pdb1	4qv4X1.pdb1	561.55
4qv4W1.pdb1	4qv4L1.pdb1	728.45
4qv4W1.pdb1	4qv4K1.pdb1	976.8
4qv4W1.pdb1	4qv4V1.pdb1	1617.35
4qv4X1.pdb1	4qv4J1.pdb1	706.95
4qv4X1.pdb1	4qv4K1.pdb1	751.1
4qv4X1.pdb1	4qv4Y1.pdb1	657.25
4qv4T1.pdb1	4qv4a1.pdb1	451.8
4qv4T1.pdb1	4qv4b1.pdb1	487.05
4qv4T1.pdb1	4qv4S1.pdb1	1331.3
4qv4J1.pdb1	4qv4I1.pdb1	564.3
4qv4J1.pdb1	4qv4B1.pdb1	539.75
4qv4J1.pdb1	4qv4K1.pdb1	650.0
4qv4J1.pdb1	4qv4Y1.pdb1	753.4
4qv4a1.pdb1	4qv4b1.pdb1	631.7
4qv4a1.pdb1	4qv4S1.pdb1	594.2
4qv4A1.pdb1	4qv4I1.pdb1	532.35
4qv4A1.pdb1	4qv4F1.pdb1	156.35
4qv4A1.pdb1	4qv4B1.pdb1	1354.25
4qv4A1.pdb1	4qv4E1.pdb1	60.95
4qv4L1.pdb1	4qv4M1.pdb1	926.45
