2vokA1.pdb1	2vokB1.pdb1	681.0
2vo6I1.pdb1	2vo6A1.pdb1	998.9
2vonA1.pdb1	2vonC1.pdb1	551.9
5voyf1.pdb1	5voyF1.pdb1	8.95
5voyf1.pdb1	5voyA1.pdb1	155.85
5voyf1.pdb1	5voyH1.pdb1	30.05
5voyF1.pdb1	5voyE1.pdb1	863.1
5voyF1.pdb1	5voyA1.pdb1	473.7
5voyF1.pdb1	5voyM1.pdb1	91.85
5voyF1.pdb1	5voyG1.pdb1	234.35
5voyR1.pdb1	5voyQ1.pdb1	119.7
5voyR1.pdb1	5voyT1.pdb1	1.9
5voyR1.pdb1	5voya1.pdb1	372.85
5voyR1.pdb1	5voyS1.pdb1	257.8
5voyR1.pdb1	5voyV1.pdb1	13.45
5voyK1.pdb1	5voyP1.pdb1	0.35
5voyK1.pdb1	5voyD1.pdb1	225.8
5voyK1.pdb1	5voyL1.pdb1	453.7
5voyK1.pdb1	5voyb1.pdb1	83.95
5voyJ1.pdb1	5voyI1.pdb1	451.1
5voyJ1.pdb1	5voyb1.pdb1	49.4
5voyW1.pdb1	5voyX1.pdb1	402.8
5voyW1.pdb1	5voyV1.pdb1	415.85
5voyQ1.pdb1	5voyO1.pdb1	77.65
5voyQ1.pdb1	5voya1.pdb1	10.8
5voyQ1.pdb1	5voyS1.pdb1	101.2
5voyQ1.pdb1	5voyU1.pdb1	65.95
5voyQ1.pdb1	5voyM1.pdb1	356.15
5voyQ1.pdb1	5voyV1.pdb1	37.95
5voyI1.pdb1	5voyO1.pdb1	104.45
5voyI1.pdb1	5voyB1.pdb1	181.7
5voyI1.pdb1	5voyb1.pdb1	55.3
5voyI1.pdb1	5voyg1.pdb1	1.25
5voyP1.pdb1	5voyb1.pdb1	128.25
5voyO1.pdb1	5voyY1.pdb1	1.75
5voyO1.pdb1	5voyZ1.pdb1	6.7
5voyO1.pdb1	5voyb1.pdb1	124.4
5voyO1.pdb1	5voyG1.pdb1	134.8
5voyO1.pdb1	5voyH1.pdb1	69.4
5voyT1.pdb1	5voyc1.pdb1	31.9
5voyT1.pdb1	5voyS1.pdb1	405.9
5voyT1.pdb1	5voyU1.pdb1	370.7
5voyT1.pdb1	5voyb1.pdb1	22.45
5voyE1.pdb1	5voye1.pdb1	108.0
5voyE1.pdb1	5voyD1.pdb1	624.75
5voyE1.pdb1	5voyM1.pdb1	122.95
5voye1.pdb1	5voyL1.pdb1	7.35
5voyc1.pdb1	5voyb1.pdb1	197.55
5voyC1.pdb1	5voyD1.pdb1	594.85
5voyC1.pdb1	5voyB1.pdb1	563.6
5voyC1.pdb1	5voyN1.pdb1	6.4
5voyC1.pdb1	5voyM1.pdb1	24.3
5voyC1.pdb1	5voyg1.pdb1	275.1
5voyA1.pdb1	5voyB1.pdb1	1092.6
5voyA1.pdb1	5voyM1.pdb1	46.45
5voya1.pdb1	5voyZ1.pdb1	391.55
5voyd1.pdb1	5voyb1.pdb1	178.95
5voyD1.pdb1	5voyM1.pdb1	115.9
5voyY1.pdb1	5voyZ1.pdb1	319.1
5voyY1.pdb1	5voyX1.pdb1	458.35
5vogA2.pdb1	5vogA1.pdb1	1407.3
5vozK1.pdb1	5vozb1.pdb1	80.25
5vozK1.pdb1	5vozL1.pdb1	380.75
5vozK1.pdb1	5voze1.pdb1	56.3
5vozK1.pdb1	5vozD1.pdb1	224.95
5vozR1.pdb1	5vozQ1.pdb1	182.7
5vozR1.pdb1	5vozb1.pdb1	4.6
5vozR1.pdb1	5voza1.pdb1	351.85
5vozR1.pdb1	5vozS1.pdb1	341.4
5vozR1.pdb1	5vozU1.pdb1	36.05
5vozF1.pdb1	5vozA1.pdb1	691.5
5vozF1.pdb1	5vozE1.pdb1	666.35
5vozF1.pdb1	5vozG1.pdb1	208.5
5vozF1.pdb1	5vozM1.pdb1	132.5
5vozf1.pdb1	5vozA1.pdb1	174.95
5vozQ1.pdb1	5vozS1.pdb1	100.45
5vozQ1.pdb1	5vozU1.pdb1	67.1
5vozQ1.pdb1	5vozO1.pdb1	10.95
5vozQ1.pdb1	5vozM1.pdb1	269.3
5vozQ1.pdb1	5vozT1.pdb1	39.5
5vozB1.pdb1	5vozA1.pdb1	801.15
5vozB1.pdb1	5vozg1.pdb1	5.85
5vozB1.pdb1	5vozI1.pdb1	151.35
