5u36A1.pdb1	5u36B2.pdb1	1166.5
1u31B2.pdb3	1u31A1.pdb3	970.1
5u35B1.pdb1	5u35A1.pdb1	926.95
4u30X1.pdb1	4u30A1.pdb1	620.45
1u3qB1.pdb2	1u3qD1.pdb2	1303.95
3u3nC2.pdb2	3u3nC1.pdb2	965.3
3u3fC1.pdb3	3u3fG1.pdb3	446.45
3u3yA1.pdb1	3u3yB1.pdb1	1818.35
3u3yA1.pdb1	3u3yC1.pdb1	575.6
3u3yB1.pdb1	3u3yD1.pdb1	568.6
4u39O1.pdb6	4u39F1.pdb6	860.2
3u30A1.pdb1	3u30C1.pdb1	797.75
3u30A1.pdb1	3u30B1.pdb1	201.95
3u30C1.pdb1	3u30B1.pdb1	1732.4
1u3yA1.pdb1	1u3yA2.pdb1	625.05
5u3nA1.pdb1	5u3nH1.pdb1	706.1
5u3nL1.pdb1	5u3nH1.pdb1	2026.0
5u3dC1.pdb1	5u3dB1.pdb1	211.05
5u3dE1.pdb1	5u3dA1.pdb1	667.55
5u3dA1.pdb1	5u3dB1.pdb1	1893.75
1u3vB1.pdb1	1u3vA1.pdb1	1662.8
3u38A1.pdb1	3u38A2.pdb1	451.8
1u3pA1.pdb1	1u3pA2.pdb1	983.6
1u3pA1.pdb1	1u3pA3.pdb1	981.4
1u3pA2.pdb1	1u3pA3.pdb1	984.05
3u37F1.pdb6	3u37H1.pdb6	1259.4
3u3fH1.pdb4	3u3fD1.pdb4	518.8
5u3eA4.pdb1	5u3eA3.pdb1	897.1
5u3eA4.pdb1	5u3eA2.pdb1	1027.2
5u3eA4.pdb1	5u3eA1.pdb1	4.9
5u3eA3.pdb1	5u3eA2.pdb1	4.9
5u3eA3.pdb1	5u3eA1.pdb1	1027.2
5u3eA2.pdb1	5u3eA1.pdb1	897.1
3u37E1.pdb5	3u37G1.pdb5	1266.3
4u39J1.pdb1	4u39A1.pdb1	1031.75
4u3gH1.pdb1	4u3gG1.pdb1	946.75
4u3gH1.pdb1	4u3gL1.pdb1	526.55
4u3gH1.pdb1	4u3gF2.pdb1	21.3
4u3gH1.pdb1	4u3gC2.pdb1	553.35
4u3gH1.pdb1	4u3gI1.pdb1	576.15
4u3gH1.pdb1	4u3gJ1.pdb1	535.25
4u3gK2.pdb1	4u3gG1.pdb1	536.5
4u3gK2.pdb1	4u3gA2.pdb1	21.85
4u3gK2.pdb1	4u3gL2.pdb1	951.95
4u3gK2.pdb1	4u3gC2.pdb1	532.65
4u3gK2.pdb1	4u3gD2.pdb1	551.85
4u3gK2.pdb1	4u3gJ2.pdb1	557.05
4u3gG1.pdb1	4u3gL1.pdb1	556.1
4u3gG1.pdb1	4u3gL2.pdb1	574.65
4u3gG1.pdb1	4u3gC2.pdb1	532.25
4u3gG1.pdb1	4u3gG2.pdb1	23.7
4u3gL1.pdb1	4u3gL2.pdb1	26.8
4u3gL1.pdb1	4u3gG2.pdb1	574.65
4u3gL1.pdb1	4u3gJ1.pdb1	538.1
4u3gL1.pdb1	4u3gK1.pdb1	951.95
4u3gA2.pdb1	4u3gE1.pdb1	532.25
4u3gA2.pdb1	4u3gI2.pdb1	529.4
4u3gA2.pdb1	4u3gD2.pdb1	554.15
4u3gA2.pdb1	4u3gJ2.pdb1	557.95
4u3gA2.pdb1	4u3gB2.pdb1	944.25
4u3gL2.pdb1	4u3gH2.pdb1	526.55
4u3gL2.pdb1	4u3gG2.pdb1	556.1
4u3gL2.pdb1	4u3gJ2.pdb1	538.1
4u3gE1.pdb1	4u3gI2.pdb1	535.7
4u3gE1.pdb1	4u3gF1.pdb1	946.25
4u3gE1.pdb1	4u3gE2.pdb1	22.6
4u3gE1.pdb1	4u3gB1.pdb1	558.8
4u3gE1.pdb1	4u3gB2.pdb1	559.2
4u3gA1.pdb1	4u3gI1.pdb1	529.35
4u3gA1.pdb1	4u3gE2.pdb1	532.25
4u3gA1.pdb1	4u3gJ1.pdb1	557.9
4u3gA1.pdb1	4u3gD1.pdb1	554.15
4u3gA1.pdb1	4u3gK1.pdb1	21.85
4u3gA1.pdb1	4u3gB1.pdb1	944.3
4u3gH2.pdb1	4u3gI2.pdb1	576.15
4u3gH2.pdb1	4u3gG2.pdb1	946.75
4u3gH2.pdb1	4u3gF1.pdb1	21.3
4u3gH2.pdb1	4u3gJ2.pdb1	535.25
4u3gH2.pdb1	4u3gC1.pdb1	553.35
4u3gF2.pdb1	4u3gC2.pdb1	562.7
4u3gF2.pdb1	4u3gD2.pdb1	531.0
4u3gF2.pdb1	4u3gI1.pdb1	554.95
4u3gF2.pdb1	4u3gE2.pdb1	946.25
4u3gF2.pdb1	4u3gB2.pdb1	533.9
4u3gI2.pdb1	4u3gF1.pdb1	554.95
4u3gI2.pdb1	4u3gJ2.pdb1	948.95
4u3gI2.pdb1	4u3gC1.pdb1	23.25
4u3gC2.pdb1	4u3gD2.pdb1	948.5
4u3gC2.pdb1	4u3gI1.pdb1	23.25
4u3gD2.pdb1	4u3gJ2.pdb1	24.15
4u3gD2.pdb1	4u3gB2.pdb1	534.55
4u3gG2.pdb1	4u3gK1.pdb1	536.5
4u3gG2.pdb1	4u3gC1.pdb1	532.25
4u3gF1.pdb1	4u3gD1.pdb1	531.0
4u3gF1.pdb1	4u3gB1.pdb1	533.95
4u3gF1.pdb1	4u3gC1.pdb1	562.7
4u3gI1.pdb1	4u3gE2.pdb1	535.7
4u3gI1.pdb1	4u3gJ1.pdb1	948.95
