1buvT1.pdb1	1buvM1.pdb1	1362.15
2bu5A1.pdb1	2bu5A2.pdb1	2013.4
6burA1.pdb1	6burC1.pdb1	1397.8
6burA1.pdb1	6burD1.pdb1	699.2
6burA1.pdb1	6burB1.pdb1	588.85
6burC1.pdb1	6burD1.pdb1	585.15
6burC1.pdb1	6burB1.pdb1	731.7
6burD1.pdb1	6burB1.pdb1	1407.7
1buiB1.pdb1	1buiC1.pdb1	707.25
1buiB1.pdb1	1buiA1.pdb1	297.5
1buiC1.pdb1	1buiA1.pdb1	869.1
3bueB1.pdb2	3bueC1.pdb2	413.55
3bueB1.pdb2	3bueA1.pdb2	442.5
3bueC1.pdb2	3bueA1.pdb2	477.95
3buwB1.pdb5	3buwA1.pdb5	345.2
3butA1.pdb1	3butA2.pdb1	963.5
5buuA1.pdb1	5buuB1.pdb1	821.75
6bu2A1.pdb1	6bu2B1.pdb1	2001.65
1bu1A1.pdb1	1bu1E1.pdb1	177.75
1bu1A1.pdb1	1bu1C1.pdb1	315.3
1bu1A1.pdb1	1bu1F1.pdb1	190.4
1bu1A1.pdb1	1bu1D1.pdb1	264.95
1bu1A1.pdb1	1bu1B1.pdb1	469.8
1bu1E1.pdb1	1bu1C1.pdb1	414.8
1bu1C1.pdb1	1bu1B1.pdb1	87.6
5buxB2.pdb1	5buxB1.pdb1	19.3
5buxB2.pdb1	5buxA1.pdb1	1241.65
5buxB2.pdb1	5buxA2.pdb1	1272.9
5buxB2.pdb1	5buxB3.pdb1	19.3
5buxB1.pdb1	5buxA3.pdb1	1241.65
5buxB1.pdb1	5buxA1.pdb1	1272.9
5buxB1.pdb1	5buxB3.pdb1	19.3
5buxA3.pdb1	5buxA1.pdb1	19.5
5buxA3.pdb1	5buxA2.pdb1	19.5
5buxA3.pdb1	5buxB3.pdb1	1272.9
5buxA1.pdb1	5buxA2.pdb1	19.5
5buxA2.pdb1	5buxB3.pdb1	1241.6
3bu5B1.pdb1	3bu5A1.pdb1	801.4
3buyB1.pdb1	3buyA1.pdb1	1284.75
3buyA1.pdb1	3buyC1.pdb1	970.4
2buyA4.pdb1	2buyB5.pdb1	25.8
2buyA4.pdb1	2buyB4.pdb1	3847.15
2buyA4.pdb1	2buyA7.pdb1	133.7
2buyA4.pdb1	2buyB11.pdb1	65.1
2buyA4.pdb1	2buyB7.pdb1	123.15
2buyA4.pdb1	2buyA5.pdb1	134.0
2buyA9.pdb1	2buyA11.pdb1	133.75
2buyA9.pdb1	2buyA12.pdb1	134.05
2buyA9.pdb1	2buyB10.pdb1	65.1
2buyA9.pdb1	2buyB11.pdb1	25.85
2buyA9.pdb1	2buyB12.pdb1	123.95
2buyA9.pdb1	2buyB9.pdb1	3843.6
2buyB3.pdb1	2buyA11.pdb1	65.05
2buyB3.pdb1	2buyA3.pdb1	3843.55
2buyB3.pdb1	2buyA2.pdb1	123.9
2buyB3.pdb1	2buyB4.pdb1	425.1
2buyB3.pdb1	2buyB2.pdb1	481.65
2buyB3.pdb1	2buyA1.pdb1	25.8
2buyB3.pdb1	2buyB11.pdb1	424.8
2buyB3.pdb1	2buyB1.pdb1	481.2
2buyB3.pdb1	2buyB9.pdb1	1510.7
2buyA11.pdb1	2buyA12.pdb1	133.65
2buyA11.pdb1	2buyB11.pdb1	3842.5
2buyA11.pdb1	2buyB12.pdb1	26.55
2buyA11.pdb1	2buyB9.pdb1	123.9
2buyA12.pdb1	2buyB11.pdb1	123.15
2buyA12.pdb1	2buyB7.pdb1	65.1
2buyA12.pdb1	2buyB12.pdb1	3847.15
2buyA12.pdb1	2buyB9.pdb1	25.8
2buyA3.pdb1	2buyA2.pdb1	133.7
2buyA3.pdb1	2buyB4.pdb1	65.0
2buyA3.pdb1	2buyB2.pdb1	25.8
2buyA3.pdb1	2buyA1.pdb1	134.0
2buyA3.pdb1	2buyB1.pdb1	123.85
2buyA8.pdb1	2buyB6.pdb1	25.85
2buyA8.pdb1	2buyB10.pdb1	123.95
2buyA8.pdb1	2buyA6.pdb1	133.75
2buyA8.pdb1	2buyA10.pdb1	134.05
2buyA8.pdb1	2buyB8.pdb1	3843.6
2buyA8.pdb1	2buyB12.pdb1	65.1
2buyA2.pdb1	2buyB2.pdb1	3842.45
2buyA2.pdb1	2buyA1.pdb1	133.7
2buyA2.pdb1	2buyB1.pdb1	26.5
2buyA2.pdb1	2buyB9.pdb1	65.05
2buyB5.pdb1	2buyB4.pdb1	481.2
2buyB5.pdb1	2buyA7.pdb1	123.9
2buyB5.pdb1	2buyB6.pdb1	424.8
2buyB5.pdb1	2buyB7.pdb1	481.65
2buyB5.pdb1	2buyA6.pdb1	65.05
2buyB5.pdb1	2buyA5.pdb1	3843.55
2buyB5.pdb1	2buyB8.pdb1	1510.7
2buyB5.pdb1	2buyB1.pdb1	425.1
2buyB4.pdb1	2buyA7.pdb1	26.5
2buyB4.pdb1	2buyB11.pdb1	425.3
2buyB4.pdb1	2buyB7.pdb1	480.65
2buyB4.pdb1	2buyA5.pdb1	123.85
2buyB4.pdb1	2buyB1.pdb1	1514.5
2buyA7.pdb1	2buyB7.pdb1	3842.45
2buyA7.pdb1	2buyA5.pdb1	133.7
2buyA7.pdb1	2buyB8.pdb1	65.05
2buyB6.pdb1	2buyB10.pdb1	480.7
2buyB6.pdb1	2buyB2.pdb1	1516.9
2buyB6.pdb1	2buyA1.pdb1	65.1
2buyB6.pdb1	2buyA6.pdb1	3842.5
2buyB6.pdb1	2buyA10.pdb1	123.15
2buyB6.pdb1	2buyB8.pdb1	481.65
2buyB6.pdb1	2buyB1.pdb1	425.3
2buyB10.pdb1	2buyB2.pdb1	425.35
2buyB10.pdb1	2buyA6.pdb1	26.55
2buyB10.pdb1	2buyA10.pdb1	3847.15
2buyB10.pdb1	2buyB8.pdb1	481.2
2buyB10.pdb1	2buyB12.pdb1	1514.6
2buyB10.pdb1	2buyB9.pdb1	425.15
2buyB2.pdb1	2buyA1.pdb1	123.15
2buyB2.pdb1	2buyA10.pdb1	65.1
2buyB2.pdb1	2buyB1.pdb1	480.65
2buyB2.pdb1	2buyB9.pdb1	424.8
2buyA1.pdb1	2buyB1.pdb1	3847.15
2buyB11.pdb1	2buyB7.pdb1	1516.9
2buyB11.pdb1	2buyB12.pdb1	480.7
2buyB11.pdb1	2buyB9.pdb1	481.65
2buyB7.pdb1	2buyA5.pdb1	25.8
2buyB7.pdb1	2buyB8.pdb1	424.8
2buyB7.pdb1	2buyB12.pdb1	425.35
2buyA6.pdb1	2buyA10.pdb1	133.65
2buyA6.pdb1	2buyB8.pdb1	123.9
2buyA10.pdb1	2buyB8.pdb1	25.8
2buyA5.pdb1	2buyB1.pdb1	65.0
2buyB8.pdb1	2buyB12.pdb1	425.15
2buyB12.pdb1	2buyB9.pdb1	481.2
2bu7A2.pdb1	2bu7A1.pdb1	1816.3
3bu6B1.pdb1	3bu6A1.pdb1	976.3
