1pptA2.pdb1	1pptA1.pdb1	686.5
2ppwB1.pdb2	2ppwB2.pdb2	1631.7
1ppwA1.pdb1	1ppwB1.pdb1	831.2
3pp3I1.pdb2	3pp3K1.pdb2	1696.15
3pp4L1.pdb1	3pp4P1.pdb1	223.55
3pp4L1.pdb1	3pp4H1.pdb1	1876.25
3pp4P1.pdb1	3pp4H1.pdb1	330.55
2pp6A2.pdb2	2pp6A1.pdb2	789.5
2pp1D1.pdb4	2pp1F1.pdb4	2755.15
2pptB1.pdb1	2pptA1.pdb1	538.5
2pp8C1.pdb1	2pp8A1.pdb1	2034.1
2pp8C1.pdb1	2pp8B1.pdb1	2069.95
2pp8A1.pdb1	2pp8B1.pdb1	2032.3
2pp7B1.pdb1	2pp7C1.pdb1	2056.3
2pp7B1.pdb1	2pp7A1.pdb1	2078.55
2pp7C1.pdb1	2pp7A1.pdb1	2034.25
1pp2R1.pdb1	1pp2L1.pdb1	1264.35
2pp0A5.pdb4	2pp0A1.pdb4	0.05
2pp0A5.pdb4	2pp0A6.pdb4	0.1
2pp0A5.pdb4	2pp0A3.pdb4	2973.05
2pp0A5.pdb4	2pp0A2.pdb4	0.05
2pp0A5.pdb4	2pp0A4.pdb4	311.35
2pp0A1.pdb4	2pp0A6.pdb4	1597.95
2pp0A1.pdb4	2pp0A3.pdb4	311.3
2pp0A1.pdb4	2pp0A2.pdb4	311.3
2pp0A1.pdb4	2pp0A4.pdb4	2973.0
2pp0A6.pdb4	2pp0A3.pdb4	0.05
2pp0A6.pdb4	2pp0A2.pdb4	2973.05
2pp0A6.pdb4	2pp0A4.pdb4	311.35
2pp0A3.pdb4	2pp0A4.pdb4	1597.9
4pp2B1.pdb1	4pp2F1.pdb1	629.55
4pp2B1.pdb1	4pp2A1.pdb1	1770.7
4pp2F1.pdb1	4pp2A1.pdb1	221.95
1pp9I1.pdb1	1pp9B1.pdb1	1650.25
1pp9I1.pdb1	1pp9A1.pdb1	868.4
1pp9Q1.pdb1	1pp9S1.pdb1	377.8
1pp9Q1.pdb1	1pp9D1.pdb1	298.3
1pp9Q1.pdb1	1pp9U1.pdb1	1192.65
1pp9Q1.pdb1	1pp9W1.pdb1	923.55
1pp9Q1.pdb1	1pp9R1.pdb1	788.75
1pp9Q1.pdb1	1pp9P1.pdb1	1648.8
1pp9Q1.pdb1	1pp9N1.pdb1	148.6
1pp9Q1.pdb1	1pp9T1.pdb1	747.3
1pp9S1.pdb1	1pp9B1.pdb1	452.85
1pp9S1.pdb1	1pp9A1.pdb1	100.9
1pp9S1.pdb1	1pp9R1.pdb1	2.7
1pp9S1.pdb1	1pp9P1.pdb1	1188.75
1pp9S1.pdb1	1pp9T1.pdb1	433.4
1pp9C1.pdb1	1pp9D1.pdb1	1631.75
1pp9C1.pdb1	1pp9F1.pdb1	1188.6
1pp9C1.pdb1	1pp9G1.pdb1	1052.55
1pp9C1.pdb1	1pp9E1.pdb1	516.95
1pp9C1.pdb1	1pp9A1.pdb1	222.05
1pp9C1.pdb1	1pp9R1.pdb1	1188.05
1pp9C1.pdb1	1pp9P1.pdb1	720.5
1pp9B1.pdb1	1pp9O1.pdb1	670.45
1pp9B1.pdb1	1pp9A1.pdb1	2293.45
1pp9D1.pdb1	1pp9F1.pdb1	376.95
1pp9D1.pdb1	1pp9G1.pdb1	769.9
1pp9D1.pdb1	1pp9H1.pdb1	1184.3
