4cgwC1.pdb1	4cgwA1.pdb1	390.6
4cggA1.pdb1	4cggB1.pdb1	1391.25
2cg0A1.pdb1	2cg0A2.pdb1	6731.6
1cg9A1.pdb1	1cg9B1.pdb1	1351.9
1cg9A1.pdb1	1cg9C1.pdb1	839.65
5cgyL1.pdb1	5cgyH1.pdb1	1639.5
5cg6A1.pdb1	5cg6A2.pdb1	2100.4
1cg6A3.pdb1	1cg6A2.pdb1	1120.0
1cg6A3.pdb1	1cg6A1.pdb1	1119.95
1cg6A2.pdb1	1cg6A1.pdb1	1120.0
4cg8A2.pdb1	4cg8A1.pdb1	1150.65
3cg6A1.pdb3	3cg6A2.pdb3	1293.6
4cg4A1.pdb1	4cg4B1.pdb1	4814.5
5cgiK1.pdb1	5cgiC1.pdb1	334.75
5cgiK1.pdb1	5cgiX1.pdb1	791.8
5cgiK1.pdb1	5cgiD1.pdb1	415.55
5cgiK1.pdb1	5cgiL1.pdb1	693.15
5cgiK1.pdb1	5cgiV1.pdb1	100.45
5cgiK1.pdb1	5cgiJ1.pdb1	678.85
5cgiK1.pdb1	5cgiW1.pdb1	1007.05
5cgiO1.pdb1	5cgiR1.pdb1	36.75
5cgiO1.pdb1	5cgiP1.pdb1	1364.75
5cgiO1.pdb1	5cgiS1.pdb1	63.2
5cgiO1.pdb1	5cgiU1.pdb1	1404.7
5cgiO1.pdb1	5cgiQ1.pdb1	111.45
5cgiO1.pdb1	5cgiV1.pdb1	657.5
5cgiO1.pdb1	5cgiW1.pdb1	512.5
5cgiO1.pdb1	5cgiT1.pdb1	144.7
5cgiZ1.pdb1	5cgiR1.pdb1	536.0
5cgiZ1.pdb1	5cgiI1.pdb1	756.6
5cgiZ1.pdb1	5cgiH1.pdb1	1408.85
5cgiZ1.pdb1	5cgia1.pdb1	953.75
5cgiZ1.pdb1	5cgiS1.pdb1	363.0
5cgiZ1.pdb1	5cgiY1.pdb1	694.4
5cgiR1.pdb1	5cgiP1.pdb1	121.7
5cgiR1.pdb1	5cgiS1.pdb1	1039.5
5cgiR1.pdb1	5cgiQ1.pdb1	1294.75
5cgiR1.pdb1	5cgiY1.pdb1	414.8
5cgiI1.pdb1	5cgiH1.pdb1	1622.0
5cgiI1.pdb1	5cgiA1.pdb1	518.1
5cgiI1.pdb1	5cgiY1.pdb1	1000.35
5cgiI1.pdb1	5cgiJ1.pdb1	605.05
5cgiI1.pdb1	5cgiB1.pdb1	483.4
5cgiC1.pdb1	5cgiD1.pdb1	1295.55
5cgiC1.pdb1	5cgiA1.pdb1	103.5
5cgiC1.pdb1	5cgiJ1.pdb1	404.95
5cgiC1.pdb1	5cgiB1.pdb1	1528.35
5cgiX1.pdb1	5cgiP1.pdb1	526.85
5cgiX1.pdb1	5cgiQ1.pdb1	399.55
5cgiX1.pdb1	5cgiY1.pdb1	679.7
5cgiX1.pdb1	5cgiJ1.pdb1	717.15
5cgiX1.pdb1	5cgiW1.pdb1	604.0
5cgiD1.pdb1	5cgiA1.pdb1	32.05
5cgiD1.pdb1	5cgiE1.pdb1	1012.65
5cgiD1.pdb1	5cgiL1.pdb1	530.45
5cgiD1.pdb1	5cgiB1.pdb1	113.9
5cgiH1.pdb1	5cgia1.pdb1	911.85
5cgiH1.pdb1	5cgiA1.pdb1	660.0
5cgiH1.pdb1	5cgiN1.pdb1	507.4
5cgiH1.pdb1	5cgiY1.pdb1	102.25
5cgiH1.pdb1	5cgiB1.pdb1	12.4
5cgiH1.pdb1	5cgiG1.pdb1	650.95
5cgia1.pdb1	5cgiS1.pdb1	601.8
5cgia1.pdb1	5cgiN1.pdb1	1355.25
5cgia1.pdb1	5cgiT1.pdb1	475.25
5cgia1.pdb1	5cgib1.pdb1	615.85
5cgia1.pdb1	5cgiG1.pdb1	80.25
5cgiA1.pdb1	5cgiE1.pdb1	64.75
5cgiA1.pdb1	5cgiF1.pdb1	147.9
5cgiA1.pdb1	5cgiB1.pdb1	1352.2
5cgiA1.pdb1	5cgiG1.pdb1	1399.1
