Target,Top1 0.23 [%],Top10 0.23 [%],Top100 0.23 [%],Top1 0.49 [%],Top10 0.49 [%],Top100 0.49 [%],Top1 0.80 [%],Top10 0.80 [%],Top100 0.80 [%]
4uqyBA11,0,0,0,0,0,0,0,0,0
5de2CA08,100,30,20,0,0,0,0,0,0
4jmhBA01,0,40,26,0,0,0,0,0,0
5di8CA25,0,0,1,0,0,0,0,0,0
4tmpBA05,100,70,55,0,0,0,0,0,0
2phkBA24,0,0,0,0,0,0,0,0,0
1elwCA01,0,0,4,0,0,0,0,0,0
4h0hDB01,0,0,6,0,0,0,0,0,0
3ubwPA01,0,30,42,0,0,0,0,0,0
4eqfBA03,0,0,0,0,0,0,0,0,0
2fmkBA01,0,10,26,0,10,18,0,0,2
3pe4BA16,0,10,10,0,0,0,0,0,0
3pcsEA18,0,0,0,0,0,0,0,0,0
4igaBA02,0,90,71,0,90,61,0,0,0
4fifCA01,0,0,15,0,0,0,0,0,0
2jdlCA01,0,0,4,0,0,4,0,0,0
2xs0BA12,0,0,1,0,0,0,0,0,0
5efiCA01,0,0,0,0,0,0,0,0,0
3qisBA01,0,0,0,0,0,0,0,0,0
3cxwBA50,0,0,0,0,0,0,0,0,0
1gagBA04,0,0,3,0,0,2,0,0,0
3fxxBA01,0,0,0,0,0,0,0,0,0
4am9BA02,0,0,0,0,0,0,0,0,0
3q47CB03,100,100,78,0,0,0,0,0,0
4xevCA01,100,30,14,100,30,7,0,0,0
2k9uBA50,0,0,0,0,0,0,0,0,0
3iswCA50,0,0,0,0,0,0,0,0,0
3gm1EA01,0,0,2,0,0,0,0,0,0
4u6yPA10,100,40,42,0,0,4,0,0,0
3eyfEB16,0,0,2,0,0,0,0,0,0
4oucBA50,0,0,0,0,0,0,0,0,0
4mliBA01,0,0,4,0,0,4,0,0,0
4rrvBA02,100,70,54,0,10,18,0,0,0
2n3kBA04,100,30,39,0,0,2,0,0,0
3upvBA01,100,100,100,0,0,5,0,0,0
3aloEA01,0,0,0,0,0,0,0,0,0
