5c6pB1.pdb1	5c6pA1.pdb1	476.25
5c6fD1.pdb1	5c6fA1.pdb1	435.75
5c6fD1.pdb1	5c6fB4.pdb1	806.55
5c6fD1.pdb1	5c6fE1.pdb1	772.25
5c6fD1.pdb1	5c6fC1.pdb1	1396.5
5c6fD1.pdb1	5c6fB1.pdb1	449.7
5c6fD3.pdb1	5c6fC3.pdb1	1396.5
5c6fD3.pdb1	5c6fB3.pdb1	449.75
5c6fD3.pdb1	5c6fA3.pdb1	435.75
5c6fD3.pdb1	5c6fE3.pdb1	772.25
5c6fD3.pdb1	5c6fB1.pdb1	806.55
5c6fA2.pdb1	5c6fF2.pdb1	1393.25
5c6fA2.pdb1	5c6fC2.pdb1	788.85
5c6fA2.pdb1	5c6fD2.pdb1	435.75
5c6fA2.pdb1	5c6fF3.pdb1	768.9
5c6fA2.pdb1	5c6fC4.pdb1	447.8
5c6fC3.pdb1	5c6fA1.pdb1	447.8
5c6fC3.pdb1	5c6fF1.pdb1	768.1
5c6fC3.pdb1	5c6fA3.pdb1	788.85
5c6fC3.pdb1	5c6fB1.pdb1	441.9
5c6fF2.pdb1	5c6fF4.pdb1	425.2
5c6fF2.pdb1	5c6fA4.pdb1	768.9
5c6fF2.pdb1	5c6fF3.pdb1	425.2
5c6fF2.pdb1	5c6fC4.pdb1	768.1
5c6fC2.pdb1	5c6fD2.pdb1	1396.5
5c6fC2.pdb1	5c6fB3.pdb1	441.95
5c6fC2.pdb1	5c6fF3.pdb1	768.05
5c6fC2.pdb1	5c6fA3.pdb1	447.8
5c6fA1.pdb1	5c6fF4.pdb1	768.9
5c6fA1.pdb1	5c6fF1.pdb1	1393.2
5c6fA1.pdb1	5c6fC1.pdb1	788.85
5c6fD4.pdb1	5c6fA4.pdb1	435.75
5c6fD4.pdb1	5c6fB4.pdb1	449.7
5c6fD4.pdb1	5c6fE4.pdb1	772.25
5c6fD4.pdb1	5c6fB2.pdb1	806.55
5c6fD4.pdb1	5c6fC4.pdb1	1396.5
5c6fF4.pdb1	5c6fA4.pdb1	1393.2
5c6fF4.pdb1	5c6fF1.pdb1	425.2
5c6fF4.pdb1	5c6fC1.pdb1	768.1
5c6fA4.pdb1	5c6fC1.pdb1	447.8
5c6fA4.pdb1	5c6fC4.pdb1	788.85
5c6fE2.pdb1	5c6fD2.pdb1	772.25
5c6fE2.pdb1	5c6fB3.pdb1	792.9
5c6fE2.pdb1	5c6fE1.pdb1	25.2
5c6fE2.pdb1	5c6fE4.pdb1	453.35
5c6fE2.pdb1	5c6fB2.pdb1	1387.6
5c6fE2.pdb1	5c6fE3.pdb1	453.35
5c6fD2.pdb1	5c6fB3.pdb1	806.6
5c6fD2.pdb1	5c6fB2.pdb1	449.7
5c6fB3.pdb1	5c6fE3.pdb1	1387.65
5c6fF1.pdb1	5c6fF3.pdb1	425.2
5c6fF1.pdb1	5c6fA3.pdb1	768.9
5c6fF3.pdb1	5c6fA3.pdb1	1393.2
5c6fB4.pdb1	5c6fE1.pdb1	792.85
5c6fB4.pdb1	5c6fE4.pdb1	1387.6
5c6fB4.pdb1	5c6fC1.pdb1	441.9
5c6fE1.pdb1	5c6fE4.pdb1	453.35
5c6fE1.pdb1	5c6fE3.pdb1	453.35
5c6fE1.pdb1	5c6fB1.pdb1	1387.6
5c6fE4.pdb1	5c6fB2.pdb1	792.85
5c6fE4.pdb1	5c6fE3.pdb1	25.2
5c6fB2.pdb1	5c6fC4.pdb1	441.9
5c6fE3.pdb1	5c6fB1.pdb1	792.85
3c6vC1.pdb1	3c6vB1.pdb1	1290.1
3c6vC1.pdb1	3c6vA1.pdb1	1288.35
3c6vB1.pdb1	3c6vA1.pdb1	1267.65
5c6fG4.pdb2	5c6fL4.pdb2	1397.35
5c6fG4.pdb2	5c6fL2.pdb2	781.1
5c6fG4.pdb2	5c6fK4.pdb2	24.55
5c6fG4.pdb2	5c6fI4.pdb2	442.5
5c6fG4.pdb2	5c6fJ4.pdb2	784.85
5c6fG4.pdb2	5c6fJ1.pdb2	442.2
5c6fL4.pdb2	5c6fL1.pdb2	436.2
5c6fL4.pdb2	5c6fL2.pdb2	436.2
5c6fL4.pdb2	5c6fL3.pdb2	24.6
5c6fL4.pdb2	5c6fG1.pdb2	781.1
5c6fL4.pdb2	5c6fJ1.pdb2	775.8
5c6fH4.pdb2	5c6fK4.pdb2	1386.35
5c6fH4.pdb2	5c6fH3.pdb2	26.2
5c6fH4.pdb2	5c6fI4.pdb2	766.6
5c6fH4.pdb2	5c6fK2.pdb2	772.45
5c6fH4.pdb2	5c6fH2.pdb2	451.85
5c6fH4.pdb2	5c6fH1.pdb2	451.85
5c6fJ3.pdb2	5c6fI3.pdb2	1432.5
5c6fJ3.pdb2	5c6fL1.pdb2	775.8
5c6fJ3.pdb2	5c6fG1.pdb2	442.2
5c6fJ3.pdb2	5c6fK1.pdb2	432.75
5c6fJ3.pdb2	5c6fI1.pdb2	23.6
5c6fJ3.pdb2	5c6fG3.pdb2	784.85
5c6fI3.pdb2	5c6fH3.pdb2	766.6
5c6fI3.pdb2	5c6fK3.pdb2	435.1
5c6fI3.pdb2	5c6fK1.pdb2	773.9
5c6fI3.pdb2	5c6fG3.pdb2	442.5
5c6fI3.pdb2	5c6fJ2.pdb2	23.6
5c6fL1.pdb2	5c6fL2.pdb2	24.6
5c6fL1.pdb2	5c6fL3.pdb2	436.2
5c6fL1.pdb2	5c6fG1.pdb2	1397.35
5c6fL1.pdb2	5c6fG3.pdb2	781.1
5c6fL2.pdb2	5c6fL3.pdb2	436.2
5c6fL2.pdb2	5c6fJ4.pdb2	775.8
5c6fL2.pdb2	5c6fG2.pdb2	1397.35
5c6fL3.pdb2	5c6fG2.pdb2	781.1
5c6fL3.pdb2	5c6fG3.pdb2	1397.35
5c6fL3.pdb2	5c6fJ2.pdb2	775.8
5c6fK4.pdb2	5c6fI4.pdb2	435.1
5c6fK4.pdb2	5c6fJ1.pdb2	432.75
5c6fK4.pdb2	5c6fI1.pdb2	773.9
5c6fK4.pdb2	5c6fH1.pdb2	772.45
5c6fH3.pdb2	5c6fK3.pdb2	1386.35
5c6fH3.pdb2	5c6fH2.pdb2	451.85
5c6fH3.pdb2	5c6fK1.pdb2	772.45
5c6fH3.pdb2	5c6fH1.pdb2	451.85
5c6fI4.pdb2	5c6fK2.pdb2	773.9
5c6fI4.pdb2	5c6fJ4.pdb2	1432.5
5c6fI4.pdb2	5c6fJ1.pdb2	23.6
5c6fG1.pdb2	5c6fK1.pdb2	24.55
5c6fG1.pdb2	5c6fJ1.pdb2	784.85
5c6fG1.pdb2	5c6fI1.pdb2	442.5
5c6fK2.pdb2	5c6fH2.pdb2	1386.35
5c6fK2.pdb2	5c6fJ4.pdb2	432.75
5c6fK2.pdb2	5c6fI2.pdb2	435.1
5c6fK2.pdb2	5c6fG2.pdb2	24.55
5c6fK3.pdb2	5c6fH2.pdb2	772.45
5c6fK3.pdb2	5c6fI2.pdb2	773.9
5c6fK3.pdb2	5c6fG3.pdb2	24.55
5c6fK3.pdb2	5c6fJ2.pdb2	432.75
5c6fH2.pdb2	5c6fI2.pdb2	766.6
5c6fH2.pdb2	5c6fH1.pdb2	26.2
5c6fJ4.pdb2	5c6fI2.pdb2	23.6
5c6fJ4.pdb2	5c6fG2.pdb2	442.2
5c6fI2.pdb2	5c6fG2.pdb2	442.5
5c6fI2.pdb2	5c6fJ2.pdb2	1432.5
5c6fG2.pdb2	5c6fJ2.pdb2	784.85
5c6fK1.pdb2	5c6fI1.pdb2	435.1
5c6fK1.pdb2	5c6fH1.pdb2	1386.35
5c6fJ1.pdb2	5c6fI1.pdb2	1432.5
5c6fI1.pdb2	5c6fH1.pdb2	766.6
5c6fG3.pdb2	5c6fJ2.pdb2	442.2
1c6zA1.pdb1	1c6zB1.pdb1	1811.75
2c6tA1.pdb1	2c6tB1.pdb1	1580.95
6c6bA1.pdb1	6c6bB1.pdb1	2027.1
4c6lA2.pdb1	4c6lA1.pdb1	1033.2
3c6bA1.pdb1	3c6bA2.pdb1	892.2
1c6vA1.pdb1	1c6vX1.pdb1	584.85
1c6vA1.pdb1	1c6vC1.pdb1	109.3
1c6vA1.pdb1	1c6vB1.pdb1	1191.95
1c6vX1.pdb1	1c6vC1.pdb1	104.25
1c6vX1.pdb1	1c6vB1.pdb1	11.55
1c6vX1.pdb1	1c6vD1.pdb1	0.9
1c6vC1.pdb1	1c6vB1.pdb1	355.8
1c6vC1.pdb1	1c6vD1.pdb1	1289.05
5c6vG1.pdb1	5c6vC1.pdb1	533.55
5c6vD1.pdb1	5c6vC1.pdb1	1896.55
5c6vD1.pdb1	5c6vB1.pdb1	624.7
5c6vD1.pdb1	5c6vH1.pdb1	470.95
5c6vC1.pdb1	5c6vA1.pdb1	633.0
5c6vA1.pdb1	5c6vB1.pdb1	1929.75
5c6vA1.pdb1	5c6vE1.pdb1	511.7
5c6vF1.pdb1	5c6vB1.pdb1	516.5
5c66B1.pdb1	5c66A1.pdb1	3806.35
