2q3bA2.pdb1	2q3bA1.pdb1	2053.4
3q3lB2.pdb2	3q3lD2.pdb2	813.85
3q3lB2.pdb2	3q3lB1.pdb2	361.35
3q3lB2.pdb2	3q3lD1.pdb2	719.3
3q3lB2.pdb2	3q3lF2.pdb2	824.75
3q3lD2.pdb2	3q3lB1.pdb2	719.35
3q3lD2.pdb2	3q3lF1.pdb2	366.3
3q3lD2.pdb2	3q3lF2.pdb2	762.2
3q3lB1.pdb2	3q3lF1.pdb2	824.8
3q3lB1.pdb2	3q3lD1.pdb2	813.9
3q3lF1.pdb2	3q3lD1.pdb2	762.2
3q3lF1.pdb2	3q3lF2.pdb2	723.75
3q3lD1.pdb2	3q3lF2.pdb2	366.3
4q3tB3.pdb2	4q3tB1.pdb2	1442.4
4q3tB3.pdb2	4q3tB2.pdb2	1442.9
4q3tB1.pdb2	4q3tB2.pdb2	1443.25
2q3xB1.pdb1	2q3xA1.pdb1	966.25
1q3eB1.pdb2	1q3eB4.pdb2	1084.35
1q3eB1.pdb2	1q3eB3.pdb2	1084.35
1q3eB4.pdb2	1q3eB2.pdb2	1084.35
1q3eB3.pdb2	1q3eB2.pdb2	1084.35
4q3tC2.pdb3	4q3tC1.pdb3	1436.4
4q3tC2.pdb3	4q3tC3.pdb3	1436.5
4q3tC1.pdb3	4q3tC3.pdb3	1439.3
2q3nB1.pdb1	2q3nA1.pdb1	1689.2
2q3nB1.pdb1	2q3nA2.pdb1	62.3
2q3nB2.pdb1	2q3nA1.pdb1	62.35
2q3nB2.pdb1	2q3nA2.pdb1	1689.15
2q3nA1.pdb1	2q3nA2.pdb1	1026.85
4q35A1.pdb1	4q35B1.pdb1	3285.15
4q3bD2.pdb6	4q3bC1.pdb6	934.7
1q3rD4.pdb1	1q3rC1.pdb1	2940.35
1q3rD4.pdb1	1q3rB1.pdb1	5.4
1q3rD4.pdb1	1q3rA1.pdb1	16.55
1q3rD4.pdb1	1q3rB4.pdb1	786.2
1q3rD4.pdb1	1q3rC4.pdb1	2971.65
1q3rD4.pdb1	1q3rD2.pdb1	42.85
1q3rD4.pdb1	1q3rD1.pdb1	42.8
1q3rB2.pdb1	1q3rB3.pdb1	40.55
1q3rB2.pdb1	1q3rA2.pdb1	3004.95
1q3rB2.pdb1	1q3rC2.pdb1	0.75
1q3rB2.pdb1	1q3rB4.pdb1	40.55
1q3rB2.pdb1	1q3rA4.pdb1	3034.2
1q3rB2.pdb1	1q3rC4.pdb1	1.3
1q3rB2.pdb1	1q3rD2.pdb1	786.25
