4f66A1.pdb1	4f66B1.pdb1
5jazB1.pdb1	5jazA1.pdb1
4po5D1.pdb1	4po5C1.pdb1
6r77B1.pdb1	6r77A1.pdb1
5hh3C1.pdb1	5hh3A1.pdb1
4j6fA1.pdb1	4j6fB1.pdb1
3o18A2.pdb1	3o18B2.pdb1
2j96A1.pdb1	2j96B1.pdb1
6jb1H1.pdb1	6jb1G1.pdb1
5kukA2.pdb1	5kukA3.pdb1
5paxA1.pdb1	5paxC1.pdb1
2gypA2.pdb1	2gypA1.pdb1
3nv7A4.pdb1	3nv7A2.pdb1
2jbxA1.pdb1	2jbxB1.pdb1
5o6tC1.pdb2	5o6tD1.pdb2
1rdqE1.pdb1	1rdqI1.pdb1
1jbuX1.pdb1	1jbuH1.pdb1
5jueH1.pdb1	5jueL1.pdb1
6ic3D1.pdb1	6ic3E1.pdb1
5molA1.pdb1	5molB1.pdb1
3pc3A1.pdb2	3pc3A2.pdb2
4jbaA1.pdb2	4jbaB1.pdb2
3jbiV1.pdb1	3jbiB1.pdb1
3b5uE1.pdb1	3b5uF1.pdb1
1ox0A2.pdb1	1ox0A1.pdb1
2jbrB1.pdb1	2jbrA1.pdb1
2jbyA1.pdb1	2jbyB1.pdb1
1nviE2.pdb1	1nviE1.pdb1
6jc0D1.pdb1	6jc0C1.pdb1
1unbA2.pdb1	1unbA1.pdb1
3jb6A1.pdb1	3jb6B1.pdb1
3jb6A1.pdb1	3jb6D1.pdb1
3jb6B1.pdb1	3jb6C1.pdb1
2v0nB1.pdb1	2v0nA1.pdb1
2wjnC1.pdb1	2wjnM1.pdb1
1rzhL1.pdb1	1rzhM1.pdb1
1rzhM1.pdb1	1rzhH1.pdb1
3t6eL1.pdb1	3t6eC1.pdb1
2wjnH1.pdb1	2wjnC1.pdb1
3t6eL1.pdb1	3t6eH1.pdb1
2jaeA1.pdb1	2jaeB1.pdb1
6hxaA2.pdb1	6hxaA1.pdb1
4jb7A2.pdb1	4jb7A1.pdb1
3j2tI1.pdb1	3j2tB1.pdb1
3jbtE1.pdb1	3jbtG1.pdb1
1jb2A1.pdb1	1jb2B1.pdb1
1wvqC2.pdb1	1wvqA2.pdb1
4jbbA1.pdb1	4jbbA2.pdb1
5jblE1.pdb1	5jblD1.pdb1
4jb8P1.pdb1	4jb8A1.pdb1
1qtnA2.pdb1	1qtnB2.pdb1
5cxdC1.pdb1	5cxdB1.pdb1
1o20A4.pdb2	1o20A3.pdb2
1unkA1.pdb1	1unkC1.pdb1
3u43A1.pdb1	3u43B1.pdb1
1v13A1.pdb1	1v13B1.pdb1
1p6xB1.pdb1	1p6xA1.pdb1
3hh0B1.pdb1	3hh0D1.pdb1
5jbrB1.pdb1	5jbrA1.pdb1
1qmoB1.pdb1	1qmoF1.pdb1
6jbjA1.pdb1	6jbjB1.pdb1
3k9oB1.pdb1	3k9oA1.pdb1
4wu3B1.pdb1	4wu3A1.pdb1
1x1oC2.pdb1	1x1oC1.pdb1
1jb0C1.pdb1	1jb0E1.pdb1
6k61C1.pdb1	6k61D1.pdb1
6k61C1.pdb1	6k61B1.pdb1
6k61F1.pdb1	6k61J1.pdb1
1jb0F2.pdb1	1jb0X2.pdb1
5zjiF1.pdb1	5zjiE1.pdb1
6k61B1.pdb1	6k61F1.pdb1
1jb0E3.pdb1	1jb0X2.pdb1
1jb0E3.pdb1	1jb0A3.pdb1
4xk8e1.pdb2	4xk8d1.pdb2
1jb0J2.pdb1	1jb0X2.pdb1
4l6vF1.pdb1	4l6vA1.pdb1
