1e19A1.pdb1	1e19B1.pdb1	2417.0
4e18A1.pdb1	4e18B1.pdb1	1844.45
5e1oE1.pdb2	5e1oB1.pdb2	498.95
2e1qC1.pdb2	2e1qD1.pdb2	2572.15
4e1iK1.pdb1	4e1iC1.pdb1	25.95
4e1iK1.pdb1	4e1iB1.pdb1	72.25
4e1iK1.pdb1	4e1iJ1.pdb1	34.2
4e1iK1.pdb1	4e1iG1.pdb1	36.9
4e1iK1.pdb1	4e1iD1.pdb1	81.05
4e1iK1.pdb1	4e1iL1.pdb1	269.95
4e1iK1.pdb1	4e1iA1.pdb1	161.7
4e1iK1.pdb1	4e1iH1.pdb1	17.1
4e1iC1.pdb1	4e1iE1.pdb1	153.35
4e1iC1.pdb1	4e1iB1.pdb1	42.55
4e1iC1.pdb1	4e1iF1.pdb1	99.4
4e1iC1.pdb1	4e1iG1.pdb1	39.35
4e1iC1.pdb1	4e1iD1.pdb1	275.65
4e1iC1.pdb1	4e1iH1.pdb1	75.05
4e1iE1.pdb1	4e1iB1.pdb1	83.1
4e1iE1.pdb1	4e1iF1.pdb1	288.7
4e1iE1.pdb1	4e1iI1.pdb1	35.0
4e1iE1.pdb1	4e1iD1.pdb1	68.15
4e1iE1.pdb1	4e1iA1.pdb1	39.35
4e1iE1.pdb1	4e1iH1.pdb1	32.55
4e1iB1.pdb1	4e1iF1.pdb1	38.25
4e1iB1.pdb1	4e1iD1.pdb1	328.95
4e1iB1.pdb1	4e1iL1.pdb1	22.4
4e1iB1.pdb1	4e1iA1.pdb1	278.75
4e1iB1.pdb1	4e1iH1.pdb1	0.85
4e1iJ1.pdb1	4e1iF1.pdb1	23.1
4e1iJ1.pdb1	4e1iI1.pdb1	279.85
4e1iJ1.pdb1	4e1iG1.pdb1	92.55
4e1iJ1.pdb1	4e1iL1.pdb1	283.4
4e1iJ1.pdb1	4e1iA1.pdb1	40.35
4e1iJ1.pdb1	4e1iH1.pdb1	65.7
4e1iF1.pdb1	4e1iI1.pdb1	61.65
4e1iF1.pdb1	4e1iG1.pdb1	30.25
4e1iF1.pdb1	4e1iD1.pdb1	19.7
4e1iF1.pdb1	4e1iL1.pdb1	20.75
4e1iF1.pdb1	4e1iA1.pdb1	24.65
4e1iF1.pdb1	4e1iH1.pdb1	297.7
4e1iI1.pdb1	4e1iG1.pdb1	134.8
4e1iI1.pdb1	4e1iL1.pdb1	37.7
4e1iI1.pdb1	4e1iA1.pdb1	45.2
4e1iI1.pdb1	4e1iH1.pdb1	87.15
4e1iG1.pdb1	4e1iL1.pdb1	38.95
4e1iG1.pdb1	4e1iH1.pdb1	277.65
4e1iD1.pdb1	4e1iL1.pdb1	30.45
4e1iD1.pdb1	4e1iA1.pdb1	32.5
4e1iD1.pdb1	4e1iH1.pdb1	19.15
4e1iL1.pdb1	4e1iA1.pdb1	109.2
4e1iL1.pdb1	4e1iH1.pdb1	28.05
3e1kM1.pdb4	3e1kO1.pdb4	1851.65
3e1kM1.pdb4	3e1kN1.pdb4	744.1
3e1kO1.pdb4	3e1kP1.pdb4	727.25
3e1yB1.pdb2	3e1yE1.pdb2	481.05
6e1rD1.pdb2	6e1rE1.pdb2	3891.75
6e1rD1.pdb2	6e1rF1.pdb2	3891.3
6e1rE1.pdb2	6e1rF1.pdb2	3898.6
3e1iA1.pdb1	3e1iB1.pdb1	1747.75
3e1iA1.pdb1	3e1iC1.pdb1	683.05
3e1iB1.pdb1	3e1iC1.pdb1	1844.5
3e1iG1.pdb1	3e1iC1.pdb1	350.85
1e1cA1.pdb1	1e1cB1.pdb1	5203.15
2e1dB1.pdb1	2e1dA1.pdb1	867.85
3e1hA1.pdb1	3e1hB1.pdb1	2358.85
3e19D1.pdb4	3e19A1.pdb4	535.4
3e19D1.pdb4	3e19B1.pdb4	190.95
