5zlzI1.pdb1	5zlzE1.pdb1	1223.6
2zl4U1.pdb1	2zl4A1.pdb1	30.35
2zl4U1.pdb1	2zl4G1.pdb1	278.95
2zl4K1.pdb1	2zl4Z1.pdb1	31.05
2zl4K1.pdb1	2zl4L1.pdb1	1111.6
2zl4K1.pdb1	2zl4E1.pdb1	110.1
2zl4K1.pdb1	2zl4J1.pdb1	1097.0
2zl4K1.pdb1	2zl4Y1.pdb1	274.85
2zl4K1.pdb1	2zl4C1.pdb1	26.35
2zl4K1.pdb1	2zl4D1.pdb1	771.8
2zl4P1.pdb1	2zl4B1.pdb1	280.45
2zl4P1.pdb1	2zl4C1.pdb1	32.85
2zl4M1.pdb1	2zl4L1.pdb1	1100.25
2zl4M1.pdb1	2zl4E1.pdb1	29.8
2zl4M1.pdb1	2zl4F1.pdb1	759.2
2zl4M1.pdb1	2zl4N1.pdb1	1086.95
2zl4M1.pdb1	2zl411.pdb1	289.4
2zl4M1.pdb1	2zl4G1.pdb1	106.05
2zl4M1.pdb1	2zl421.pdb1	30.05
2zl4B1.pdb1	2zl4J1.pdb1	32.7
2zl4B1.pdb1	2zl4H1.pdb1	114.85
2zl4B1.pdb1	2zl4C1.pdb1	1123.4
2zl4B1.pdb1	2zl4I1.pdb1	771.9
2zl4B1.pdb1	2zl4O1.pdb1	23.2
2zl4B1.pdb1	2zl4A1.pdb1	1116.3
2zl4Z1.pdb1	2zl4L1.pdb1	286.1
2zl4X1.pdb1	2zl4J1.pdb1	283.35
2zl4X1.pdb1	2zl4I1.pdb1	31.45
2zl4L1.pdb1	2zl4E1.pdb1	765.0
2zl4L1.pdb1	2zl4F1.pdb1	109.45
2zl4L1.pdb1	2zl411.pdb1	25.55
2zl4L1.pdb1	2zl4D1.pdb1	21.05
2zl4R1.pdb1	2zl4E1.pdb1	31.75
2zl4R1.pdb1	2zl4D1.pdb1	277.1
2zl4V1.pdb1	2zl4H1.pdb1	281.55
2zl4V1.pdb1	2zl4N1.pdb1	26.5
2zl4E1.pdb1	2zl4F1.pdb1	1122.9
2zl4E1.pdb1	2zl4S1.pdb1	273.4
2zl4E1.pdb1	2zl4D1.pdb1	1102.1
2zl4F1.pdb1	2zl4S1.pdb1	37.25
2zl4F1.pdb1	2zl4N1.pdb1	21.45
2zl4F1.pdb1	2zl4T1.pdb1	282.8
2zl4F1.pdb1	2zl4G1.pdb1	1124.15
2zl4J1.pdb1	2zl4Y1.pdb1	25.6
2zl4J1.pdb1	2zl4C1.pdb1	776.65
2zl4J1.pdb1	2zl4I1.pdb1	1111.75
2zl4J1.pdb1	2zl4D1.pdb1	108.4
2zl4H1.pdb1	2zl4W1.pdb1	38.65
2zl4H1.pdb1	2zl4N1.pdb1	1118.95
2zl4H1.pdb1	2zl4I1.pdb1	1126.85
2zl4H1.pdb1	2zl4A1.pdb1	764.9
2zl4H1.pdb1	2zl4G1.pdb1	20.9
2zl4Q1.pdb1	2zl4C1.pdb1	282.3
2zl4Q1.pdb1	2zl4D1.pdb1	31.75
2zl4W1.pdb1	2zl4I1.pdb1	280.95
2zl4N1.pdb1	2zl4A1.pdb1	110.0
2zl4N1.pdb1	2zl4G1.pdb1	766.8
2zl4N1.pdb1	2zl421.pdb1	273.5
2zl4C1.pdb1	2zl4I1.pdb1	110.95
2zl4C1.pdb1	2zl4D1.pdb1	1108.95
2zl4I1.pdb1	2zl4A1.pdb1	29.4
2zl4O1.pdb1	2zl4A1.pdb1	283.85
2zl4T1.pdb1	2zl4G1.pdb1	32.7
2zl4A1.pdb1	2zl4G1.pdb1	1128.55
5zl6D1.pdb2	5zl6C1.pdb2	2546.75
4zloB1.pdb2	4zloA1.pdb2	477.8
3zllC1.pdb1	3zllB1.pdb1	1236.05
3zllC1.pdb1	3zllA1.pdb1	437.35
