3ihjA2.pdb2	3ihjA1.pdb2	3248.05
4ihiA2.pdb1	4ihiA1.pdb1	4164.95
6ihkB1.pdb1	6ihkA2.pdb1	3254.8
5ihhA1.pdb1	5ihhA2.pdb1	421.8
5ihhA1.pdb1	5ihhB2.pdb1	351.45
5ihhA1.pdb1	5ihhB1.pdb1	902.05
5ihhA2.pdb1	5ihhB2.pdb1	902.05
5ihhA2.pdb1	5ihhB1.pdb1	351.45
5ihhB2.pdb1	5ihhB1.pdb1	448.9
5ih2B1.pdb2	5ih2N1.pdb2	466.55
3ih8A1.pdb1	3ih8A2.pdb1	3812.2
4ihjA1.pdb1	4ihjE1.pdb1	1607.95
4ihjA1.pdb1	4ihjF1.pdb1	996.05
4ihjA1.pdb1	4ihjB1.pdb1	1412.6
4ihjD1.pdb1	4ihjE1.pdb1	692.4
4ihjD1.pdb1	4ihjC1.pdb1	1369.65
4ihjE1.pdb1	4ihjC1.pdb1	790.3
4ihjE1.pdb1	4ihjB1.pdb1	662.75
4ihjF1.pdb1	4ihjB1.pdb1	437.95
4ihjC1.pdb1	4ihjB1.pdb1	907.35
6ihhA1.pdb1	6ihhB1.pdb1	1543.85
6ihhA1.pdb1	6ihhA2.pdb1	156.9
6ihhA1.pdb1	6ihhB2.pdb1	1496.1
6ihhB1.pdb1	6ihhA2.pdb1	1496.15
6ihhB1.pdb1	6ihhB2.pdb1	156.8
6ihhA2.pdb1	6ihhB2.pdb1	1543.9
4ihfB1.pdb2	4ihfC1.pdb2	2995.9
4ihfB1.pdb2	4ihfA1.pdb2	2988.85
4ihfB1.pdb2	4ihfI1.pdb2	30.8
4ihfB1.pdb2	4ihfJ1.pdb2	235.05
4ihfB1.pdb2	4ihfL1.pdb2	347.7
4ihfC1.pdb2	4ihfA1.pdb2	3027.0
4ihfC1.pdb2	4ihfI1.pdb2	237.4
4ihfC1.pdb2	4ihfJ1.pdb2	308.3
4ihfC1.pdb2	4ihfL1.pdb2	31.45
4ihfA1.pdb2	4ihfI1.pdb2	391.7
4ihfA1.pdb2	4ihfJ1.pdb2	75.6
4ihfA1.pdb2	4ihfL1.pdb2	267.75
4ihfK1.pdb3	4ihfF1.pdb3	233.45
4ihfK1.pdb3	4ihfD1.pdb3	340.3
4ihfK1.pdb3	4ihfE1.pdb3	46.75
4ihfK1.pdb3	4ihfL1.pdb3	42.8
4ihfK1.pdb3	4ihfA1.pdb3	32.4
4ihfF1.pdb3	4ihfD1.pdb3	3059.1
4ihfF1.pdb3	4ihfC1.pdb3	148.45
4ihfF1.pdb3	4ihfE1.pdb3	3050.0
4ihfF1.pdb3	4ihfH1.pdb3	61.95
4ihfF1.pdb3	4ihfG1.pdb3	311.4
4ihfF1.pdb3	4ihfL1.pdb3	33.3
4ihfD1.pdb3	4ihfC1.pdb3	214.25
4ihfD1.pdb3	4ihfE1.pdb3	3050.75
4ihfD1.pdb3	4ihfH1.pdb3	221.7
4ihfD1.pdb3	4ihfG1.pdb3	29.9
4ihfC1.pdb3	4ihfI1.pdb3	237.4
4ihfC1.pdb3	4ihfL1.pdb3	31.45
4ihfC1.pdb3	4ihfJ1.pdb3	308.3
4ihfC1.pdb3	4ihfA1.pdb3	3027.0
4ihfC1.pdb3	4ihfB1.pdb3	2995.9
4ihfI1.pdb3	4ihfA1.pdb3	391.7
4ihfI1.pdb3	4ihfB1.pdb3	30.8
4ihfE1.pdb3	4ihfH1.pdb3	352.8
4ihfE1.pdb3	4ihfG1.pdb3	207.1
4ihfE1.pdb3	4ihfA1.pdb3	102.9
4ihfE1.pdb3	4ihfB1.pdb3	220.55
4ihfL1.pdb3	4ihfA1.pdb3	267.75
4ihfL1.pdb3	4ihfB1.pdb3	347.7
4ihfJ1.pdb3	4ihfA1.pdb3	75.6
4ihfJ1.pdb3	4ihfB1.pdb3	235.05
4ihfA1.pdb3	4ihfB1.pdb3	2988.85
5ihbD1.pdb1	5ihbA1.pdb1	855.95
4ihhA1.pdb1	4ihhH1.pdb1	296.8
4ihhA1.pdb1	4ihhB1.pdb1	3046.0
4ihhA1.pdb1	4ihhC1.pdb1	3051.55
4ihhA1.pdb1	4ihhL1.pdb1	123.65
4ihhA1.pdb1	4ihhG1.pdb1	32.1
4ihhH1.pdb1	4ihhB1.pdb1	119.25
4ihhH1.pdb1	4ihhC1.pdb1	24.0
4ihhB1.pdb1	4ihhC1.pdb1	3049.4
4ihhB1.pdb1	4ihhL1.pdb1	27.2
4ihhB1.pdb1	4ihhG1.pdb1	334.05
4ihhC1.pdb1	4ihhL1.pdb1	283.55
4ihhC1.pdb1	4ihhG1.pdb1	240.7
4ihhE1.pdb2	4ihhK1.pdb2	40.8
4ihhE1.pdb2	4ihhI1.pdb2	161.65
4ihhE1.pdb2	4ihhD1.pdb2	3082.8
4ihhE1.pdb2	4ihhF1.pdb2	3040.65
4ihhE1.pdb2	4ihhJ1.pdb2	372.3
4ihhK1.pdb2	4ihhD1.pdb2	219.6
4ihhK1.pdb2	4ihhF1.pdb2	322.25
4ihhI1.pdb2	4ihhD1.pdb2	265.9
4ihhI1.pdb2	4ihhF1.pdb2	20.35
4ihhD1.pdb2	4ihhF1.pdb2	3077.85
4ihhD1.pdb2	4ihhJ1.pdb2	30.9
4ihhF1.pdb2	4ihhJ1.pdb2	240.0
5ihzE1.pdb3	5ihzF1.pdb3	1519.85
4iheA2.pdb1	4iheA1.pdb1	1819.3
3ih4A1.pdb1	3ih4A2.pdb1	1316.6
6ih6D2.pdb1	6ih6A1.pdb1	3054.9
5ihlH1.pdb4	5ihlI1.pdb4	788.55
6ihjC1.pdb2	6ihjD1.pdb2	1464.35
5ihxA1.pdb1	5ihxB2.pdb1	1195.7
3ihkB1.pdb2	3ihkC1.pdb2	1576.5
2ihsA1.pdb1	2ihsC1.pdb1	612.75
2ihsD1.pdb2	2ihsB1.pdb2	744.45
4ihgH1.pdb1	4ihgC1.pdb1	235.6
4ihgH1.pdb1	4ihgA1.pdb1	387.1
4ihgH1.pdb1	4ihgB1.pdb1	33.5
4ihgC1.pdb1	4ihgI1.pdb1	95.05
4ihgC1.pdb1	4ihgA1.pdb1	3061.6
4ihgC1.pdb1	4ihgG1.pdb1	343.3
4ihgC1.pdb1	4ihgB1.pdb1	3063.8
4ihgI1.pdb1	4ihgA1.pdb1	187.3
4ihgI1.pdb1	4ihgB1.pdb1	324.0
4ihgA1.pdb1	4ihgG1.pdb1	70.7
4ihgA1.pdb1	4ihgB1.pdb1	3083.3
4ihgG1.pdb1	4ihgB1.pdb1	176.55
3ih9A1.pdb1	3ih9A2.pdb1	4480.2
3ihpD1.pdb2	3ihpB1.pdb2	2113.8
5ihfA1.pdb1	5ihfB1.pdb1	1404.6
1ihpA2.pdb2	1ihpA5.pdb2	482.3
1ihpA2.pdb2	1ihpA3.pdb2	484.65
1ihpA2.pdb2	1ihpA1.pdb2	484.7
1ihpA2.pdb2	1ihpA6.pdb2	296.1
1ihpA5.pdb2	1ihpA3.pdb2	296.1
1ihpA5.pdb2	1ihpA6.pdb2	484.65
1ihpA5.pdb2	1ihpA4.pdb2	484.7
1ihpA3.pdb2	1ihpA1.pdb2	484.7
1ihpA3.pdb2	1ihpA4.pdb2	482.25
1ihpA1.pdb2	1ihpA6.pdb2	482.3
1ihpA1.pdb2	1ihpA4.pdb2	296.2
1ihpA6.pdb2	1ihpA4.pdb2	484.7
2ihcB1.pdb1	2ihcA1.pdb1	1676.6
5ihyB1.pdb1	5ihyA1.pdb1	1105.4
4ihuB1.pdb2	4ihuB2.pdb2	584.4
1ihrA1.pdb1	1ihrB1.pdb1	3103.55
3ihpA1.pdb1	3ihpC1.pdb1	2148.15
4ihdA1.pdb3	4ihdA2.pdb3	1699.4
4ihdA1.pdb3	4ihdB1.pdb3	1275.7
4ihdA1.pdb3	4ihdB2.pdb3	494.3
4ihdA2.pdb3	4ihdB1.pdb3	494.3
4ihdA2.pdb3	4ihdB2.pdb3	1275.7
4ihdB1.pdb3	4ihdB2.pdb3	1727.1
4ihzB2.pdb3	4ihzA1.pdb3	382.05
4iheB2.pdb2	4iheB1.pdb2	1781.2
2ihvC1.pdb1	2ihvA1.pdb1	983.65
2ihvC1.pdb1	2ihvB1.pdb1	211.1
2ihvC1.pdb1	2ihvD1.pdb1	3767.85
2ihvA1.pdb1	2ihvB1.pdb1	3858.95
2ihvA1.pdb1	2ihvD1.pdb1	209.4
2ihvB1.pdb1	2ihvD1.pdb1	977.75
6ih8D1.pdb2	6ih8A1.pdb2	3074.7
1ihoA1.pdb1	1ihoB1.pdb1	1169.55
6ih8D1.pdb1	6ih8A1.pdb1	3074.7
6ih8D1.pdb1	6ih8B1.pdb1	1057.55
6ih8C1.pdb1	6ih8A1.pdb1	829.8
6ih8A1.pdb1	6ih8B1.pdb1	47.3
4ihdB2.pdb2	4ihdB1.pdb2	1727.1
3ihbB2.pdb2	3ihbB1.pdb2	4506.25
1ihtH1.pdb1	1ihtI1.pdb1	565.85
1ihtH1.pdb1	1ihtL1.pdb1	1126.75
1ihkA1.pdb1	1ihkA2.pdb1	1214.1
3ihrA2.pdb1	3ihrA3.pdb1	292.2
3ihrA2.pdb1	3ihrA4.pdb1	393.1
3ihrA2.pdb1	3ihrA1.pdb1	1677.3
3ihrA3.pdb1	3ihrA4.pdb1	1677.3
3ihrA3.pdb1	3ihrA1.pdb1	393.1
3ihrA4.pdb1	3ihrA1.pdb1	292.2
5ihlG1.pdb3	5ihlF1.pdb3	821.7
4ihiA2.pdb3	4ihiA1.pdb3	1614.4
4ihnB1.pdb1	4ihnA1.pdb1	761.1
6ih1C1.pdb1	6ih1A1.pdb1	1033.5
6iheB1.pdb1	6iheA1.pdb1	963.15
6iheB1.pdb1	6iheA2.pdb1	254.55
6iheB1.pdb1	6iheB2.pdb1	2136.4
6iheA1.pdb1	6iheA2.pdb1	2133.5
6iheA1.pdb1	6iheB2.pdb1	254.55
6iheA2.pdb1	6iheB2.pdb1	963.2
5ihbC1.pdb2	5ihbB2.pdb2	866.35
4ihlA1.pdb1	4ihlP1.pdb1	473.0
4ihlA1.pdb1	4ihlB1.pdb1	909.4
4ihlP1.pdb1	4ihlB1.pdb1	533.55
2ihwH3.pdb1	2ihwH1.pdb1	1443.0
2ihwH3.pdb1	2ihwH2.pdb1	1443.0
2ihwH3.pdb1	2ihwE2.pdb1	1123.25
2ihwD1.pdb1	2ihwE1.pdb1	1456.8
2ihwD1.pdb1	2ihwF1.pdb1	1445.75
2ihwD1.pdb1	2ihwB3.pdb1	1134.7
2ihwD2.pdb1	2ihwF2.pdb1	1445.8
2ihwD2.pdb1	2ihwE2.pdb1	1456.9
2ihwD2.pdb1	2ihwB1.pdb1	1134.65
2ihwE1.pdb1	2ihwF1.pdb1	1439.05
2ihwE1.pdb1	2ihwH2.pdb1	1123.2
2ihwF3.pdb1	2ihwA3.pdb1	1111.0
2ihwF3.pdb1	2ihwE3.pdb1	1439.05
2ihwF3.pdb1	2ihwD3.pdb1	1445.75
2ihwF2.pdb1	2ihwA2.pdb1	1111.0
2ihwF2.pdb1	2ihwE2.pdb1	1439.1
2ihwG2.pdb1	2ihwC3.pdb1	1141.9
