3fwvC1.pdb1	3fwvA1.pdb1	504.5
2fwvA2.pdb1	2fwvA1.pdb1	2084.5
5fwtA1.pdb1	5fwtA2.pdb1	857.25
1fw1A2.pdb1	1fw1A1.pdb1	1515.1
3fwrA1.pdb1	3fwrB1.pdb1	1841.8
4fw1B1.pdb1	4fw1A1.pdb1	1700.3
5fwyB1.pdb1	5fwyA1.pdb1	1404.35
5fw2A1.pdb1	5fw2B1.pdb1	6145.35
5fw2A1.pdb1	5fw2C1.pdb1	975.5
5fw2B1.pdb1	5fw2D1.pdb1	674.35
5fw2B1.pdb1	5fw2C1.pdb1	1706.5
5fw2D1.pdb1	5fw2C1.pdb1	421.25
6fw0B1.pdb1	6fw0A1.pdb1	2071.4
1fwjC3.pdb1	1fwjC2.pdb1	2305.4
1fwjC3.pdb1	1fwjB3.pdb1	1728.2
1fwjC3.pdb1	1fwjC1.pdb1	2310.7
1fwjC3.pdb1	1fwjA2.pdb1	1506.3
1fwjC3.pdb1	1fwjB2.pdb1	862.55
1fwjC3.pdb1	1fwjA3.pdb1	932.15
1fwjC2.pdb1	1fwjB1.pdb1	861.65
1fwjC2.pdb1	1fwjA1.pdb1	1503.85
1fwjC2.pdb1	1fwjC1.pdb1	2304.4
1fwjC2.pdb1	1fwjA2.pdb1	933.1
1fwjC2.pdb1	1fwjB2.pdb1	1725.0
1fwjB1.pdb1	1fwjA1.pdb1	155.75
1fwjB1.pdb1	1fwjC1.pdb1	1725.05
1fwjA1.pdb1	1fwjC1.pdb1	934.2
1fwjA1.pdb1	1fwjA2.pdb1	676.6
1fwjA1.pdb1	1fwjA3.pdb1	677.25
1fwjB3.pdb1	1fwjC1.pdb1	861.9
1fwjB3.pdb1	1fwjA3.pdb1	156.1
1fwjC1.pdb1	1fwjA3.pdb1	1505.0
1fwjA2.pdb1	1fwjB2.pdb1	155.95
1fwjA2.pdb1	1fwjA3.pdb1	676.1
4fwrA1.pdb1	4fwrA2.pdb1	3153.0
6fw8A1.pdb1	6fw8B1.pdb1	656.55
5fwaA1.pdb1	5fwaA2.pdb1	1584.2
1fwkB1.pdb1	1fwkA1.pdb1	1439.2
3fwbA1.pdb1	3fwbB1.pdb1	1445.35
3fwbA1.pdb1	3fwbC1.pdb1	141.95
3fwbB1.pdb1	3fwbC1.pdb1	1592.7
4fw9A2.pdb1	4fw9A6.pdb1	2666.5
4fw9A2.pdb1	4fw9A4.pdb1	2666.45
4fw9A6.pdb1	4fw9A1.pdb1	2666.55
4fw9A1.pdb1	4fw9A5.pdb1	2666.45
4fw9A4.pdb1	4fw9A3.pdb1	2666.55
4fw9A3.pdb1	4fw9A5.pdb1	2666.5
2fwaA6.pdb2	2fwaB6.pdb2	1606.5
2fwaA6.pdb2	2fwaA8.pdb2	616.3
2fwaA6.pdb2	2fwaA5.pdb2	1.4
2fwaA6.pdb2	2fwaA7.pdb2	616.3
2fwaA6.pdb2	2fwaB8.pdb2	1018.05
2fwaA4.pdb2	2fwaB4.pdb2	1606.5
2fwaA4.pdb2	2fwaA1.pdb2	616.3
2fwaA4.pdb2	2fwaA2.pdb2	616.3
2fwaA4.pdb2	2fwaA3.pdb2	1.4
2fwaA4.pdb2	2fwaB1.pdb2	1018.05
2fwaB7.pdb2	2fwaB3.pdb2	182.5
2fwaB7.pdb2	2fwaB6.pdb2	668.05
2fwaB7.pdb2	2fwaB5.pdb2	668.05
2fwaB7.pdb2	2fwaA5.pdb2	1018.05
2fwaB7.pdb2	2fwaB2.pdb2	33.25
2fwaB7.pdb2	2fwaA7.pdb2	1606.5
2fwaB7.pdb2	2fwaB1.pdb2	215.85
2fwaB3.pdb2	2fwaB6.pdb2	33.25
2fwaB3.pdb2	2fwaB5.pdb2	215.85
2fwaB3.pdb2	2fwaA1.pdb2	1018.05
2fwaB3.pdb2	2fwaB2.pdb2	668.05
2fwaB3.pdb2	2fwaA3.pdb2	1606.5
2fwaB3.pdb2	2fwaB1.pdb2	668.05
2fwaB6.pdb2	2fwaB4.pdb2	215.85
2fwaB6.pdb2	2fwaA7.pdb2	1018.05
2fwaB6.pdb2	2fwaB1.pdb2	182.5
2fwaB6.pdb2	2fwaB8.pdb2	668.05
2fwaB5.pdb2	2fwaB4.pdb2	33.25
2fwaB5.pdb2	2fwaA8.pdb2	1018.05
2fwaB5.pdb2	2fwaA5.pdb2	1606.5
2fwaB5.pdb2	2fwaB2.pdb2	182.5
2fwaB5.pdb2	2fwaB8.pdb2	668.05
2fwaB4.pdb2	2fwaB2.pdb2	668.05
2fwaB4.pdb2	2fwaA2.pdb2	1018.05
2fwaB4.pdb2	2fwaB1.pdb2	668.05
2fwaB4.pdb2	2fwaB8.pdb2	182.5
2fwaA8.pdb2	2fwaA5.pdb2	616.3
2fwaA8.pdb2	2fwaA7.pdb2	1.4
2fwaA8.pdb2	2fwaB8.pdb2	1606.5
2fwaA5.pdb2	2fwaA7.pdb2	616.3
2fwaA1.pdb2	2fwaA2.pdb2	1.4
2fwaA1.pdb2	2fwaA3.pdb2	616.3
2fwaA1.pdb2	2fwaB1.pdb2	1606.5
2fwaB2.pdb2	2fwaA2.pdb2	1606.5
2fwaB2.pdb2	2fwaA3.pdb2	1018.05
2fwaB2.pdb2	2fwaB8.pdb2	215.85
2fwaA2.pdb2	2fwaA3.pdb2	616.3
2fwaB1.pdb2	2fwaB8.pdb2	33.25
5fweD1.pdb1	5fweB1.pdb1	165.1
5fw8B1.pdb2	5fw8A4.pdb2	329.1
5fw8B1.pdb2	5fw8A3.pdb2	908.0
5fw8B1.pdb2	5fw8B2.pdb2	424.85
5fw8A4.pdb2	5fw8A3.pdb2	398.05
5fw8A4.pdb2	5fw8B2.pdb2	907.9
5fw8A3.pdb2	5fw8B2.pdb2	329.05
5fw5B1.pdb1	5fw5A1.pdb1	1284.6
5fw5B1.pdb1	5fw5C2.pdb1	765.95
5fw5B1.pdb1	5fw5A2.pdb1	0.15
5fw5C1.pdb1	5fw5A1.pdb1	750.1
5fw5B2.pdb1	5fw5A2.pdb1	1284.55
5fw5C2.pdb1	5fw5A2.pdb1	750.1
6fwkC1.pdb2	6fwkB1.pdb2	587.15
6fwkC1.pdb2	6fwkD1.pdb2	448.4
6fwkB1.pdb2	6fwkD1.pdb2	1234.8
1fwdA2.pdb1	1fwdC1.pdb1	0.05
1fwdA2.pdb1	1fwdC3.pdb1	1507.85
1fwdA2.pdb1	1fwdC2.pdb1	928.55
1fwdA2.pdb1	1fwdB2.pdb1	156.35
1fwdA2.pdb1	1fwdA3.pdb1	673.8
1fwdA2.pdb1	1fwdA1.pdb1	674.1
1fwdB3.pdb1	1fwdC1.pdb1	857.6
1fwdB3.pdb1	1fwdC3.pdb1	1740.1
1fwdB3.pdb1	1fwdA3.pdb1	156.05
1fwdC1.pdb1	1fwdC3.pdb1	2315.8
1fwdC1.pdb1	1fwdC2.pdb1	2313.55
1fwdC1.pdb1	1fwdB1.pdb1	1736.7
1fwdC1.pdb1	1fwdA3.pdb1	1507.55
1fwdC1.pdb1	1fwdA1.pdb1	928.7
1fwdC3.pdb1	1fwdC2.pdb1	2314.55
1fwdC3.pdb1	1fwdB2.pdb1	859.25
1fwdC3.pdb1	1fwdA3.pdb1	929.35
1fwdC2.pdb1	1fwdB1.pdb1	858.75
1fwdC2.pdb1	1fwdB2.pdb1	1736.5
1fwdC2.pdb1	1fwdA1.pdb1	1505.7
1fwdB1.pdb1	1fwdA1.pdb1	155.8
1fwdA3.pdb1	1fwdA1.pdb1	674.2
1fwhB3.pdb1	1fwhC3.pdb1	1738.1
1fwhB3.pdb1	1fwhA3.pdb1	156.2
1fwhB3.pdb1	1fwhC1.pdb1	781.15
1fwhC2.pdb1	1fwhC3.pdb1	2172.5
1fwhC2.pdb1	1fwhB1.pdb1	782.95
1fwhC2.pdb1	1fwhC1.pdb1	2171.05
1fwhC2.pdb1	1fwhA1.pdb1	1537.75
1fwhC2.pdb1	1fwhB2.pdb1	1735.4
1fwhC2.pdb1	1fwhA2.pdb1	931.95
1fwhC3.pdb1	1fwhA3.pdb1	933.3
1fwhC3.pdb1	1fwhC1.pdb1	2172.65
1fwhC3.pdb1	1fwhB2.pdb1	784.0
1fwhC3.pdb1	1fwhA2.pdb1	1536.55
1fwhA3.pdb1	1fwhC1.pdb1	1541.7
