1rdqE1.pdb1	1rdqI1.pdb1
1jbuX1.pdb1	1jbuH1.pdb1
5fmkB1.pdb1	5fmkA1.pdb1
3jb6B1.pdb1	3jb6C1.pdb1
5jbtY1.pdb1	5jbtX1.pdb1
3jbqX1.pdb1	3jbqF1.pdb1
5ixfA1.pdb1	5ixfB1.pdb1
3ixtA1.pdb2	3ixtC1.pdb2
6ixqA1.pdb1	6ixqB1.pdb1
5ixdB1.pdb1	5ixdA1.pdb1
2okrA1.pdb1	2okrC1.pdb1
6ixpF1.pdb2	6ixpD1.pdb2
6ixpE1.pdb2	6ixpD1.pdb2
6bd2A1.pdb1	6bd2C1.pdb1
2qmeI2.pdb2	2qmeA2.pdb2
4pbzB1.pdb1	4pbzA1.pdb1
4tt3E1.pdb1	4tt3J1.pdb1
6bfcB1.pdb2	6bfcb1.pdb2
1tt5B1.pdb1	1tt5E1.pdb1
1ttwB2.pdb1	1ttwA2.pdb1
6njgB1.pdb1	6njgC1.pdb1
1kkqD1.pdb4	1kkqH1.pdb4
5fn3G1.pdb1	5fn3B1.pdb1
5oakC1.pdb2	5oakD1.pdb2
5hjsA1.pdb1	5hjsC1.pdb1
1oauO1.pdb4	1oauK1.pdb4
5oavD1.pdb2	5oavC1.pdb2
6igkA1.pdb1	6igkB1.pdb1
5glfC1.pdb2	5glfD1.pdb2
3glwZ3.pdb1	3glwA3.pdb1
3sl9D1.pdb2	3sl9B1.pdb2
4glyA1.pdb1	4glyB1.pdb1
5g05G1.pdb1	5g05J1.pdb1
5khuN1.pdb1	5khuB1.pdb1
1zhlA1.pdb1	1zhlC1.pdb1
3izoB1.pdb1	3izoF1.pdb1
2izxB1.pdb1	2izxC1.pdb1
5izuA1.pdb1	5izuB1.pdb1
4tk1C1.pdb1	4tk1A1.pdb1
5tgiD1.pdb2	5tgiB1.pdb2
6bqtJ1.pdb4	6bqtL1.pdb4
3bqoA1.pdb1	3bqoB1.pdb1
4bqdC1.pdb1	4bqdA1.pdb1
4bq6C1.pdb2	4bq6D1.pdb2
4bqkD1.pdb1	4bqkA1.pdb1
4okfB1.pdb1	4okfA1.pdb1
4no2C1.pdb1	4no2A1.pdb1
6f6dA1.pdb1	6f6dB1.pdb1
4h62Q1.pdb1	4h62K1.pdb1
4h62Q1.pdb1	4h62V1.pdb1
2bvoC1.pdb1	2bvoA1.pdb1
2hjlC1.pdb1	2hjlA1.pdb1
6mq2E1.pdb1	6mq2D1.pdb1
3mqpB1.pdb1	3mqpA1.pdb1
3juaH1.pdb4	3juaG1.pdb4
2rl0E1.pdb3	2rl0D1.pdb3
1srnA1.pdb1	1srnB1.pdb1
6rlxD1.pdb1	6rlxB1.pdb1
6rlxB1.pdb1	6rlxA1.pdb1
2bbaA1.pdb1	2bbaP1.pdb1
5o8kB1.pdb1	5o8kA1.pdb1
2o8mC1.pdb1	2o8mA1.pdb1
6o8cA1.pdb1	6o8cD1.pdb1
4fbwC1.pdb3	4fbwA1.pdb3
1sbwI1.pdb1	1sbwA1.pdb1
4g9jC1.pdb1	4g9jA1.pdb1
2g9hC1.pdb1	2g9hB1.pdb1
6d01I1.pdb1	6d01C1.pdb1
5b56F1.pdb1	5b56B1.pdb1
6d94A1.pdb1	6d94B1.pdb1
4n3bB1.pdb1	4n3bA1.pdb1
2n3kB1.pdb1	2n3kA1.pdb1
5e0lA1.pdb1	5e0lC1.pdb1
1yk0A1.pdb1	1yk0E1.pdb1
5t6yA1.pdb1	5t6yC1.pdb1
3sjhB1.pdb1	3sjhA1.pdb1
5lihA1.pdb1	5lihF1.pdb1
3gmeA3.pdb1	3gmeD3.pdb1
2c5wA1.pdb1	2c5wB1.pdb1
3ra3B1.pdb1	3ra3A1.pdb1
4ralA1.pdb1	4ralD1.pdb1
3lrhB1.pdb1	3lrhA1.pdb1
5okzJ1.pdb2	5okzG1.pdb2
5ok6D1.pdb1	5ok6A1.pdb1
4oktB1.pdb1	4oktA1.pdb1
4dk7C1.pdb1	4dk7D1.pdb1
5vx0B1.pdb1	5vx0A1.pdb1
2vwfA1.pdb1	2vwfB1.pdb1
2lr1B1.pdb1	2lr1A1.pdb1
5u1gK1.pdb1	5u1gD1.pdb1
3u1jB1.pdb1	3u1jA1.pdb1
1br8P2.pdb3	1br8I2.pdb3
2br8B1.pdb1	2br8F1.pdb1
2brqC1.pdb1	2brqA1.pdb1
5brmA1.pdb1	5brmG1.pdb1
4zbjD1.pdb1	4zbjB1.pdb1
2g49C1.pdb1	2g49A1.pdb1
5w93E1.pdb2	5w93B1.pdb2
1ed3C1.pdb1	1ed3A1.pdb1
3up0A1.pdb1	3up0P1.pdb1
2bp3B1.pdb2	2bp3S1.pdb2
2qn6A1.pdb1	2qn6C1.pdb1
2m04A1.pdb1	2m04B1.pdb1
1qgrB1.pdb1	1qgrA1.pdb1
5j7jA1.pdb1	5j7jB1.pdb1
2j7xA1.pdb1	2j7xB1.pdb1
2lueA1.pdb1	2lueB1.pdb1
5lutK1.pdb1	5lutJ2.pdb1
3lu9C1.pdb1	3lu9B1.pdb1
6e5xB1.pdb1	6e5xA1.pdb1
2kqsA1.pdb1	2kqsB1.pdb1
5kq4C1.pdb1	5kq4A1.pdb1
2kqfB1.pdb1	2kqfA1.pdb1
4geqC1.pdb2	4geqE1.pdb2
4a1gG1.pdb3	4a1gC1.pdb3
4a1uB1.pdb1	4a1uA1.pdb1
4a1xC1.pdb1	4a1xA1.pdb1
3a0mF1.pdb2	3a0mE1.pdb2
4tqeH1.pdb1	4tqeA1.pdb1
6czoA1.pdb1	6czoB1.pdb1
4w8pB1.pdb1	4w8pA1.pdb1
6ej9B1.pdb1	6ej9A1.pdb1
2w85A1.pdb1	2w85B1.pdb1
5w89A1.pdb1	5w89B1.pdb1
6jx3B1.pdb1	6jx3A1.pdb1
4i33D1.pdb2	4i33B1.pdb2
2oslQ1.pdb2	2oslA1.pdb2
5osiD1.pdb2	5osiF1.pdb2
1osgF1.pdb2	1osgL1.pdb2
6oswA1.pdb1	6oswB1.pdb1
4g1aC1.pdb1	4g1aB1.pdb1
6atkC1.pdb3	6atkF1.pdb3
1xn3C1.pdb3	1xn3I1.pdb3
6nfjC1.pdb1	6nfjA1.pdb1
4cayB1.pdb1	4cayC1.pdb1
4r6rE1.pdb3	4r6rF1.pdb3
6p07C1.pdb1	6p07G1.pdb1
4oykB1.pdb2	4oykD1.pdb2
4afjB1.pdb2	4afjY1.pdb2
3ox7P1.pdb1	3ox7U1.pdb1
2hwnD1.pdb2	2hwnF1.pdb2
4cimA1.pdb2	4cimP1.pdb2
2hwlD1.pdb1	2hwlP1.pdb1
3si5X1.pdb1	3si5A1.pdb1
4en2E1.pdb2	4en2A1.pdb2
2emtD1.pdb2	2emtB1.pdb2
2emsA1.pdb1	2emsB1.pdb1
1emuA1.pdb1	1emuB1.pdb1
2lxsA1.pdb1	2lxsB1.pdb1
4kp3A1.pdb1	4kp3E1.pdb1
5y59C1.pdb1	5y59B1.pdb1
2y5tE1.pdb1	2y5tG1.pdb1
5y5aB1.pdb1	5y5aA1.pdb1
3rgvC1.pdb1	3rgvE1.pdb1
1h2kA2.pdb1	1h2kS2.pdb1
1d8dP1.pdb1	1d8dB1.pdb1
4p6zT1.pdb1	4p6zM1.pdb1
5oxwD1.pdb4	5oxwG1.pdb4
6mbkA1.pdb1	6mbkY1.pdb1
6j8nC1.pdb2	6j8nD1.pdb2
2mzdB1.pdb1	2mzdA1.pdb1
5ycaC1.pdb1	5ycaA1.pdb1
5yc2B1.pdb1	5yc2A1.pdb1
1dt7X1.pdb1	1dt7A1.pdb1
1i4oA1.pdb1	1i4oC1.pdb1
6gk7A1.pdb1	6gk7H1.pdb1
5fmjB2.pdb1	5fmjA2.pdb1
5gk9A1.pdb1	5gk9B1.pdb1
4b1wM1.pdb1	4b1wB1.pdb1
1f4vD1.pdb1	1f4vA1.pdb1
6gg7B1.pdb1	6gg7C1.pdb1
4b18B1.pdb1	4b18A1.pdb1
3ujiP1.pdb1	3ujiH1.pdb1
5b1zD1.pdb1	5b1zB1.pdb1
6fzfC1.pdb1	6fzfA1.pdb1
5igqA1.pdb1	5igqU1.pdb1
5sxpG1.pdb1	5sxpC1.pdb1
1p4bP1.pdb1	1p4bH1.pdb1
3plvC1.pdb1	3plvA1.pdb1
5ls7A4.pdb1	5ls7D4.pdb1
1n12D1.pdb2	1n12C1.pdb2
2n1gA1.pdb1	2n1gB1.pdb1
5n10C1.pdb1	5n10A1.pdb1
2qyfA1.pdb1	2qyfE1.pdb1
5v6yG1.pdb3	5v6yC1.pdb3
3v62B1.pdb1	3v62C1.pdb1
4hsuA1.pdb1	4hsuB1.pdb1
4xodB1.pdb1	4xodA1.pdb1
3kv4A1.pdb1	3kv4B1.pdb1
4xgzj1.pdb6	4xgzJ1.pdb6
4qy8Q1.pdb1	4qy8B1.pdb1
1n64H1.pdb1	1n64P1.pdb1
1n6eG1.pdb1	1n6eH1.pdb1
2ys5B1.pdb1	2ys5A1.pdb1
6dnoA1.pdb1	6dnoB1.pdb1
6dnqB1.pdb1	6dnqA1.pdb1
5djzA1.pdb1	5djzC1.pdb1
5hvzB1.pdb1	5hvzC1.pdb1
6hvoC1.pdb1	6hvoF1.pdb1
5afpC1.pdb1	5afpB1.pdb1
4tzoF1.pdb3	4tzoE1.pdb3
4tzqB1.pdb1	4tzqA1.pdb1
5u3kC1.pdb2	5u3kA1.pdb2
5tzqA1.pdb1	5tzqD1.pdb1
3tzdT1.pdb1	3tzdA1.pdb1
3tzxC1.pdb2	3tzxB1.pdb2
3tz1B1.pdb1	3tz1A1.pdb1
2xyiB1.pdb1	2xyiA1.pdb1
6cf6C1.pdb1	6cf6B1.pdb1
1cffB1.pdb1	1cffA1.pdb1
4qh7G1.pdb2	4qh7E1.pdb2
4cfhA1.pdb1	4cfhC1.pdb1
3tpmB1.pdb1	3tpmA1.pdb1
4esgB1.pdb2	4esgC1.pdb2
3otpI1.pdb1	3otpC1.pdb1
2ot8D1.pdb2	2ot8B1.pdb2
5w2jB1.pdb1	5w2jF1.pdb1
2w2uB1.pdb2	2w2uD1.pdb2
5jp2A1.pdb1	5jp2E1.pdb1
1jpfC1.pdb1	1jpfA1.pdb1
1jpwD1.pdb1	1jpwA1.pdb1
1jppD1.pdb2	1jppB1.pdb2
5j3tA1.pdb1	5j3tC1.pdb1
6gd5B1.pdb1	6gd5A1.pdb1
1gd2I1.pdb3	1gd2J1.pdb3
4yjlL1.pdb6	4yjlF1.pdb6
1abiI1.pdb1	1abiH1.pdb1
1cq4B4.pdb2	1cq4A4.pdb2
5u3lH1.pdb1	5u3lP1.pdb1
6citC1.pdb1	6citD1.pdb1
6mttH1.pdb1	6mttP1.pdb1
2ci9M1.pdb2	2ci9B1.pdb2
4rwfB1.pdb1	4rwfA1.pdb1
5d5kB1.pdb1	5d5kC1.pdb1
4lbfG1.pdb2	4lbfE1.pdb2
2lb2A1.pdb1	2lb2B1.pdb1
4mviA1.pdb1	4mviB1.pdb1
5we0F1.pdb2	5we0D1.pdb2
3ds4A1.pdb1	3ds4T1.pdb1
2xxnB1.pdb1	2xxnA1.pdb1
2y9qB1.pdb1	2y9qA1.pdb1
1y98B1.pdb2	1y98A1.pdb2
6k71M1.pdb1	6k71P1.pdb1
4k7lA1.pdb1	4k7lB1.pdb1
2o5gA1.pdb1	2o5gB1.pdb1
3g2sB1.pdb2	3g2sD1.pdb2
4wneA1.pdb1	4wneB1.pdb1
2m3oP1.pdb1	2m3oW1.pdb1
5m36C1.pdb1	5m36B1.pdb1
2m32C1.pdb1	2m32A1.pdb1
6mewD1.pdb2	6mewC1.pdb2
4zduB1.pdb1	4zduA1.pdb1
4nm3B1.pdb1	4nm3A1.pdb1
4f1zQ1.pdb1	4f1zA1.pdb1
4asuI1.pdb1	4asuG1.pdb1
4x5wC1.pdb1	4x5wA1.pdb1
5mu2U1.pdb6	5mu2K1.pdb6
6mueA1.pdb1	6mueB1.pdb1
5mu3B1.pdb1	5mu3C1.pdb1
